_id	gekleurd.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav.x	gekleurd.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav.y	gekleurd.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall.x	gekleurd.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall.y	gekleurd.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	gekleurd.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	gekleurd.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall.x	gekleurd.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall.y	gekleurd.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.x	gekleurd.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.y	gekleurd.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	gekleurd.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	gekleurd.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall.x	gekleurd.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall.y	gekleurd.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall.x	gekleurd.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall.y
Corneille/name	7.109864955052654	9.675010294905768	-0.0901914805548366	40.405763576153305	0	0	-26.24538137002797	20.4373326516484	-33.063093983591685	-7.912443564302777	0	0	0	0	0	0
Feyenoord/name	10.190964779952541	-9.026810835293922	-27.86372716197587	13.862118806795053	0	0	-10.313881650428582	19.058878596120877	35.65703585216652	-23.456914381883422	0	0	0	0	0	0
Frans/noun	2.504839335790025	12.062689211929829	-14.282905076536402	35.91444313405278	21.10998132530294	-6.052839422264123	16.254199639229316	-24.3791691886328	-20.874786535626516	-24.03773380303212	16.162764462530152	-24.767386923856996	-10.133123006599625	30.38934653757016	-22.265525695336112	17.553021805718743
Hilde/name	-0.16449498111890568	12.704657727459699	-0.09357641078003213	40.407656079188676	0	0	-15.706518557678518	19.01035572684819	-32.58912310011652	-8.336096211311274	0	0	0	0	0	0
Mechelaar/noun	6.707934672638231	-2.9634192773765715	17.60741630320872	0.9956124037940931	23.189107385909786	1.1505895488614344	5.746374829504066	-17.396691808900716	27.790324933403195	-23.705813082259315	-27.666083529069596	-7.440236241684998	-0.8111605454580143	11.97392721743971	47.59907166390395	-17.318619396765985
Parma/name	10.939773532692492	-8.832181596331171	-29.070100943299984	13.274211071932838	0	0	-9.746827930891163	19.154348559965385	35.98838794670576	-24.10620793078634	0	0	0	0	0	0
Potsdam/name	8.436221626624008	9.484236159436982	-4.828511026009276	29.69681871617818	0	0	6.275205198082219	-30.887953437079684	25.66083063016816	22.162048061843468	0	0	0	0	0	0
Sint/name	5.499098612065234	-4.032631420582009	15.478030797834935	2.4033749401170517	0	0	-11.559706714197787	-31.605321208133155	23.298259389335414	27.152066401500253	0	0	0	0	0	0
Studio/noun	-6.227639933219005	-7.616951405493621	3.8112365456717745	20.933713208670945	0	0	0.09160523988490642	39.2696081907662	16.618976873905357	-38.816131356688466	26.30858605665435	-24.93780468110847	0	0	31.573879674256805	-36.66278094773269
T-shirt/noun	-4.201934504885491	5.520128963500222	11.343991257137105	-26.121540462324717	-7.340100218204297	20.2647746630017	-17.005458282890782	27.068416560093922	-18.938634680081645	18.514386375846858	14.753738659745013	10.394715751069684	-22.901734173168485	-11.923585125628405	12.234645126561915	-25.84579590395496
