size	max_diss	av_diss	diameter	separation	medoid	medoid_i
30	3.200038086198704	2.0383647296908745	3.541511215992424	0.8412483580310798	gekleurd.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	1
28	2.659624471826805	1.7670292346733258	2.9888510573014786	1.6442170135084335	gekleurd.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	2
40	2.4026327915646437	1.7906825454797517	3.207390632962957	0.8412483580310798	gekleurd.bound3-3lex.PPMIweight.LENGTH5000.SOCPOSnav	3
14	2.8365214734351087	2.090282089286861	3.700807335997303	1.6003486961177016	gekleurd.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	4
24	2.94837082989297	2.069477892980177	3.4935150533348973	1.6003486961177016	gekleurd.bound5-5all.PPMIselection.LENGTH5000.SOCPOSnav	5
28	3.2655083747148352	1.953923331962978	3.705863403579481	1.4491968658249474	gekleurd.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	6
28	2.806496912069277	1.7851425775277971	3.3070492291736096	0.9241356535747188	gekleurd.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	7
12	2.3056579145053795	1.5137588285800938	2.9885356001070145	1.7275635551339694	gekleurd.bound3-3all.PPMIno.LENGTHFOC.SOCPOSnav	8
