_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
herroepen.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.5667993611895092	-0.5467454640270271	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5778744470255687	-0.5793769190222721	LEMMAPATH3	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.16448517940933957	-0.3086393896424867	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.15050098950087898	-0.3386021889009552	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.1256676142064267	-0.38027083106089954	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12060783311492695	-0.4065834679228801	LEMMAPATH3	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.8968996630775927	-0.9916764003207948	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	5000	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.8757816135936217	-1.0084409662333418	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	5000	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.6249577034893254	-0.7283670755128971	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	FOC	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.6370420151444455	-0.7537361259503211	LEMMAPATHweight	NA	NA	LEMMAPATH	671	no	NA	NA	FOC	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.8547611001422871	-0.6916732831227458	LEMMAPATHweight	NA	NA	LEMMAPATH	374	selection	NA	NA	5000	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.8416984777519748	-0.7241435365313562	LEMMAPATHweight	NA	NA	LEMMAPATH	374	selection	NA	NA	5000	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.5667993611895092	-0.5467454640270271	LEMMAPATHweight	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	all	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5778744470255687	-0.5793769190222721	LEMMAPATHweight	NA	NA	LEMMAPATH	374	selection	NA	NA	FOC	nav	225	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.16448517940933957	-0.3086393896424867	LEMMAPATHweight	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.15050098950087898	-0.3386021889009552	LEMMAPATHweight	NA	NA	LEMMAPATH	374	weight	NA	NA	5000	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.1256676142064267	-0.38027083106089954	LEMMAPATHweight	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	all	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12060783311492695	-0.4065834679228801	LEMMAPATHweight	NA	NA	LEMMAPATH	374	weight	NA	NA	FOC	nav	225	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-0.17337358257683966	-1.2020590465721872	NA	LEMMAREL1	NA	LEMMAREL	236	no	NA	NA	5000	all	224	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-0.14728171938423806	-1.2121919524862272	NA	LEMMAREL1	NA	LEMMAREL	236	no	NA	NA	5000	nav	224	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.06788329062489099	-1.20794598387867	NA	LEMMAREL1	NA	LEMMAREL	236	no	NA	NA	FOC	all	224	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-0.05202920474359428	-1.3231983237705616	NA	LEMMAREL1	NA	LEMMAREL	236	no	NA	NA	FOC	nav	224	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.10130304267015997	-0.6443630051225411	NA	LEMMAREL1	NA	LEMMAREL	173	selection	NA	NA	5000	all	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.09041450582394932	-0.675905047030668	NA	LEMMAREL1	NA	LEMMAREL	173	selection	NA	NA	5000	nav	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.0513324276014144	-0.7130672440386274	NA	LEMMAREL1	NA	LEMMAREL	173	selection	NA	NA	FOC	all	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	0.00452228156276247	-0.885044932387137	NA	LEMMAREL1	NA	LEMMAREL	173	selection	NA	NA	FOC	nav	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	0.04665134690865513	-0.5812490256128956	NA	LEMMAREL1	NA	LEMMAREL	173	weight	NA	NA	5000	all	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
