pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
6.7933025	1	NA	NA	9	11.92/num
7.285779	2	8.203057	2	11	11.98/num
-0.811044	2	-0.5999879	1	36830	11/noun
8.990527	1	9.907805	1	1	110$^m/noun
3.6299393	2	NA	NA	432	110/noun
3.5844522	27	4.190963	20	6110	110/num
9.032001	32	9.907805	31	31	110^m/noun
8.990527	6	9.907805	6	6	110^meter/noun
7.7377644	2	7.961895	1	7	110_meter/noun
1.8050264	1	NA	NA	1350	11de/num
6.592632	1	7.50991	1	11	12,47/num
7.1987677	2	7.422899	1	12	12,51/num
7.044617	1	NA	NA	7	12,66/num
6.5139885	1	NA	NA	12	12,84/num
2.6577804	1	3.570316	1	568	12-jarigen/adj
0.8297375	2	NA	NA	7021	12./num
3.94356	1	NA	NA	175	12.02/num
6.7392354	2	6.9633665	1	20	12.03/num
3.5691075	1	4.47846	1	248	12.05/num
3.6800342	1	NA	NA	236	12.07/num
6.3731313	1	7.268748	1	14	12.09/num
5.775659	1	6.6789794	1	26	12.12/num
5.8994846	1	6.816763	1	22	12.14/num
6.4255775999999996	1	NA	NA	13	12.16/num
6.5056205	1	7.422899	1	12	12.17/num
6.3163786	1	7.2165623	1	15	12.24/num
6.2179384	1	7.1352167	1	16	12.31/num
6.2179384	1	NA	NA	16	12.32/num
6.35147	1	7.268748	1	14	12.36/num
4.3660445	1	NA	NA	103	12.40/noun
3.948393	2	4.1620016	1	314	12.45/noun
5.994795	1	6.912073	1	20	12.47/num
6.9110856	2	7.1352167	1	16	12.48/num
3.8876166	1	NA	NA	168	12.50/num
5.8124733	1	NA	NA	24	12.53/num
6.1001554	1	7.0174336	1	18	12.56/num
7.1987677	1	NA	NA	6	12.60/num
7.276729	1	8.180584	1	6	12.69/num
6.7933025	1	7.710581	1	9	12.81/num
6.7933025	1	7.710581	1	9	12.85/num
6.4255775999999996	1	7.342856	1	13	12.87/num
6.687942	1	NA	NA	10	12.97/num
-1.2587374	2	NA	NA	57411	12/num
6.592632	1	7.50991	1	11	12156/num
6.35147	1	NA	NA	14	1266/num
8.990527	1	NA	NA	1	12^cm/noun
7.604233	1	NA	NA	4	"13""53/num"
6.033016	1	NA	NA	20	13,01/num
3.126044	1	4.02867	1	359	13,2/num
6.8329678	1	NA	NA	9	13,21/num
6.125473	1	NA	NA	18	13,23/num
5.7305093	1	NA	NA	27	13,28/num
6.620283	1	NA	NA	11	13,29/num
8.990527	1	9.907805	1	1	13,43/name
6.1001554	1	NA	NA	18	13,56/num
6.7659035	1	NA	NA	10	13,73/num
8.990527	1	NA	NA	1	13.02.34/num
5.946005	1	6.8632827	1	21	13.06/num
5.855033	1	NA	NA	23	13.18/num
5.8314013	1	NA	NA	24	13.19/num
4.462598	3	4.9710855	2	290	13.20/num
6.2179384	1	NA	NA	16	13.27/num
6.5613093	1	7.4654584	1	12	13.29/num
8.990527	1	9.907805	1	1	13.34.77/num
5.7716513	1	NA	NA	25	13.34/num
5.4940195	1	NA	NA	33	13.36/num
5.720958	1	6.6306605	1	27	13.37/num
5.8335266	1	6.750805	1	24	13.38/num
5.8166485	1	NA	NA	24	13.44/num
6.046088	1	NA	NA	19	13.51/num
3.814095	1	4.721118	1	192	13.55/num
6.184141	1	NA	NA	17	13.56/num
5.9109135	1	NA	NA	22	13.57/num
5.9224744	1	NA	NA	22	13.58/num
8.990527	1	9.907805	1	1	13.59.25/num
6.5056205	1	7.422899	1	12	13.59/num
8.322698	2	9.214658	2	4	13.60/num
6.7933025	1	7.710581	1	9	13.61/num
6.592632	1	NA	NA	11	13.70/num
6.592632	1	NA	NA	11	13.71/num
7.0662785	1	NA	NA	7	13.73/num
7.514621	2	8.403728	2	9	13.74/num
6.592632	1	7.50991	1	11	13.76/num
8.074236	2	8.2983675	1	5	13.77/num
8.2973795	2	8.521511	1	4	13.78/num
7.7377644	2	7.961895	1	7	13.79/num
6.4255775999999996	1	7.342856	1	13	13.8/num
7.691244	3	NA	NA	11	13.80/num
7.891915	1	8.809193	1	3	13.81/num
7.381089	2	7.6052203	1	10	13.84/num
7.604233	1	8.521511	1	4	13.89/num
6.9110856	1	7.828364	1	8	13.9/num
8.2973795	4	7.828364	1	8	13.90/num
7.1987677	2	7.422899	1	12	13.92/num
6.9110856	1	7.828364	1	8	13.96/num
6.9110856	1	NA	NA	8	13.97/num
7.381089	1	NA	NA	5	13.99/num
-0.8976958	2	-0.6843632	1	40176	13/num
6.687942	1	NA	NA	10	1396/noun
1.523842	1	NA	NA	1791	13de/num
8.2973795	1	9.214658	1	2	"14""70/num"
2.4932244	1	NA	NA	675	14,5/num
1.6439042	1	2.5519247	1	1574	14.00/noun
1.6800772	1	NA	NA	1526	14.000/num
5.606137	1	6.498309	1	31	14.03/num
5.946005	1	6.8632827	1	21	14.04/noun
5.379609	1	6.2968874	1	37	14.12/num
7.118725	1	7.998263	1	7	14.14/noun
7.766752	1	8.521511	1	4	14.17/noun
3.7567482	1	NA	NA	196	14.20/num
7.6687713	4	7.8929024	2	15	14.24/num
7.044617	2	NA	NA	14	14.31/num
7.1987677	1	NA	NA	6	14.34/noun
7.118725	2	8.036003	2	13	14.36/num
6.687942	2	NA	NA	20	14.38/num
6.157314	1	7.074592	1	17	14.39/num
6.4255775999999996	1	NA	NA	13	14.44/num
3.934069	3	4.4318647	2	481	14.45/noun
7.285779	2	7.50991	1	11	14.51/num
6.5056205	1	NA	NA	12	14.52/num
7.044617	2	7.268748	1	14	14.53/num
7.0517855	1	NA	NA	7	14.54/num
3.7693608	1	NA	NA	194	14.55/num
7.1034575	1	NA	NA	7	14.58/num
7.891915	1	8.809193	1	3	14.60/num
8.2973795	1	NA	NA	2	14.61/num
8.416727	2	NA	NA	4	14.62/num
8.2973795	1	9.214658	1	2	14.69/num
7.604233	1	NA	NA	4	14.71/num
7.381089	1	8.2983675	1	5	14.87/num
-0.41919473	2	NA	NA	24865	14/noun
-1.0813775	2	NA	NA	48120	14/num
2.0581279	1	NA	NA	1046	140.000/num
8.990527	1	NA	NA	1	149,37/num
8.2973795	2	NA	NA	4	14^september/noun
6.093235	2	6.310493	1	37	15.03/num
5.791854	1	6.709132	1	26	15.04/num
6.2210684	1	7.1352167	1	16	15.06/num
5.767659	1	NA	NA	26	15.08/num
5.44091	1	6.352457	1	35	15.12/num
6.4255775999999996	1	7.342856	1	13	15.14/num
5.7716513	1	6.6889296	1	25	15.16/num
8.990527	1	9.907805	1	1	15.18.12/num
6.7933025	1	7.710581	1	9	15.27/num
7.604233	2	7.828364	1	8	15.29/num
1.238192	1	2.1452093	1	2359	15.30/noun
2.2086186	1	NA	NA	897	15.30/num
5.618072	1	6.5276613	1	30	15.31/num
6.592632	2	6.816763	1	22	15.33/num
6.1001554	1	7.0174336	1	18	15.37/num
8.990527	1	9.907805	1	1	15.39.16/num
6.1057262	1	NA	NA	18	15.44/num
7.381089	2	7.6052203	1	10	15.49/num
6.7933025	2	7.0174336	1	18	15.51/num
6.4255775999999996	1	NA	NA	13	15.54/num
4.3191013	1	NA	NA	111	15.55/num
8.990527	1	9.907805	1	1	15.57.14/num
7.891915	1	8.809193	1	3	15.61/num
8.2973795	1	9.214658	1	2	15.63/num
8.990527	1	9.907805	1	1	15.64/num
8.2973795	1	9.214658	1	2	15.85/num
8.585062	2	8.809193	1	3	15.93/num
8.2973795	1	NA	NA	2	15.95/num
-1.3139907	1	-0.4125735	1	30549	15/noun
-0.71673644	4	-1.1957787	1	66844	15/num
-1.0051225	1	NA	NA	22300	150/num
2.2197459	7	1.1803107	1	6208	1500/num
6.1728754	4	NA	NA	67	1500^m/noun
3.2579951	1	NA	NA	313	1500_meter/noun
2.1520684	1	NA	NA	946	153/num
5.8994846	1	NA	NA	22	1552/noun
1.359532	1	NA	NA	2109	15de/num
6.592632	1	7.50991	1	11	16,09/num
3.337687	1	NA	NA	308	16.05/num
5.2781754	1	6.1942334	1	41	16.09/num
6.3060865	1	7.208123	1	15	16.22/num
8.990527	1	9.907805	1	1	16.26.54/num
6.526674	1	NA	NA	12	16.47/num
8.2973795	1	NA	NA	2	16.66/num
7.891915	1	8.809193	1	3	16.80/num
0.5386941	1	NA	NA	4756	16/name
-1.5963111	1	NA	NA	40303	16/num
1.7753239	1	2.6804152	1	1387	17.000/num
6.2858157	1	NA	NA	15	17.18/num
7.044617	1	NA	NA	7	17.54/num
7.604233	1	NA	NA	4	17.6/num
7.891915	1	8.809193	1	3	17.72/num
7.1987677	1	NA	NA	6	17.96/num
-1.0686941	1	NA	NA	23878	17/noun
3.0474653	1	3.957814	1	386	18-jarigen/adj
9.153046	1	NA	NA	1	18.00^^Hinkstapspring/verb
8.990527	1	NA	NA	1	18.32.63/num
3.3127465	1	NA	NA	301	18.45/num
-0.53897583	2	-0.3305684	1	28146	18/noun
-1.7125387	1	NA	NA	45254	18/num
0.91118795	2	NA	NA	6553	180/num
2.602218	1	NA	NA	601	1870/noun
0.6276513	1	1.5314271	1	4392	19-jarige/adj
8.990527	1	9.907805	1	1	19.00^^110/num
6.5657244	1	NA	NA	12	19.07/num
2.691394	1	NA	NA	549	19.15/num
9.683674	2	NA	NA	1	19.15^^Discuswerp/verb
8.990527	1	NA	NA	1	19.25^^Hoogspringen/noun
0.8994508	1	1.804311	1	3340	19.30/num
5.0735164	1	5.961381	1	54	19.32/num
3.4898813	1	4.399936	1	248	19.35/num
3.5686655	1	NA	NA	234	19.40/noun
1.0259889	1	NA	NA	2898	19.45/noun
8.990527	1	9.907805	1	1	19.55^^400/num
5.927136	1	6.811097	1	23	19.56/num
8.2973795	1	9.214658	1	2	19.89/num
-1.0409315	1	NA	NA	23205	19/noun
2.9314623	2	NA	NA	872	1903/noun
1.609212	1	NA	NA	1617	1920/noun
2.0620382	1	NA	NA	1028	1922/noun
5.997298	1	NA	NA	20	1928/name
1.395517	1	2.3059034	1	2008	1933/noun
3.727578	1	NA	NA	195	1936/num
2.0812979	2	NA	NA	2018	1939/noun
0.88359046	1	1.7945659	1	3349	1940/noun
1.3072386	1	NA	NA	2192	1942/noun
0.89154994	1	1.8021582	1	3325	1948/noun
3.0873475	1	NA	NA	371	1948/num
5.2904606	1	6.1851287	1	42	1952/name
1.8767338	2	NA	NA	2487	1952/noun
4.8953495	1	NA	NA	61	1956/name
0.806683	1	1.7155808	1	3629	1962/noun
0.8532775	1	1.7631987	1	3456	1963/noun
1.5335816	2	NA	NA	3496	1964/noun
0.78517205	1	NA	NA	3701	1965/noun
0.7786506	1	1.6888161	1	3726	1966/noun
