_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8344235321883088	-0.6866128969139426	NA	NA	bound	245	lex	5_5	1	weight	5000	5000	all	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.834014234217675	0.5159550139614547	NA	NA	bound	245	lex	5_5	1	weight	FOC	180	nav	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7997034223896271	0.44846943375659504	NA	NA	bound	245	lex	5_5	1	weight	FOC	245	all	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9138556144787606	-0.10235314980582307	NA	NA	bound	245	lex	5_5	1	selection	5000	5000	nav	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9161479284268383	-0.6906484847846259	NA	NA	bound	245	lex	5_5	1	selection	5000	5000	all	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8342373174039501	0.3484658471552186	NA	NA	bound	245	lex	5_5	1	selection	FOC	180	nav	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8194641417012873	0.29503043218008906	NA	NA	bound	245	lex	5_5	1	selection	FOC	245	all	4_4	197	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2164679977530148	-0.09167485501621715	NA	NA	bound	374	lex	5_5	1	no	5000	5000	nav	4_4	211	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.1896524819464855	-0.8609167016466195	NA	NA	bound	374	lex	5_5	1	no	5000	5000	all	4_4	211	haten	NA	NA	BOW
haten.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0285133263560047	0.44964402342926857	NA	NA	bound	374	lex	5_5	1	no	FOC	282	nav	4_4	211	haten	NA	NA	BOW
