size	max_diss	av_diss	diameter	separation	medoid	avg.width
36	2.6658997686491723	2.020454711552219	3.3595739579582546	0.5725780407148676	schaal.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.1633569424383227
22	3.5457717007116947	2.4171041256273926	4.0017767590227775	0.5725780407148676	schaal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.04167028908713812
28	4.021988306764727	2.536888349061802	4.212199149051563	1.997443019514605	schaal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.06383846065413264
28	3.749347357095251	2.530581854541764	4.101131088634325	1.752998885765204	schaal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.08276073451793027
22	2.539451780788968	1.7852963337360337	3.0249535432003065	1.648035076173075	schaal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.24312372652866554
16	3.1845475552321867	1.913199573062547	3.3222831667329467	2.2034919078565816	schaal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.27374051390473536
12	2.62840397752435	1.6404666307372358	2.8131765296615003	2.155854197746943	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	0.3605687854401655
48	3.4866277428852004	2.2423871125100017	3.778811330781448	1.752998885765204	schaal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	0.15900082353778833
