_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
haken.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	442	NA	NA	1	weight	0.29838323156980096	-0.023874007047517645	5000	5000	nav	4_4	0.14854651328433705	247	haken
haken.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	442	NA	NA	1	weight	0.6869106319904295	0.19573403974668321	5000	5000	all	4_4	0.17466989226182006	247	haken
haken.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	442	NA	NA	1	weight	0.12440108064563173	-0.06317407249309992	FOC	199	nav	4_4	0.1443227807447593	247	haken
haken.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	442	NA	NA	1	weight	0.1583796310766967	-0.07819546149403127	FOC	442	all	4_4	0.13326564481107375	247	haken
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	375	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	246	haken
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	375	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	246	haken
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	375	lex	10_10	1	weight	NA	NA	FOC	258	nav	4_4	NA	246	haken
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	375	lex	10_10	1	weight	NA	NA	FOC	375	all	4_4	NA	246	haken
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	375	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	246	haken
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	375	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	246	haken
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	375	lex	10_10	1	selection	NA	NA	FOC	258	nav	4_4	NA	246	haken
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	375	lex	10_10	1	selection	NA	NA	FOC	375	all	4_4	NA	246	haken
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	249	haken
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	249	haken
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	FOC	521	nav	4_4	NA	249	haken
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	FOC	722	all	4_4	NA	249	haken
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	556	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	251	haken
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	556	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	251	haken
