_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6486700866872777	-0.13250103002814623	NA	NA	bound	280	lex	5_5	1	weight	5000	5000	nav	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.9073151030344924	-0.32513216247657595	NA	NA	bound	280	lex	5_5	1	weight	5000	5000	all	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5240266933530233	-0.03592026954909175	NA	NA	bound	280	lex	5_5	1	weight	FOC	190	nav	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5354623833892803	-0.03040580951693704	NA	NA	bound	280	lex	5_5	1	weight	FOC	280	all	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7190239480004736	-0.07049234390038406	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	nav	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9009818860030246	-0.25336823703813327	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	all	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5308008275846933	0.03894893135331657	NA	NA	bound	280	lex	5_5	1	selection	FOC	190	nav	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5475472018820605	0.04973209480917642	NA	NA	bound	280	lex	5_5	1	selection	FOC	280	all	4_4	225	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2032876268338455	0.019076038086221787	NA	NA	bound	458	lex	5_5	1	no	5000	5000	nav	4_4	236	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.5915723021651254	-0.09552862940713204	NA	NA	bound	458	lex	5_5	1	no	5000	5000	all	4_4	236	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9158925039527405	0.15713024792506547	NA	NA	bound	458	lex	5_5	1	no	FOC	327	nav	4_4	236	herstellen	NA	NA	BOW
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9201645413741747	0.16829862693395475	NA	NA	bound	458	lex	5_5	1	no	FOC	458	all	4_4	236	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.1796653126831443	-0.16404361319160832	NA	NA	bound	379	all	5_5	1	weight	5000	5000	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.00893203405919355	-0.5273818097576642	NA	NA	bound	379	all	5_5	1	weight	5000	5000	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.23176713163946158	-0.05994095219091129	NA	NA	bound	379	all	5_5	1	weight	FOC	190	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.16745731768283922	-0.017863269259959277	NA	NA	bound	379	all	5_5	1	weight	FOC	379	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6456087238704619	0.4972776891984022	NA	NA	bound	379	all	5_5	1	selection	5000	5000	nav	4_4	238	herstellen	NA	NA	BOW
