size	max_diss	av_diss	diameter	separation	medoid	medoid_i
20	2.5352835349243543	1.5859461569050382	2.6260713046371063	1.278395691842792	spot.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	1
40	2.6282146608489128	1.9365579792387335	3.131270379540838	1.278395691842792	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	2
36	2.707807690254258	1.9079243308728056	3.0803475370552973	0.6227340656818333	spot.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav	3
15	2.8038440941120637	2.0638649217213194	3.4657350870997248	0.8622579611019354	spot.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	4
21	2.4969730016329903	1.7748647175860233	2.8087861633406983	0.8622579611019354	spot.bound5-5all.PPMIselection.LENGTH5000.SOCPOSnav	5
40	2.9533843644978814	1.9602700518800025	3.26536737765318	0.6227340656818333	spot.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	6
16	2.0917145437671403	1.4429237537690294	2.261097677352451	1.9192277662558264	spot.bound3-3all.PPMIno.LENGTH5000.SOCPOSnav	7
28	2.353185619738748	1.7463627560538388	3.291661895655309	1.7180873391331235	spot.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	8
