cw	pmi_4	raw_4	pmi_10	raw_10	freq
Apostolische/name			7.1706076	1	16
Appeal/noun			7.8763337	1	8
Apple/name	2.950782	1.0	2.0443027	1	2775
Aprilia/name			5.360783	2	201
Aprilia/noun	6.116637	1.0	5.2074366	1	116
Aquarius/noun			6.5707417	1	30
Arabisch/noun			2.4628527	1	1789
Arcadië/noun			6.451245	1	33
Arend/name			2.99334	1	1081
Arets/name	6.424426	1.0	5.509408	1	85
Argentinië/name			0.62356234	1	11441
Arjan/name	3.3162756	1.0	2.40558	1	1928
Armando/det			6.58979	1	29
Armen/name	6.4743986	1.0	5.5630465	1	81
Arms/name	6.4551744	2.0	5.5395308	2	165
Armstrong/name	1.360439	1.0	0.45338517	1	13580
Arno/name			2.2393315	1	2275
Arosa/name	6.0116024	1.0	6.2035446	3	129
Art/name	1.9544514	1.0	1.0442164	1	7543
Asleep/name	7.5127516	1.0	6.605649	1	29
Assche/name			2.3344996	1	2056
Audi/name			1.5079077	1	4708
Automobiltechnik/name			8.385052	1	5
Avenue/name			2.263506	1	2194
Averbode/name			2.5420263	1	1686
Awacs_vlucht/noun			9.943196	1	1
BEN/name			5.479014	1	97
Baars/name	4.486141	1.0	4.275905	2	599
Backstage/name			3.6894639	1	527
BadMotorFinger/name			9.943196	1	1
Baert/name			1.7268382	1	3776
Baines/adj			9.943196	1	1
Baker/name			2.3007443	1	2110
Balthazar/name			3.1354825	1	926
Band/name	2.4200513	1.0	2.2028148	2	4666
Barbers/adj	10.169509	1.0	9.25005	1	2
Baron/name	3.4228761	1.0	2.5115414	1	1720
Barragán/name	6.347684	1.0	5.440613	1	92
Bart/name			-0.15713169	2	50275
Bartolo/name			5.9431624	1	55
Basement/name			4.220756	1	313
Bauhaus/name			4.4623494	1	244
Bauhaus_stijl/noun			7.745972	1	9
Beastie/name			4.348671	1	274
Beatrix/name	1.806137	1.0	0.90094346	1	8738
Becher/name			4.844856	1	165
Beeck/name			2.5471373	1	1799
Beefheart/name	5.24816	1.0	5.0309095	2	276
Beefheart_cover/noun	10.169509	1.0	9.25005	1	2
Beek/name			1.9707133	1	2983
Beel/name			3.4239755	1	694
Been/name	4.070171	1.0	3.160551	1	902
Beestenmarkt/name			4.652911	1	203
Beet/name	6.619532	1.0	5.7040305	1	71
Beethoven/name			1.7893864	1	3529
Bel/name			1.1327219	1	6902
Belgisch/adj			-0.49124756	4	139420
België/Nederland/name			7.765608	2	18
Bergh/name	2.6856668	1.0	1.7755041	1	3573
Berghe/name			1.9397833	1	3042
Berghs/det			7.304139	1	14
Bergin/name			5.1586256	1	122
Berlijns/adj	2.8033006	1.0	1.8932747	1	3187
Berry/name	3.4042535	1.0	2.4930007	1	1752
Bert/name			-0.16910644	1	25214
Between/noun			6.279635	1	39
Beurskens/noun			7.052825	1	18
Biberkopf/name			6.130994	1	46
Big/name	1.4093987	1.0	0.50285214	1	12932
Bint/name	6.54184	1.0	6.3255444	2	76
Bint/noun			6.7714124	1	24
Bird/name			2.490562	1	1757
Blacks/name			5.6418376	1	75
Blast/name			5.1703954	1	121
Blauwe/name			2.230641	1	2282
Bloms/det			6.584559	1	29
Bo/name	3.2669544	1.0	2.3577886	1	2011
Bobkes/noun	7.9182167	1.0	7.0013924	1	20
Boerentoren/name			5.8298664	1	64
Boerentoren/noun			4.816261	1	172
Bondt/name	3.1498766	1.0	2.2393315	1	2248
Booker/name	4.4271064	1.0	3.5245054	1	629
Boon/name			1.6861999	1	3918
Bordewijk/name	5.355801	1.0	5.13325	2	248
Bortolo/name	3.8126416	1.0	2.9013038	1	1160
Boudesteijn/name			8.211541	1	6
Box/name	3.8553946	1.0	2.942543	1	1110
Boy/name			1.9301844	1	3075
Boyer/name			4.759168	1	194
Boys/name	2.073567	1.0	1.8565093	2	6603
Bozoc/name			6.6851	1	26
Brabants/adj			1.1659802	1	6646
Brain/name			4.577922	1	217
Braque/noun			7.839062	1	9
Bravo/name			3.7660308	2	996
Braziliaanse/name			5.3597608	1	101
Bree/name	2.4519348	2.0	1.9600066	3	9174
Brel-achtige/name			8.844584	1	3
Breno/name	10.169509	1.0	9.25005	1	2
Bressers/name	7.461458	1.0	6.5419993	1	30
Breuker/name	4.817058	1.0	3.9036562	1	425
Bridges/name			3.6609297	1	541
Bridgewater/name			5.6784062	1	73
Brits/adj			-0.7848628	2	94154
Broken/name			4.3649774	1	271
Brooklyn/name			2.5217497	1	1698
Brubeck/name			4.9842052	1	145
Bruce/name			2.351423	2	4052
Brugge/name			-0.3787316	2	63064
Brussel/name			-0.41325024	4	132165
Brussel_logo/noun			8.844584	1	3
Buckley/name	4.6515536	1.0	3.7390428	1	499
Buren/name			2.5105944	1	1791
Burrows/name			4.6044574	1	211
Burt/name			3.3593032	1	733
Buysman/name			7.3865232	7	92
Byrne/name	3.6228127	1.0	3.4044418	2	1402
Byrnes/det			7.921649	1	8
C2/name			4.2479506	1	305
C70/noun	8.783215	1.0	7.8637547	1	8
CDA/name			-0.21785535	1	26499
CDA_leider/noun			3.0494387	1	1024
CDA_minister/noun	4.967909	1.0	4.0589	1	366
CTS/name	7.020519	1.0	6.8055305	2	47
CVP_senator/noun	5.8545237	1.0	4.9486904	1	151
Cadillac/name			3.7467523	1	503
Cadillacs/noun			6.78195	1	24
Caesar/name			2.7490225	1	1351
Café/name			1.2793262	1	5932
Cahen/name			5.2615285	1	110
Caine/name			3.3521402	1	738
Calandlaan/name			6.026186	1	51
Callegari/name	6.8022127	1.0	5.891412	1	58
Can's/name			9.25005	1	2
Capo/name	6.0443926	1.0	5.1395855	1	125
CapoNord/noun			8.151437	1	6
Captain/name	4.1313396	1.0	3.913774	2	849
Carlos/name			0.8030587	1	9491
Carrickfergus/noun			9.442421	1	2
Carrier/name			4.63221	1	207
Cartoon/name			4.598234	1	213
Castle/name			3.1702878	1	891
Catera/noun			9.943196	1	1
Cato/name			4.996211	1	142
Ce/name			5.192628	1	116
Celica/name			5.016668	1	139
Central/name			2.232924	1	2269
Centro/name			4.667892	1	196
Chair/name			4.517366	1	230
Chaplin-achtigs/name			9.943196	1	1
Charles/name			0.36959592	1	14675
Charly/name			3.9187205	2	845
Chef/name			3.8967705	1	430
Cherokee/name			4.2243614	1	310
