_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	603	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	308	staal
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	603	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	308	staal
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	603	lex	10_10	1	weight	NA	NA	FOC	459	nav	4_4	NA	308	staal
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	603	lex	10_10	1	weight	NA	NA	FOC	603	all	4_4	NA	308	staal
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	603	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	308	staal
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	603	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	308	staal
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	603	lex	10_10	1	selection	NA	NA	FOC	459	nav	4_4	NA	308	staal
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	603	lex	10_10	1	selection	NA	NA	FOC	603	all	4_4	NA	308	staal
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	1033	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	310	staal
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	1033	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	310	staal
staal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	1033	lex	10_10	1	no	NA	NA	FOC	776	nav	4_4	NA	310	staal
staal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	1033	lex	10_10	1	no	NA	NA	FOC	1033	all	4_4	NA	310	staal
staal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	775	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	310	staal
staal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	775	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	310	staal
staal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	775	all	10_10	1	weight	NA	NA	FOC	459	nav	4_4	NA	310	staal
staal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	775	all	10_10	1	weight	NA	NA	FOC	775	all	4_4	NA	310	staal
staal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	775	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	310	staal
staal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	775	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	310	staal
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	775	all	10_10	1	selection	NA	NA	FOC	459	nav	4_4	NA	310	staal
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	775	all	10_10	1	selection	NA	NA	FOC	775	all	4_4	NA	310	staal
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	1375	all	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	311	staal
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	1375	all	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	311	staal
staal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	1375	all	10_10	1	no	NA	NA	FOC	776	nav	4_4	NA	311	staal
staal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	1375	all	10_10	1	no	NA	NA	FOC	1375	all	4_4	NA	311	staal
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	465	lex	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	305	staal
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	465	lex	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	305	staal
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	465	lex	5_5	1	weight	NA	NA	FOC	354	nav	4_4	NA	305	staal
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	465	lex	5_5	1	weight	NA	NA	FOC	465	all	4_4	NA	305	staal
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	465	lex	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	305	staal
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	465	lex	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	305	staal
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	465	lex	5_5	1	selection	NA	NA	FOC	354	nav	4_4	NA	305	staal
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	465	lex	5_5	1	selection	NA	NA	FOC	465	all	4_4	NA	305	staal
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	655	lex	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	309	staal
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	655	lex	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	309	staal
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	655	lex	5_5	1	no	NA	NA	FOC	501	nav	4_4	NA	309	staal
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	655	lex	5_5	1	no	NA	NA	FOC	655	all	4_4	NA	309	staal
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	596	all	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	310	staal
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	596	all	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	310	staal
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	596	all	5_5	1	weight	NA	NA	FOC	354	nav	4_4	NA	310	staal
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	596	all	5_5	1	weight	NA	NA	FOC	596	all	4_4	NA	310	staal
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	596	all	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	310	staal
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	596	all	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	310	staal
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	596	all	5_5	1	selection	NA	NA	FOC	354	nav	4_4	NA	310	staal
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	596	all	5_5	1	selection	NA	NA	FOC	596	all	4_4	NA	310	staal
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	865	all	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	311	staal
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	865	all	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	311	staal
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	865	all	5_5	1	no	NA	NA	FOC	501	nav	4_4	NA	311	staal
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	865	all	5_5	1	no	NA	NA	FOC	865	all	4_4	NA	311	staal
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	319	lex	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	292	staal
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	319	lex	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	292	staal
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	319	lex	3_3	1	weight	NA	NA	FOC	247	nav	4_4	NA	292	staal
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	319	lex	3_3	1	weight	NA	NA	FOC	319	all	4_4	NA	292	staal
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	319	lex	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	292	staal
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	319	lex	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	292	staal
