size	max_diss	av_diss	diameter	separation	medoid	medoid_i
29	2.9588676618352268	2.075448834772242	3.4551662706154898	1.4360318754728885	hoopvol.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	1
39	2.906805766959874	2.1513303715167393	3.205537325161924	1.4360318754728885	hoopvol.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav	2
24	2.3549861433398434	1.5966100942797647	2.600718278650709	2.73941306411072	hoopvol.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	3
14	2.969821400859526	2.2991883085407623	3.6223785710997145	1.2266937730203262	hoopvol.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	4
22	2.87098970817406	2.0980507097658316	3.3510173540951897	1.2266937730203262	hoopvol.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall	5
28	2.824366540849186	2.1918825356824314	3.4929749371525385	1.4721171532727837	hoopvol.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	6
16	2.4577747661503295	1.733540304728406	2.631897434018892	2.0251300472920493	hoopvol.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	7
32	2.8840867916587984	1.9461710240818664	3.377414469564857	1.4721171532727837	hoopvol.bound3-3lex.PPMIselection.LENGTH5000.SOCPOSnav	8
