_id	hoopvol.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall.x	hoopvol.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall.y	hoopvol.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall.x	hoopvol.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall.y	hoopvol.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hoopvol.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	hoopvol.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.x	hoopvol.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.y	hoopvol.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall.x	hoopvol.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall.y	hoopvol.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hoopvol.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	hoopvol.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall.x	hoopvol.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall.y	hoopvol.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall.x	hoopvol.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall.y
ABVV/name	9.280442626331926	-6.691306573196255	-14.201284105621228	48.530283077484356	0	0	16.02195056354231	-31.749626582778635	0	0	0	0	0	0	-17.47592960175644	-35.74414657271303
Bodson/name	5.310997399653697	-4.619097629619185	3.5441589208329187	41.46327446317784	0	0	-2.803444992298417	-25.63714230465634	0	0	0	0	0	0	-22.536864060022776	-28.719513645733578
Buurmeijer/name	4.1976296233620936	-3.096781448134213	2.6026955175538578	42.88529564131729	0	0	9.3106471449076	-18.68327529973444	0	0	0	0	0	0	-23.50610202057947	-22.318337794520524
Christian/name	8.932863304549956	-8.280754012732027	-20.14838073309886	42.18403794593789	0	0	10.785508065135383	-27.364295678363153	0	0	0	0	0	0	-9.829638015975414	-40.18312835374888
Cédric/name	11.308087103129186	-6.212482658659531	-17.692478903178483	49.9033554830255	0	0	11.736333352240997	-25.340118963296558	0	0	0	0	0	0	-7.9230610962940275	-39.14280727668826
De/name	9.964950246834414	-9.353398922940523	-19.58517498751845	43.75259835349034	0	0	13.83719434746852	-29.75312924126356	0	0	0	0	0	0	-12.893586481493138	-39.007571284810986
Declercq/name	9.772350850780981	-7.366897836396553	-16.107837733743516	47.2135250185626	0	0	17.53096042523246	-30.701739952728616	0	0	0	0	0	0	-15.076463882390927	-35.70239472227749
Dekker/name	11.943870089696984	-3.067197754466964	29.094882993241683	20.16019435463251	0	0	19.69143487571262	-35.879741535302955	0	0	0	0	0	0	2.538865693600219	-38.437284741871395
Demol/name	9.05127638837412	-3.6130695463541507	-15.985752331191133	36.79186164768622	0	0	5.923158901699769	-28.33722835192239	0	0	0	0	0	0	-4.768065676686827	-36.09048405414535
Europees/adj	3.961524472977237	9.53342572150339	11.21567483581327	13.404672505851536	0	0	8.416001763552808	7.2048034319679335	-13.161248848828729	-34.75816973003628	-9.861601197354519	19.806380488664704	0	0	-20.704586014732605	5.40887221498919
Faber/name	5.105823434530779	-9.386263139262386	-5.906635072459316	47.87240270860759	0	0	25.9045857214969	-30.83813701056707	0	0	0	0	0	0	-28.301306188162226	-24.714008157013733
Freddy/name	10.116185590548232	-8.041077340378008	-15.349458425343755	45.03408664952929	0	0	15.539004248343794	-28.5091566086908	0	0	0	0	0	0	-14.362587417728657	-37.34327628808776
Gerets/name	8.973413171535965	-2.716335140250163	-15.226950204665513	34.52081376978699	0	0	3.93206709393953	-27.400733461247825	0	0	0	0	0	0	-1.9743668052184828	-33.529449892374025
Hezbollah/name	2.2292786244481797	12.76959629625987	5.630091708989152	28.238877814488443	0	0	14.713198278586427	-5.331157833254652	0	0	0	0	0	0	-21.961216823540884	-14.751099518349603
Koffrie/name	3.201749113851596	2.3684649446852832	20.051529528571503	24.22652894970198	0	0	-1.0714998653771068	0.7299076366764085	0	0	0	0	0	0	-8.29608617091797	-1.2507124930039397
Magda/name	10.819645878391741	-8.120368348956001	-9.751436061049382	47.20796353624604	0	0	9.59265122994475	-36.20123802241774	0	0	0	0	0	0	-23.4268719711695	-41.204979081198815
