size	max_diss	av_diss	diameter	separation	medoid	medoid_i
26	3.0223599487467045	2.092331038785167	3.6775420545156265	1.930467306304194	hoop.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	1
34	2.852216714850175	2.2125982687322256	3.559937542210308	1.930467306304194	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall	2
36	2.7448299361451913	2.001552887497885	3.1342805535670917	2.2444879405454357	hoop.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	3
28	3.425794307212466	2.45254356491471	3.704753507701351	2.3736620480604933	hoop.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall	4
16	3.364548001702951	2.5022900547917004	4.177447139806159	2.2187531322815772	hoop.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	5
30	3.2796300409528416	2.1379498712756893	3.589512653152395	1.5875887766283436	hoop.bound3-3lex.PPMIselection.LENGTH5000.SOCPOSnav	6
30	3.2144577210166356	2.2762375835563455	3.6672094065744782	1.5875887766283436	hoop.bound5-5lex.PPMIweight.LENGTHFOC.SOCPOSall	7
16	2.3908456699785656	1.7118468346346596	2.6182333527156163	2.3018273373569764	hoop.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	8
