_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hoop.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6054153439947645	-0.2168866995360276	LEMMAPATH3	NA	NA	LEMMAPATH	399	selection	NA	NA	FOC	nav	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.5915351778892903	0.21034006721106285	LEMMAPATH3	NA	NA	LEMMAPATH	399	weight	NA	NA	5000	all	300	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.699512490797847	0.2492860378475549	LEMMAPATH3	NA	NA	LEMMAPATH	399	weight	NA	NA	5000	nav	300	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.3596137394810875	0.3904447264153316	LEMMAPATH3	NA	NA	LEMMAPATH	399	weight	NA	NA	FOC	all	300	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.41885167788453925	0.4420923857320738	LEMMAPATH3	NA	NA	LEMMAPATH	399	weight	NA	NA	FOC	nav	300	2	hoop.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall
hoop.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.8501949480176086	-0.8364176087369704	LEMMAPATHweight	NA	NA	LEMMAPATH	824	no	NA	NA	5000	all	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.9101618927894674	-0.7955269528652753	LEMMAPATHweight	NA	NA	LEMMAPATH	824	no	NA	NA	5000	nav	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.5040928281502112	-0.6497498236440308	LEMMAPATHweight	NA	NA	LEMMAPATH	824	no	NA	NA	FOC	all	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.6181585466271683	-0.6489909325648321	LEMMAPATHweight	NA	NA	LEMMAPATH	824	no	NA	NA	FOC	nav	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
hoop.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.8904017779586086	-0.4039384007778248	LEMMAPATHweight	NA	NA	LEMMAPATH	399	selection	NA	NA	5000	all	300	1	hoop.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
