_id	heet.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	heet.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	heet.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	heet.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	heet.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	heet.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	heet.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	heet.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall.x	heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall.y	heet.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall.x	heet.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall.y	heet.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	heet.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.x	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.y
160/num	-7.079866237878516	-21.212560581984345	0	0	0	0	0	0	0	0	-5.429536719809721	-23.13271222011699	0	0	0	0
180/num	-6.952320193957997	-20.524795810447213	0	0	0	0	0	0	-8.029096847112054	-8.707202570817715	-6.340432689788804	-22.761840535346174	0	0	0	0
1976/noun	15.089970999888763	13.389704000658892	0	0	-9.444107910694262	-13.368820947800918	11.221480132220483	-2.475117761514773	14.693034339029454	1.1451846621146358	24.624463799712075	-18.928299925311354	12.350841529259805	-18.97572570831598	4.411532455567828	25.801429911505547
2003/noun	15.578729944529451	11.828211604874896	0	0	-6.98291391897711	-14.384174286062589	7.372580356303969	-12.539198308832335	-8.331754369611655	-7.039629570081461	21.555140828959676	-21.81412910465496	5.137871176610593	-0.6208926633015127	1.4443497632002533	23.23823759609994
40/num	-6.150693309571791	-21.095450435451305	0	0	0	0	0	0	-17.628931504991762	-3.0627066646798418	-4.6770000731696415	-24.069143051079788	0	0	0	0
Al/det	-26.00812169372094	3.1793729850410766	0	0	0	0	0	0	9.461676039901308	11.392517353839962	15.910694090030303	-5.861051033050869	0	0	0	0
Alpen/name	2.699052168982936	9.572394593651797	0	0	0	0	0	0	0	0	-24.8327028330247	-6.045488710398776	0	0	0	0
Battle/name	7.788862920203296	16.878047278057466	0	0	0	0	0	0	13.465096198470349	4.17564105345712	-9.89593573487256	-37.86147181503245	0	0	0	0
C/noun	-8.692646529806426	-19.606274571909474	0	0	0	0	0	0	0	0	0	0	0	0	13.620119398610525	2.74258097564504
Celsius/noun	-7.948235659060632	-18.570238250228293	0	0	0	0	-6.8807904122148935	-13.458894365127593	0	0	-25.891986782694584	-11.861168966509267	-5.73041039768819	-5.818058724845214	11.834964669255573	1.7815378863568219
Davidson/name	9.59190237246812	-24.88373714805977	0	0	0	0	0	0	14.143913089487635	-2.071353698857236	45.15045981632819	-39.45987426808596	0	0	0	0
Flahaut/name	22.221238825321	-13.616285900442556	0	0	0	0	0	0	-10.106900178101453	-22.32839031537019	28.576082427657646	-33.64645541807858	0	0	0	0
Frankrijk/name	13.942197280988376	-16.965052506045236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hel/name	-1.2336677467975143	7.911881463078457	0	0	0	0	0	0	-17.950404386174952	12.234108248688356	-13.205961388094689	-39.94086255859156	0	0	0	0
Hoogovens/name	7.938188851337772	-18.21610847231886	0	0	0	0	0	0	-11.826780173448116	-8.131755395478615	33.598740517413624	-4.834964897673977	0	0	0	0
Kanaaltunnel/name	14.418102652791406	-11.839663621696062	0	0	0	0	0	0	0	0	5.73019961244953	-0.3618910936567859	0	0	0	0
Kosovo/name	5.395370465371251	20.412189741169186	0	0	0	0	0	0	0	0	50.0697981108015	-16.87297031537794	0	0	0	0
Koude/name	7.459828861696893	20.03995036885476	0	0	0	0	0	0	-13.965326742657405	23.54060138556128	50.90122193192885	-22.18058848340449	0	0	0	0
Mallorca/name	7.745665314006308	12.926459440699547	0	0	0	0	0	0	-18.539969152881998	-4.62458663803726	38.83532098570609	-11.613849698305618	0	0	0	0
Nieuw/name	17.6118953579521	-20.596775934238437	0	0	0	0	0	0	7.6363354416735145	-18.170771609888337	35.15658676952708	-42.524371146567674	0	0	0	0
Nieuwe/name	17.363591147120097	-20.917283979792963	0	0	0	0	0	0	0	0	36.25742642761037	-42.837922841531814	0	0	0	0
Salou/name	6.765702391615828	13.52084610050844	0	0	0	0	0	0	-14.441179946894627	6.7846982084817755	-16.707830528227973	-13.187972113116201	0	0	0	0
Schafthuizen/name	22.116640596753033	14.531649515321819	0	0	0	0	0	0	-1.1806988952060606	-0.8250174735344292	17.172976400298907	12.621386234886463	0	0	0	0
Senegal/name	14.014485078953234	-16.56129162725581	0	0	0	0	0	0	12.813162487750049	-20.974598619070193	2.265422024762965	-40.041310849134284	0	0	0	0
Singer/name	18.050259806308194	-20.074310607477795	0	0	0	0	0	0	7.823523525459557	-3.8624934847658463	-6.140585541695649	-38.562416555972504	0	0	0	0
Ullrich/name	3.484378556265015	10.778353529650113	0	0	0	0	0	0	-20.12745763574844	-1.7035412616715477	2.055718308915212	-49.57437283452381	0	0	0	0
VVD/name	2.4491895731945945	23.46286037616808	0	0	0	0	0	0	-0.975958268711729	5.1752318559244745	27.909086590251732	-41.17255493619726	0	0	0	0
Venetiaans/adj	1.4798400976943626	6.6809023286191405	0	0	16.456789783113706	8.40829548648992	-11.026946174286453	-21.114351779623373	3.201125139206121	1.9579995522855935	-35.76396574138008	-25.52760355412561	0.9498852950189541	-12.433160100414653	19.97336865879302	6.966206563248578
aandeelhouder/noun	8.301662727946432	-17.23467125540342	0	0	0	0	18.20768841633035	14.999641618952452	0	0	31.426196881607684	-5.877737227088909	13.482654092502091	5.005205214268653	-5.774295247994489	28.84665457405645
aardappel/noun	-18.59071451670739	-4.172105340524327	0.18590217368541576	5.13960485681933	-10.241622408851722	10.073692974535659	-21.20827379095472	6.180180397567717	26.04423946308833	-0.7599604961478779	-40.96596644392269	1.0744649654345686	-25.700812148051654	1.15375890885066	-14.407329500015921	-17.3764798286265
abnormaal/adj	8.51584299021872	4.164227171730655	-1.4346757240673214	-5.909058089416907	-2.3879097356315957	-9.93473410241296	-2.735103346949689	-16.423520325943095	21.835982782918382	-6.234543840885297	-8.136205212986038	40.16765960318401	-22.811244376207483	18.420825387817278	6.1686119568403495	12.664688955454485
adem/noun	13.474717925079695	-10.014211853188646	-3.947360282587979	-5.155514586247762	7.151477687976718	-7.535398043463998	25.52162546939755	-6.318525647378614	15.70726079484146	11.192730424629419	-11.865029560458717	3.882287629028257	16.68749731008243	24.0938521974878	-0.9038083279923899	4.37877497093451
al/adv	13.7476552659046	-5.63332284029937	0	0	9.931599106515934	-5.832030641311076	12.225511279066499	-8.249555389194125	8.582086410165878	-0.7787468765366854	8.428973074591251	-20.390628468627398	7.298232342311037	-14.906486202236797	0.5149742689105616	19.35567527531743
album/noun	-5.960998601234097	10.913543825894774	-6.031776055544878	-3.239307530043506	4.1300509556338785	-17.245242244820833	10.147320260106442	3.8827495935875707	-13.523724086341975	15.586410620811439	-11.646698899304285	-31.081286684243913	-1.3180156068831919	-23.988604246149833	-20.564849877343157	15.859295808736588
als/comp	16.724680268432376	-7.097734032334992	0	0	0	0	0	0	-2.1672891606131532	4.2041079445083005	20.31970783294346	25.99729037435186	0	0	0	0
als/prep	-5.695858387436291	19.593306204751492	0	0	0	0	0	0	-1.8040743579663965	10.744743902747292	-1.0529908458054156	-7.6832788315976055	0	0	0	0
alsof/comp	5.043573868656294	-5.554620108556748	0	0	0	0	0	0	0	0	12.740881476191614	29.245024773896873	0	0	0	0
altijd/adv	17.96856158641164	-5.086072048500715	0	0	12.860287740464692	-7.346135591431203	16.881871239015094	-11.295710991745365	-5.000881359187283	7.303559295285302	21.407269985285726	29.70281149391997	-10.468415874927915	17.399907746766306	-7.741399558399597	9.368775129059404
aluminium_folie/noun	-18.60245777218375	-8.331345446463745	0	0	-11.380317200474558	3.4683799375798605	-21.081582315277743	11.253540395003032	26.995463000212258	-4.229953839658455	-46.649652088467896	4.8648062289522445	-24.982007682817994	14.937275965633201	-10.448098030913789	-22.960493268125347
ander/adj	-4.278810684409532	21.53825411969059	0	0	14.919885942424527	0.7555000758353123	9.051141942578875	17.79091541468786	-0.5359490526223565	13.863443280671177	2.066021906924899	-5.915530086262093	-8.958726816685404	13.372120211331305	-13.11236594078339	29.9661030203461
