_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
helpen.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4311453247696705	-0.23588546966146237	LEMMAPATH3	NA	NA	LEMMAPATH	377	selection	NA	NA	FOC	nav	212	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.7718999914485131	0.02425202839557751	LEMMAPATH3	NA	NA	LEMMAPATH	377	weight	NA	NA	5000	all	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.8795427776091443	0.01154663122303891	LEMMAPATH3	NA	NA	LEMMAPATH	377	weight	NA	NA	5000	nav	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.6654307754114621	0.02516364048368584	LEMMAPATH3	NA	NA	LEMMAPATH	377	weight	NA	NA	FOC	all	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.722741047691554	-0.00140188328755019	LEMMAPATH3	NA	NA	LEMMAPATH	377	weight	NA	NA	FOC	nav	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.9770927876984008	-0.1974307841962527	LEMMAPATHweight	NA	NA	LEMMAPATH	739	no	NA	NA	5000	all	212	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.059253196903637	-0.1995377505282083	LEMMAPATHweight	NA	NA	LEMMAPATH	739	no	NA	NA	5000	nav	212	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.7152564743501978	-0.20568011780167855	LEMMAPATHweight	NA	NA	LEMMAPATH	739	no	NA	NA	FOC	all	212	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.8244355268199152	-0.2351243701330129	LEMMAPATHweight	NA	NA	LEMMAPATH	739	no	NA	NA	FOC	nav	212	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.5019248144908746	-0.1883787034002756	LEMMAPATHweight	NA	NA	LEMMAPATH	377	selection	NA	NA	5000	all	212	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.6030427874372779	-0.20463237515656665	LEMMAPATHweight	NA	NA	LEMMAPATH	377	selection	NA	NA	5000	nav	212	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.3746362957908935	-0.15402748998245178	LEMMAPATHweight	NA	NA	LEMMAPATH	377	selection	NA	NA	FOC	all	212	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4311453247696705	-0.23588546966146237	LEMMAPATHweight	NA	NA	LEMMAPATH	377	selection	NA	NA	FOC	nav	212	2	helpen.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.7718999914485131	0.02425202839557751	LEMMAPATHweight	NA	NA	LEMMAPATH	377	weight	NA	NA	5000	all	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.8795427776091443	0.01154663122303891	LEMMAPATHweight	NA	NA	LEMMAPATH	377	weight	NA	NA	5000	nav	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.6654307754114621	0.02516364048368584	LEMMAPATHweight	NA	NA	LEMMAPATH	377	weight	NA	NA	FOC	all	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.722741047691554	-0.00140188328755019	LEMMAPATHweight	NA	NA	LEMMAPATH	377	weight	NA	NA	FOC	nav	212	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-1.0911279259215056	1.3245708309038142	NA	LEMMAREL1	NA	LEMMAREL	244	no	NA	NA	5000	all	216	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-1.1952730572838652	1.310731532988047	NA	LEMMAREL1	NA	LEMMAREL	244	no	NA	NA	5000	nav	216	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.8449797289274426	1.4036358319583189	NA	LEMMAREL1	NA	LEMMAREL	244	no	NA	NA	FOC	all	216	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-1.0763969483669642	1.512025373677644	NA	LEMMAREL1	NA	LEMMAREL	244	no	NA	NA	FOC	nav	216	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.7579616860133362	1.1547548184697949	NA	LEMMAREL1	NA	LEMMAREL	151	selection	NA	NA	5000	all	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
