met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
mcquitty	0.08214428158827532	0.07715456103506538	0.07957127475771829	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	1	14	1
average	0.08685694403624905	0.07132652344383944	0.07832934697605609	diskwalificeren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	1	78	1
complete	0.07243880672743015	0.07341311698857383	0.07292270759689669	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	3	12	1
ward.D2	0.078436842689157	0.0661464640661264	0.07176927838813783	diskwalificeren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	1	4	1
complete	0.07623400263707075	0.06252908716650978	0.06870476295523269	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	1	13	2
complete	0.07617425557072934	0.062480081087988734	0.06865091679881612	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	2	14	3
ward.D2	0.06779344452952292	0.06870527413615801	0.06824631376127883	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	mds	4	3	2
ward.D2	0.07057465206123303	0.06417515009837137	0.06722293935252574	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	2	6	3
complete	0.07019276310329851	0.060815127245206324	0.06516831632757364	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	4	15	4
single	0.03886984082068887	0.20051042679316064	0.06511654824374193	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	tsne.10	2	58	1
mcquitty	0.03462646899561178	0.31184723114191076	0.062331821874022406	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	mds	38	1	2
ward.D2	0.0697385399829303	0.055977000109671896	0.062104561733534895	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	3	7	4
ward.D	0.06935575514135331	0.0552612471995531	0.06151143836846885	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	1	2	1
average	0.058360835276712895	0.06443082407978444	0.061245800090479835	diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	mds	2	84	2
mcquitty	0.06803508826859832	0.05527449555521172	0.06099453209532175	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	2	22	3
ward.D2	0.056127204798481364	0.06423270641922751	0.059907027705122934	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	mds	6	5	5
ward.D	0.06458800116140956	0.05177469749473168	0.057475879479267675	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	2	3	2
average	0.03571541061790779	0.13291907069595355	0.056302354677050054	diskwalificeren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	38	25	3
single	0.03148262365354575	0.23690152021846253	0.055579150812631845	diskwalificeren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	4	15	2
complete	0.05801873577170001	0.05197657617064328	0.054831704841073574	diskwalificeren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	6	18	5
ward.D2	0.05414956788826654	0.05386345904998662	0.054006134541372854	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	mds	7	8	6
average	0.05229720840534943	0.05544833615223046	0.05382669331507067	diskwalificeren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	8	98	4
ward.D2	0.05784330694938635	0.04991984385240355	0.05359028256571829	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	5	9	7
complete	0.05942880177075354	0.04811952495520945	0.05317954815145665	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	5	19	6
ward.D	0.05712363142264458	0.04647720252451013	0.051253382533966337	diskwalificeren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	3	4	3
average	0.057028616759281184	0.04643270519574182	0.051188074918582384	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	3	112	5
average	0.05491338682776869	0.04667862303702208	0.050462261487514024	diskwalificeren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	5	111	6
ward.D	0.0568846201559308	0.045240347923279224	0.05039864502756765	diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	4	5	4
average	0.05527193466750796	0.04597373185578613	0.05019586893568244	diskwalificeren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	4	115	7
single	0.027833569342094223	0.2506701313734431	0.05010378293465425	diskwalificeren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.10	5	14	3
average	0.05386374477595272	0.04612571015852773	0.04969530999476924	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	6	114	8
average	0.045950526012790906	0.05348005810970691	0.04943019943055169	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	11	101	9
average	0.046165975453628036	0.052879910692871415	0.04929538730010999	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	10	102	10
complete	0.05326565224394682	0.04506788845039148	0.048825059214119323	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	7	21	7
single	0.02765050826533513	0.20806548764665322	0.048813967534497474	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	6	56	4
average	0.05375356935715168	0.043943913994122306	0.04835625540556893	diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	7	122	11
ward.D	0.05315017494870145	0.04395537117660947	0.04811745077788001	diskwalificeren.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	mds	5	6	5
