_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	354	NA	NA	1	weight	0.6777408744285215	0.2707863468424901	5000	5000	nav	4_4	0.16131661794275515	219	herstructureren
herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	354	NA	NA	1	weight	0.08593659875200828	-0.7336576324920998	5000	5000	all	4_4	0.1693826508043213	219	herstructureren
herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	354	NA	NA	1	weight	0.5157632278931704	0.33349341154863765	FOC	193	nav	4_4	0.16977022723256602	219	herstructureren
herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	354	NA	NA	1	weight	0.4721939087600701	0.3016892544163192	FOC	354	all	4_4	0.16198904205882125	219	herstructureren
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	405	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	405	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	405	lex	10_10	1	weight	NA	NA	FOC	303	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	405	lex	10_10	1	weight	NA	NA	FOC	405	all	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	405	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	405	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	405	lex	10_10	1	selection	NA	NA	FOC	303	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	405	lex	10_10	1	selection	NA	NA	FOC	405	all	4_4	NA	233	herstructureren
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	236	herstructureren
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	236	herstructureren
herstructureren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	FOC	530	nav	4_4	NA	236	herstructureren
herstructureren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	722	lex	10_10	1	no	NA	NA	FOC	722	all	4_4	NA	236	herstructureren
herstructureren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	543	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	543	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	543	all	10_10	1	weight	NA	NA	FOC	303	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	543	all	10_10	1	weight	NA	NA	FOC	543	all	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	543	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	543	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	543	all	10_10	1	selection	NA	NA	FOC	303	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	543	all	10_10	1	selection	NA	NA	FOC	543	all	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	1025	all	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	1025	all	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	1025	all	10_10	1	no	NA	NA	FOC	530	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	1025	all	10_10	1	no	NA	NA	FOC	1025	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	344	lex	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	344	lex	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	344	lex	5_5	1	weight	NA	NA	FOC	256	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	344	lex	5_5	1	weight	NA	NA	FOC	344	all	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	344	lex	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	344	lex	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	344	lex	5_5	1	selection	NA	NA	FOC	256	nav	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	344	lex	5_5	1	selection	NA	NA	FOC	344	all	4_4	NA	233	herstructureren
herstructureren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	442	lex	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	236	herstructureren
herstructureren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	442	lex	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	236	herstructureren
herstructureren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	442	lex	5_5	1	no	NA	NA	FOC	328	nav	4_4	NA	236	herstructureren
herstructureren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	442	lex	5_5	1	no	NA	NA	FOC	442	all	4_4	NA	236	herstructureren
herstructureren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	460	all	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	460	all	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	460	all	5_5	1	weight	NA	NA	FOC	256	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	460	all	5_5	1	weight	NA	NA	FOC	460	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	460	all	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	460	all	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	460	all	5_5	1	selection	NA	NA	FOC	256	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	460	all	5_5	1	selection	NA	NA	FOC	460	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	632	all	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	632	all	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	632	all	5_5	1	no	NA	NA	FOC	328	nav	4_4	NA	239	herstructureren
herstructureren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	632	all	5_5	1	no	NA	NA	FOC	632	all	4_4	NA	239	herstructureren
herstructureren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	249	lex	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	249	lex	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	249	lex	3_3	1	weight	NA	NA	FOC	181	nav	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	249	lex	3_3	1	weight	NA	NA	FOC	249	all	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	249	lex	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	249	lex	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	249	lex	3_3	1	selection	NA	NA	FOC	181	nav	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	249	lex	3_3	1	selection	NA	NA	FOC	249	all	4_4	NA	220	herstructureren
herstructureren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	277	lex	3_3	1	no	NA	NA	5000	5000	nav	4_4	NA	225	herstructureren
herstructureren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	277	lex	3_3	1	no	NA	NA	5000	5000	all	4_4	NA	225	herstructureren
herstructureren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	277	lex	3_3	1	no	NA	NA	FOC	201	nav	4_4	NA	225	herstructureren
herstructureren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	277	lex	3_3	1	no	NA	NA	FOC	277	all	4_4	NA	225	herstructureren
herstructureren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	331	all	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	238	herstructureren
herstructureren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	331	all	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	238	herstructureren
herstructureren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	331	all	3_3	1	weight	NA	NA	FOC	181	nav	4_4	NA	238	herstructureren
herstructureren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	331	all	3_3	1	weight	NA	NA	FOC	331	all	4_4	NA	238	herstructureren
