_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	433	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	433	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	433	lex	10_10	1	weight	NA	NA	FOC	311	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	433	lex	10_10	1	weight	NA	NA	FOC	433	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	433	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	433	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	433	lex	10_10	1	selection	NA	NA	FOC	311	nav	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	433	lex	10_10	1	selection	NA	NA	FOC	433	all	4_4	NA	348	spoor
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	981	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	981	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	981	lex	10_10	1	no	NA	NA	FOC	732	nav	4_4	NA	357	spoor
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	981	lex	10_10	1	no	NA	NA	FOC	981	all	4_4	NA	357	spoor
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	597	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	597	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	597	all	10_10	1	weight	NA	NA	FOC	311	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	597	all	10_10	1	weight	NA	NA	FOC	597	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	597	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	597	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	597	all	10_10	1	selection	NA	NA	FOC	311	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	597	all	10_10	1	selection	NA	NA	FOC	597	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	1362	all	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	1362	all	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	1362	all	10_10	1	no	NA	NA	FOC	732	nav	4_4	NA	358	spoor
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	1362	all	10_10	1	no	NA	NA	FOC	1362	all	4_4	NA	358	spoor
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	5_5	1	weight	NA	NA	FOC	233	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	5_5	1	weight	NA	NA	FOC	326	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	326	lex	5_5	1	selection	NA	NA	FOC	233	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	326	lex	5_5	1	selection	NA	NA	FOC	326	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	593	lex	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	593	lex	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	593	lex	5_5	1	no	NA	NA	FOC	450	nav	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	593	lex	5_5	1	no	NA	NA	FOC	593	all	4_4	NA	350	spoor
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	463	all	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	463	all	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	463	all	5_5	1	weight	NA	NA	FOC	233	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	463	all	5_5	1	weight	NA	NA	FOC	463	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	463	all	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	463	all	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	463	all	5_5	1	selection	NA	NA	FOC	233	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	463	all	5_5	1	selection	NA	NA	FOC	463	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	843	all	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	843	all	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	843	all	5_5	1	no	NA	NA	FOC	450	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	843	all	5_5	1	no	NA	NA	FOC	843	all	4_4	NA	358	spoor
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	NA	NA	FOC	168	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	221	lex	3_3	1	weight	NA	NA	FOC	221	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	221	lex	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	301	spoor
