measure	globqual	meanclassqual	classqual_horde_1	classqual_horde_1b	classqual_horde_3	classqual_horde_2	model	technique
DR	1.7655341749185969	1.613303024040074	1.8897885525593148	1.1791997325151946	1.5075385993659063	1.8766852117198807	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.12117677022825106	0.09094190213362273	0.11537610123054012	-0.08921279592387721	0.1073883490316752	0.2302159541961528	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6668413076029349	0.50489529609801	0.7999301038276441	0.05679865478968676	0.5605383014694862	0.6023141243052227	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k17	0.689406831915156	0.5378947875446475	0.8121470810546441	0.11365286855482934	0.599128540305011	0.6266506602641057	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6975643224699828	0.5512323111062607	0.8103896103896103	0.12424242424242425	0.6231729055258467	0.6471243042671614	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.7828006121279856	1.640518077960538	1.8829932181133202	1.1902024422000514	1.631779633373481	1.8570970181552993	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.1126747261551028	0.09841585805720052	0.07777607495911942	-0.08354627720598161	0.17865215625590283	0.2207814782197614	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6654226805156163	0.5070331075517022	0.7900084002293472	0.052476748550678146	0.5822386195498407	0.6034086618769426	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k17	0.6863731656184486	0.5300960253382399	0.8087234893957583	0.07952069716775599	0.6001537870049981	0.6319861277844471	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.696672384219554	0.5424506166102805	0.8084106369820655	0.0696969696969697	0.6171122994652406	0.6745825602968459	horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
