measure	globqual	meanclassqual	classqual_heffen_1	classqual_heffen_2	model	technique
DR	3.011525393080979	2.9387555560340117	2.6752785598294744	3.202232552238549	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.5901326867578843	0.5832591657834916	0.558372279496897	0.6081460520700861	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.9233705307243779	0.9221960901350374	0.9179438052425977	0.9264483750274771	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k21	0.9260977118119975	0.9244018288598022	0.9182615629984051	0.9305420947211992	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.9268398268398268	0.9235163893451404	0.9114832535885168	0.9355495251017639	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	2.818107822018592	2.767519065624281	2.5843528786793653	2.9506852525691976	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.5718700948868032	0.567192091111711	0.5502544912363774	0.5841296909870447	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.9227715642186676	0.9211574515013072	0.9153132502832786	0.927001652719336	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k21	0.9291898577612864	0.927589071049401	0.9217931191615402	0.9333850229372618	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9328138528138528	0.9302685138898807	0.9210526315789473	0.9394843962008141	heffen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.2548874801101513	2.301966311805197	2.4724241507010523	2.1315084729093416	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.48898105888897386	0.5030360681392261	0.5539248947349666	0.45214724154348546	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.929659175502682	0.9312438082289676	0.9369812715482777	0.9255063449096576	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k21	0.9289837146980005	0.9274891774891775	0.922077922077922	0.9329004329004329	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9335064935064935	0.9316914232664428	0.9251196172248803	0.9382632293080054	heffen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
