measure	globqual	meanclassqual	classqual_helpen_1	classqual_helpen_2	classqual_helpen_4	classqual_helpen_3	classqual_helpen_5	model	technique
DR	1.0794132271879329	1.0782592877759718	1.1426027770465033	0.9795003272818389	0.9389145681584952	1.1030947480767894	1.2271840183162324	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.07541027368006806	-0.07518137362007678	-0.021715708055462336	-0.18682795080889955	-0.22942758872293825	-0.00433611266140064	0.06640049214831692	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.2611692826302777	0.2049194068235854	0.38289945190495667	0.2577861649044913	0.07777305050533617	0.2097090809500789	0.09642928585306391	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k18	0.2997638326585695	0.2451634978104661	0.42189904586026467	0.28438379900368205	0.1063264221158958	0.2633159475264738	0.14989227454601414	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.3131118881118881	0.2630702342185596	0.42272727272727273	0.29393939393939394	0.12479338842975206	0.2987714987714988	0.17511961722488037	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0761274340812808	1.0729661238365822	1.120803013823878	0.9794782157214805	0.9543603950843662	1.1595630000536195	1.1506259944995663	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.061741488443922014	-0.06266050037186852	-0.018106659345810742	-0.17309611183713008	-0.18969945874402505	0.04278110067969841	0.024818627387924893	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.25156945695495625	0.202713598483384	0.3492892778862968	0.24239882643162908	0.06966815545578788	0.2481223866508958	0.10408934599231037	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k18	0.3006072874493927	0.2521920014533126	0.4060480147737765	0.2774528914879792	0.08718766613503455	0.30282914493440805	0.18744228993536471	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.3	0.2585026827610559	0.381578947368421	0.29023569023569024	0.08512396694214876	0.31547911547911545	0.2200956937799043	helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.1005998200900209	1.1226055346302186	1.2000324567005585	0.8861641298850832	0.9363764587613546	1.1139173797033193	1.476537248100778	helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
