measure	globqual	meanclassqual	classqual_spot_4	classqual_spot_1	classqual_spot_2	classqual_spot_3	classqual_headline	model	technique
DR	1.7485163042830862	2.250215972831372	1.7317416627520503	1.7210576125176387	1.1957881301120583	1.1852941838990905	5.417198274876023	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.08627349716837394	0.16738961296705313	0.2538819908401516	0.18137565398479183	-0.2450772516037864	-0.08003726755174412	0.7268049391658526	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.5613285660297882	0.4894121835389551	0.13624078669727555	0.7418621433581775	0.3766591366199638	0.3343106853388853	0.8579881656804733	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k12	0.6090348330914369	0.5570161391315237	0.3564102564102564	0.7671351084812623	0.4253561253561254	0.3989010989010989	0.8372781065088757	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6188679245283019	0.5695707625707626	0.383030303030303	0.7756993006993007	0.4339393939393939	0.4062337662337662	0.848951048951049	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.8835431235640823	2.312631172524812	1.5671920269157136	1.9410961933015218	1.3161934339376125	1.2317176568726889	5.506956551596522	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.09586649143661259	0.1362215239043606	0.10298604137347282	0.20564831056569763	-0.17928128274454352	-0.07789409843734582	0.6296486487645219	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.570371699302276	0.4882390723461615	0.10556303795551303	0.7683680447365244	0.33070920000580684	0.3849067273846115	0.8516483516483516	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k12	0.6002056119980649	0.531955636955637	0.2675213675213675	0.7813116370808678	0.4011396011396011	0.37252747252747254	0.8372781065088758	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6094339622641509	0.5481694971694971	0.29454545454545455	0.7875874125874126	0.40484848484848485	0.3797402597402597	0.8741258741258742	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.6623903095560169	2.361532409390834	2.01960867039365	1.4259464720775925	1.171995135919506	1.2555885620999523	5.934523206463469	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.01624079625363768	0.1322896675801338	0.3675303970082882	-0.023307856075462055	-0.2892767688118015	-0.06359393125689845	0.6700964970365427	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5379397320196427	0.47036829710994676	0.11917471931956021	0.723225713883652	0.35485973874597837	0.2755401288224983	0.8790411847780449	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k12	0.5820029027576198	0.5346520929213237	0.31367521367521367	0.7469181459566074	0.403988603988604	0.3230769230769231	0.8856015779092702	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5915951972555746	0.5436446886446886	0.3309090909090909	0.7589160839160839	0.41333333333333333	0.32415584415584414	0.8909090909090909	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.4325219148179051	2.0836845157288915	2.0668512439878244	1.1782748430992738	1.1160933194969669	0.9628842265957019	5.09431894546469	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.13911426854766992	0.027083539023083074	0.37935329793859823	-0.1407124824357092	-0.3210685293862747	-0.40601512374878596	0.623860532747587	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.464059571971941	0.401690634965208	0.11888098689239984	0.6602071063277	0.2438337457190323	0.18870224875901973	0.7968290871278884	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k12	0.5145137880986937	0.4601675745906515	0.21367521367521367	0.6833086785009862	0.3507122507122507	0.2424908424908425	0.8106508875739645	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.5230703259005146	0.4758409368409368	0.2303030303030303	0.6896853146853147	0.3559595959595959	0.2431168831168831	0.8601398601398601	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	2.2129461019991528	4.088523628888539	2.409914931575646	1.5681209118379176	1.0218525827314486	1.053291920829873	14.38943779746781	spot.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
