measure	globqual	meanclassqual	classqual_herroepen_2	classqual_herroepen_1	model	technique
DR	1.302051053690384	1.3076227202857662	1.3367473411252637	1.2784980994462687	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.18115625123903953	0.18484023376258502	0.20409741513566368	0.16558305238950635	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7353668536765878	0.719275462020623	0.635161369273534	0.8033895547677119	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k23	0.7277567737870195	0.7178528407093839	0.6660822814399252	0.7696233999788427	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7425296442687747	0.7320739773529978	0.6774193548387096	0.7867285998672859	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.2651354035017655	1.2669970098794088	1.2767281341261798	1.2572658856326375	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.16736269584490146	0.168330829677044	0.17339152925415277	0.1632701300999352	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.710908508994438	0.6997928795925503	0.6416884531735921	0.7578973060115085	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k23	0.7308286074354128	0.7206003043921881	0.6671341748480598	0.7740664339363165	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.745691699604743	0.7361410193291521	0.6862170087976539	0.7860650298606503	herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.2188717081015374	1.232507157374788	1.3037833694849617	1.1612309452646146	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.14784266319012554	0.15713564208547898	0.20571257722028097	0.10855870695067697	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.738837332326362	0.7265957998726995	0.6626059711376454	0.7905856286077535	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k23	0.7419817265280403	0.733009177265225	0.6861072152095995	0.7799111393208505	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.7528853754940711	0.744063188989019	0.6979472140762463	0.7901791639017917	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0118283327769733	1.0395238594352774	1.1842959306036855	0.8947517882668693	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.002289346490911196	0.022072063662195537	0.14941579855343526	-0.10527167122904418	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6458575061788328	0.6413195091028031	0.6175981607508303	0.6650408574547759	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k23	0.6394139886578449	0.6290257174999345	0.5747233909926757	0.6833280440071935	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.678102766798419	0.6682606617148648	0.6168132942326491	0.7197080291970803	herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.2936940570409916	1.2948507806403904	1.3008972903645208	1.28880427091626	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.18537943150967598	0.1863097982164258	0.1911730787289818	0.18144651770386983	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7364925802430445	0.7312617981999909	0.7039190738840289	0.7586045225159529	herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
