measure	globqual	meanclassqual	classqual_herinneren_1	classqual_herinneren_2	model	technique
DR	2.404722285289102	2.1589783729847345	1.4802570913821953	2.8376996545872735	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.5048267558163295	0.4372136218079576	0.25047258502293024	0.6239546585929849	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.9554676148037214	0.9472200690470296	0.9244411331475952	0.9699990049464641	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k23	0.9405453523238381	0.9227704933882699	0.8736780258519389	0.971862960924601	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.9527429467084639	0.9441436257891954	0.9203931203931204	0.9678941311852705	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.9654612842395949	1.7657164893029504	1.2140403890017422	2.3173925896041587	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.4069662675065578	0.32363686277300213	0.0934889830327056	0.5537847425132987	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.943525702014708	0.9244635949166036	0.8718158705504104	0.9771113192827967	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k23	0.9393428285857072	0.916226008617313	0.85237955346651	0.980072463768116	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9549373040752351	0.9443177930519703	0.914987714987715	0.9736478711162255	herinneren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.695677387910265	2.626208240695915	2.4343410721991368	2.8180754091926925	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.5881773571240738	0.5688543016958824	0.5154858628942108	0.6222227404975539	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9804280765848528	0.9736149634723911	0.9547977939236874	0.9924321330210948	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k23	0.974934407796102	0.9653804533757753	0.9389933411672542	0.9917675655842965	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9809561128526646	0.9743274344540167	0.956019656019656	0.9926352128883774	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.9464912041778006	1.9445755538972964	1.9392847102654276	1.949866397529165	herinneren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
