measure	globqual	meanclassqual	classqual_both	classqual_haten_1	classqual_haten_2	model	technique
DR	1.058099008692523	1.0155616923349604	0.9128785072168106	0.9953257349085457	1.1384808348795246	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.014281815553664456	-0.03446670128495014	-0.15342413407057925	-0.041008540073351085	0.09103257028907992	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4784414114305827	0.3553631135423404	0.044807858531085855	0.47165851024892946	0.5496229718470059	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k15	0.4958146487294469	0.37462058670820353	0.06770833333333333	0.5035833333333334	0.552570093457944	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.49930697105585	0.3747318040215237	0.05909090909090909	0.5094545454545455	0.5556499575191164	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0957107237290098	1.0574931023550902	0.9708390285486773	0.9664918380693124	1.2351484404472812	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.002813252667550345	-0.03486278655793129	-0.12294512827970383	-0.09004330807237469	0.10840007667828465	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.4931201629267972	0.36645171264443616	0.045850678923327226	0.4989702348807782	0.5545342241292031	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k15	0.5131165919282511	0.38202135254413294	0.049479166666666664	0.5287499999999999	0.5678348909657321	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5149612719119445	0.3813218634947607	0.042045454545454546	0.5345454545454545	0.567374681393373	haten.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.0822512139878766	1.0913087448808487	1.1209901041715447	0.9939981296922055	1.1589380007787964	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.038845901770552374	-0.026125454500253387	0.014128805874962224	-0.14419373348138867	0.05168856410566628	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.5324813218194931	0.39745323761806317	0.055585582194477075	0.5401237899934144	0.5966503406662981	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k15	0.5451420029895366	0.41004653426791277	0.06822916666666666	0.5499166666666666	0.611993769470405	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5518141051773339	0.40970206740300197	0.05	0.5585454545454546	0.6205607476635514	haten.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
