measure	globqual	meanclassqual	classqual_herhalen_2	classqual_herhalen_4	classqual_herhalen_1	classqual_herhalen_3	model	technique
DR	1.4160257174265622	1.6165009469890426	1.3296306280257963	1.566324198200942	1.0656006623252767	2.504448299404155	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.004258705438726636	0.09869098791348159	0.042814198905968964	0.17640500464582307	-0.3309725989169538	0.5065173470190881	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.59282072483918	0.5142414453266335	0.7247358103919238	0.15128487776107932	0.41596516736574957	0.7649799257877813	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k25	0.5909225658062868	0.5089469173360576	0.7321078921078921	0.20710059171597633	0.4135022624434389	0.6830769230769231	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6250679553005134	0.5525404660698778	0.7428571428571429	0.21048951048951048	0.4699465240641711	0.7868686868686868	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.284259453331412	1.4581841487366387	1.1580736980401027	1.553353883291359	1.1319269489563366	1.9893820646587568	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.08858202201087033	0.0030308526483136264	-0.17222504956478052	0.015198810545907441	-0.13520586637808074	0.3043555159902083	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.5217860487565108	0.44071668653502016	0.6493992499294317	0.1614308367430354	0.37917540184539333	0.5728612576222202	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k25	0.5435931510350115	0.46210839185952307	0.6599600399600399	0.23041420118343195	0.43891402714932126	0.5191452991452992	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5832074901842343	0.511849821301693	0.6878394332939788	0.26153846153846155	0.4752941176470588	0.6227272727272727	herhalen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.4627228285099054	1.8291972367193148	1.1101869923802963	1.329238129321546	1.2074588874743006	3.669904937701116	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.035728396232835934	0.1091366150392531	-0.152114053659143	0.06301739831002716	-0.1610262758542227	0.6866693913603509	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6416714824291581	0.5718716834116345	0.7492289583010266	0.15530767617564079	0.48852354045176466	0.8944265587181058	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k25	0.6323128034755942	0.563093570331127	0.7364035964035964	0.16698224852071006	0.49009954751131224	0.8588888888888889	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.6615524010872847	0.5961766842782885	0.7552538370720189	0.1888111888111888	0.5315508021390374	0.9090909090909091	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.197273435384852	1.4416694292127592	1.0331814625547144	1.6771739416539508	0.9721476138629856	2.084174698779386	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.18108685922661105	-0.016330987650462675	-0.31782980442623765	0.15269024263281777	-0.2678502664677363	0.3676658776593055	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.46129742499485965	0.4079600123700501	0.5692555455210914	0.1859952057216014	0.3018792005692403	0.5747100976682674	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k25	0.47844620495783285	0.418108689199187	0.5814585414585415	0.2592899408284024	0.36296832579185523	0.46871794871794875	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.5071579583207491	0.4563317638986088	0.608736717827627	0.27692307692307694	0.3649197860962567	0.5747474747474747	herhalen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.2624159553384968	1.373693200311564	1.1901846349572205	1.553095666658585	1.1686643153807377	1.5828281842497136	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.06584853582897449	0.021341477312866092	-0.06825235742674349	0.2057211965106499	-0.26086922196146545	0.2087662921290234	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.5216857522040033	0.38791840066406397	0.7173183096834398	0.18127885744374997	0.3742120357055385	0.2788643998235275	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k25	0.5261129568106312	0.40579019748476763	0.6948251748251748	0.22201183431952662	0.4113665158371041	0.29495726495726493	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.5519178495922682	0.4391406588064342	0.7160566706021252	0.23146853146853147	0.42267379679144385	0.38636363636363635	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.2349368853520961	1.382285496753513	1.0695724219551321	1.4868108079578504	1.2515398621907754	1.7212188949102938	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-0.11424339057122719	0.011764275691635899	-0.2562906189353503	0.09440908336356514	-0.09989657945975443	0.3088352177980832	herhalen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
