measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
DR	1.106537179602572	1.059817894318319	1.309158877779578	0.9142183276988829	0.9560764774764958	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.006995939202876695	-0.03338742185792575	0.1693482397557469	-0.17152008184981216	-0.09799042347971199	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.3781074774751189	0.33050868661611893	0.533613143545118	0.1332749285897979	0.3246379877134408	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k21	0.4625730256798218	0.4192583994318025	0.5861378764604571	0.22255017709563166	0.44908714473931866	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.46954986760812	0.4265006948227654	0.5734115347018572	0.21280991735537189	0.4932806324110672	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.1108037141839993	1.067566307632141	1.2783318285868894	0.9136249777613883	1.0107421165481458	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.015306278763041987	-0.023722211590694545	0.1480941126212758	-0.18037330086199196	-0.03888744653136748	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.382244572229533	0.3344518832775933	0.5433352837058766	0.14116819072476208	0.3188521754021412	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k21	0.46162736939435967	0.4212243194775389	0.5756179304566401	0.23652105470287288	0.4515339732731037	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.46557811120917914	0.425223998238151	0.5632453567937439	0.22520661157024793	0.48722002635046113	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.0727352120806892	1.0282394205195622	1.237038297660563	0.862041020111237	0.9856389437868867	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.00848878213252639	-0.04583648253241817	0.13470746274188533	-0.18025934636419505	-0.09195756397494478	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.3798683087568393	0.33858316906620145	0.5319472701916994	0.18402315509582368	0.2997790819110812	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k21	0.4472954230235784	0.41510163657301236	0.557882977237816	0.28689492325855964	0.4005270092226614	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.45392762577228596	0.4273290085606801	0.5376344086021505	0.3140495867768595	0.4303030303030303	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0919011889041197	1.0624040774808097	1.2712179639209324	1.0198092103352518	0.8961850581862445	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.0025294571814848295	-0.02503985251520725	0.16673316311051062	-0.06810886941526084	-0.17374385124087152	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.3639099771062377	0.32587353378462197	0.4937295511813632	0.17359501751537998	0.31029603265712274	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k21	0.4283402681460934	0.39303065689652456	0.5554159102546199	0.2579693034238489	0.36570675701110483	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.427802294792586	0.39306374982774317	0.5391984359726295	0.24710743801652893	0.39288537549407115	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.1310331779700569	1.0758880789104006	1.3594730705820386	0.8937340546636046	0.9744571114855586	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.010586793927960735	-0.03376549340453263	0.19356932487164624	-0.18098691547914625	-0.11387888960609789	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4229652028941587	0.3769426943495439	0.5585027696979561	0.1720148962763938	0.40031041707428183	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k21	0.47303828857226915	0.434204034357037	0.5915374947633012	0.265249901613538	0.44582470669427193	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.4837599293909973	0.44721220878941137	0.5804496578690127	0.27396694214876033	0.48722002635046113	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
