measure	globqual	meanclassqual	classqual_schaal_6	classqual_schaal_3	classqual_schaal_1	classqual_schaal_5	model	technique
DR	3.4049753431522447	2.088072860142612	1.1412827859214962	4.304512770766514	1.6543168877255932	1.2521789961568464	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.49130952557895535	0.20495968035844478	-0.03244198775386854	0.6865319420193063	0.17364350166255796	-0.007894734494216606	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8373505498188997	0.6608558439338781	0.41382314679050103	0.9467738259958501	0.6927619325952128	0.5900644703539482	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k18	0.8397051260072004	0.69121766826026	0.5164666051092643	0.9367158114378278	0.7224049707602339	0.5892832857337141	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8603494225644063	0.748366296472317	0.6822966507177033	0.9406743491250533	0.7392045454545455	0.6312896405919661	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	3.159780486702142	2.017247228808606	1.3255372206267122	3.958643689436598	1.6427679860639262	1.1420400191071887	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.4675054916206435	0.19332567398580522	0.06912149069444078	0.6697007081236888	0.17436678203467854	-0.13988628490958718	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.7932364144430663	0.5684993688507793	0.17632853221004322	0.9272222657538642	0.6958375103116887	0.4746091671275214	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k18	0.8239899422824162	0.6640800501437599	0.5143120960295475	0.9353705076462675	0.720577485380117	0.48606011151910783	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8405685519692034	0.7248340611386505	0.7110047846889952	0.9317114810072556	0.7221590909090909	0.53446088794926	schaal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	3.622479709477187	2.3352112459255467	2.020669015768894	4.574359353284867	1.7000088336065258	1.0458077810419006	schaal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
