measure	globqual	meanclassqual	classqual_stof_6	classqual_stof_1	classqual_stof_4	classqual_stof_2	classqual_stof_3	model	technique
DR	1.5578479625007828	1.3085941546358815	0.9850263798800679	2.0402912205448938	1.0712563851679144	1.249566446638052	1.1968303409484795	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.10591998168484874	-0.026289046628160784	-0.26415406814406345	0.358859981611416	-0.1777574929888441	-0.03189865766889467	-0.01649499595041772	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4995994433590429	0.35045686093562345	0.17128342527849247	0.7777384053997536	0.13865856365117174	0.38970111496680926	0.27490279538189005	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k31	0.5097565086609273	0.3686881753842216	0.23774405772495755	0.776793659621802	0.15959252971137522	0.37724437005477784	0.2920662598081953	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.52475884244373	0.3934752985981969	0.34880382775119617	0.7744200626959248	0.15263157894736842	0.3917667238421955	0.29975429975429974	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.4601551727651172	1.2469442079115092	0.943750620564935	1.8737653351701475	1.1736127383644017	1.1837225443135606	1.0598698011445014	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.08221761339492051	-0.041696094584820126	-0.2804856702581396	0.32152516700988454	-0.07444445629994825	-0.06789579040609035	-0.10717972296980699	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.4889471419112	0.33165738969861525	0.1803433029699989	0.788229592591347	0.1716733770991897	0.3265707100127949	0.1914699658197458	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k31	0.5029690903433254	0.3670289942488681	0.24522495755517826	0.7637513904338153	0.20835101867572156	0.3490185636031649	0.26879904097646035	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.5159894767611809	0.3866579885056069	0.3215311004784689	0.7628840125391849	0.21770334928229665	0.37564322469982847	0.25552825552825553	stof.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.3940183200406902	1.3008443426573217	1.2040607341919665	1.5962458611805221	1.0808688308823298	1.1377507230299666	1.4852955640018233	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.05967961520336614	-0.010899933233278463	-0.13115997383139888	0.20968955936971412	-0.14181037985826092	-0.11229088011475503	0.1210720082683084	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.512140642825821	0.378848041796908	0.24378002949458255	0.7756423358950709	0.1882847005203237	0.31171344873248447	0.37481969434207846	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k31	0.5067225910175293	0.37232997545874424	0.24368633276740237	0.769980533926585	0.21132215619694397	0.3185483870967742	0.3181124673060157	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.5283250511546331	0.40371127633970494	0.3200956937799043	0.7770532915360502	0.254066985645933	0.3204116638078902	0.3469287469287469	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.075576967496751	1.1441101499563398	1.3253902082321958	0.9808442171952949	0.9358416409271526	0.9157282402072185	1.562746443219837	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.15777700652252122	-0.11539658976487595	-0.01021803803463669	-0.21150771157438047	-0.2739629363383004	-0.28707913109975153	0.20578486822268935	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.36183970297268747	0.28099616972307045	0.2034129439637118	0.5345763348725671	0.09639608163047107	0.15711268961914732	0.4134827985294549	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k31	0.3744230370293538	0.28515184108976394	0.22941426146010185	0.56059510567297	0.12998726655348047	0.17430006086427266	0.3314625108979948	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.4147909967845659	0.3255852482592201	0.2904306220095694	0.6008777429467085	0.15645933014354066	0.21406518010291595	0.36609336609336607	stof.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.5331453875832686	1.3055658741274334	1.204612014939669	1.9836206569765173	1.1101923768112398	1.1707933424754087	1.0586109794343324	stof.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.11241526606889134	-0.015646978812531402	-0.07093661459279678	0.3646820579702058	-0.14465159491299404	-0.08213970147080789	-0.14518904105626412	stof.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4954095357985085	0.34839077180262107	0.24721114367741448	0.7780651550976726	0.14388745829470317	0.32487109358315525	0.24791900836015987	stof.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k31	0.5212503889638004	0.38409579192234644	0.3321307300509338	0.7875417130144605	0.18612054329371816	0.3423995739500913	0.27228639930252835	stof.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.5323589593686057	0.40386830204328406	0.3827751196172249	0.7788087774294671	0.16794258373205742	0.38662092624356775	0.30319410319410317	stof.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
