measure	globqual	meanclassqual	classqual_huldigen_1	classqual_huldigen_2	model	technique
DR	1.9519084815134466	1.8386246467007905	2.106928465993924	1.5703208274076572	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.41477747632724726	0.37556436380197356	0.4684375250460428	0.2826912025579043	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8652784503190688	0.8297862547444248	0.913846717947529	0.7457257915413206	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k22	0.8618006148440931	0.8226028048038918	0.9154397233201581	0.7297658862876254	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8637575757575757	0.8268924825174825	0.9142045454545454	0.7395804195804195	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.9019669845176093	1.7917394977833925	2.0528045979433798	1.530674397623405	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.4048178944411182	0.3653122406277117	0.45887826281735855	0.27174621843806496	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8636486162704262	0.8238349068784437	0.9181305343857707	0.7295392793711167	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k22	0.8581993851559069	0.8198179537853452	0.9107213438735178	0.7289145636971724	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8661818181818182	0.834659090909091	0.9093181818181818	0.76	huldigen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7344023264133444	1.6995643431614806	1.782075356126421	1.6170533301965402	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.3774186699364144	0.3551811876265482	0.4078489088867575	0.3025134663663389	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.8944795796981846	0.8630704779226039	0.9374604558121369	0.788680500033071	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k22	0.896846728151076	0.8627337336576467	0.9435276679841897	0.7819397993311037	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.8996363636363637	0.8686451048951049	0.9420454545454545	0.7952447552447552	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.6644963342169619	1.5076634653688692	1.879109733693299	1.1362171970444395	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.32989182748958357	0.25398437254824024	0.4337651868830007	0.07420355821347982	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8262236213000367	0.7799170149233048	0.8895905563418803	0.6702434735047293	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k22	0.8296354852876592	0.7748574794770446	0.9045948616600791	0.6451200972940103	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8442828282828283	0.8024038461538461	0.9015909090909091	0.7032167832167832	huldigen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.8288236845850496	1.7085464974233426	1.9934135196484382	1.4236794751982471	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3809019070137277	0.33487883614851177	0.4438808460924442	0.22587682620457933	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8472302356612739	0.80382783208899	0.9066229984443991	0.701032665733581	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k22	0.8439174352217831	0.7970127698388567	0.908102766798419	0.6859227728792946	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8472727272727273	0.8045061188811189	0.9057954545454545	0.7032167832167832	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.7896127220674831	1.6677604985432395	1.9563578700480273	1.3791631270384517	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.3706446571853574	0.32181568520674997	0.4374632504192412	0.2061681199942587	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8453440740772911	0.8043073069007518	0.9014996502136079	0.7071149635878958	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k22	0.8508563899868248	0.8067298190939496	0.9112401185770751	0.702219519610824	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8513131313131314	0.81125	0.9061363636363636	0.7163636363636363	huldigen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.6218471863106372	1.5422090890761113	1.7308256351578835	1.3535925429943392	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.3374617942727621	0.2975795030986144	0.3920375611426483	0.20312144505458052	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.8815119512890914	0.8375773184525641	0.9416330278022342	0.7335216091028941	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k22	0.8774703557312253	0.8362201657038613	0.9339179841897233	0.7385223472179994	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.8794343434343435	0.8406555944055945	0.9325	0.7488111888111888	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.5825817629640369	1.413495907318206	1.813962407532016	1.0130294071043962	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.2912922396150518	0.19989521331390003	0.41636185455347	-0.01657142792566993	huldigen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
