measure	globqual	meanclassqual	classqual_spoor_5	classqual_spoor_1a	classqual_spoor_1	classqual_spoor_2	classqual_spoor_4	classqual_spoor_8	classqual_spoor_3	model	technique
DR	1.604360178921719	2.0081547998203684	1.3942446964232802	1.1140333902767137	1.3087097984386808	1.274184478834175	2.241388763238127	5.246148638190737	1.4783738333408658	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.031915987672020585	0.039132013160406216	-0.19981165509732723	-0.326148313598243	-0.07884398968572537	-0.1860122800105306	0.28531115251621775	0.6813978450739975	0.09803133292445448	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4347366431442966	0.36101168940791334	0.20635629836098093	0.08686218208636662	0.49028217814484387	0.53552538392775	0.5735465473066015	0.4060672934156439	0.2284419426132066	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.49336177019461475	0.46083703594674164	0.30213903743315507	0.12015810276679842	0.5338636363636363	0.5805325987144169	0.5988077496274218	0.7950413223140496	0.29531680440771346	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.49336177019461475	0.46083703594674164	0.30213903743315507	0.12015810276679842	0.5338636363636363	0.5805325987144169	0.5988077496274218	0.7950413223140496	0.29531680440771346	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6025237710531894	1.990794552227874	1.3573794987508179	1.098589510679974	1.3564609528155211	1.3109923356868347	2.1953965964237665	5.251576530226293	1.3651664410119118	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.04132198699820117	0.027332219732792807	-0.191401479099386	-0.30771267924785173	-0.1373749795112393	-0.168656380268966	0.3133214724340932	0.6579691696097943	0.025180414213105167	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.42133523174741533	0.360867225664739	0.2512634561603604	0.07191964313998477	0.520650375947637	0.4632529996371696	0.5562086146203761	0.44709949920042064	0.21567599094722467	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4953345774460144	0.4788029304879275	0.3620320855614973	0.18498023715415018	0.5620454545454545	0.5346189164370982	0.5812220566318926	0.8264462809917356	0.3002754820936639	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4953345774460144	0.4788029304879275	0.3620320855614973	0.18498023715415018	0.5620454545454545	0.5346189164370982	0.5812220566318926	0.8264462809917356	0.3002754820936639	spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.45328913412908	1.4597037480659587	1.2876374065339595	1.020864395312459	1.1727380353415457	1.2259965349440816	2.400100053508447	1.6334647720103699	1.4771250388108483	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.07083805483238877	-0.054366324489841085	-0.2502335155119841	-0.30855534151514896	-0.17278833272605917	-0.23017852235250333	0.39487012981416414	0.09890932553351714	0.0874119853291267	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.36943581757932725	0.266124264886989	0.18515537734263202	0.08609689945907122	0.4362448727868629	0.5108677519868638	0.43224435777275577	0.052040929402205276	0.1602196654585318	spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
