measure	globqual	meanclassqual	classqual_harden_3	classqual_harden_5	model	technique
SCP_k10_b0	0.934697536640549	0.9009064603220749	0.8307686800644016	0.9710442405797481	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k25	0.9202616007474307	0.8741415773434216	0.7784134615384616	0.9698696931483817	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9375046006624954	0.9077604942871336	0.8460227272727273	0.9694982613015399	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.5563713310905232	1.5065328602709989	1.4030866225195495	1.6099790980224482	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.30909387969325036	0.28767691722592137	0.24322322202062496	0.3321306124312177	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8880124799318619	0.8516302562133502	0.7761142120245066	0.9271463004021938	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k25	0.8728620367486765	0.8198470996216898	0.7098076923076924	0.9298865069356873	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8906882591093117	0.8506721932439145	0.7676136363636363	0.9337307501241927	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.534297938581369	1.3984853374405355	1.1165885938961166	1.6803820809849546	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.28194150905689436	0.21148784684266847	0.06525209417952733	0.3577235995058096	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8961962550993167	0.8339417213894935	0.7047243278909529	0.9631591148880341	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k25	0.8711927748364995	0.7905055958385876	0.6230288461538461	0.9579823455233292	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.9076186970923813	0.8605276639344263	0.7627840909090909	0.9582712369597616	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.8940448458292778	1.6350077779146068	1.097342603335416	2.1726729524937975	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.3990836724969195	0.28783930661478097	0.05693713541403967	0.5187414778155223	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.9124893422039211	0.8546603703942413	0.734628807058183	0.9746919337302994	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k25	0.9120772345063843	0.8581450977301388	0.7462019230769231	0.9700882723833544	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9271991166728009	0.88787413065077	0.80625	0.9694982613015399	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	3.768869294638029	2.875347586954144	1.0207268995766692	4.729968274331619	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.5686177495946313	0.38067503494513555	-0.009424549243313755	0.7707746191335848	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9239468456956821	0.883808442681085	0.8004959591129716	0.9671209262491984	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k25	0.9337651821862348	0.8944624842370744	0.8128846153846154	0.9760403530895334	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.93971291866028706	0.9126684364133135	0.8565340909090909	0.968802781917536	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.6609268621903854	1.5723768291727596	1.3885797018168466	1.7561739565286723	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.3338572730989824	0.3026582140578218	0.2379005032749087	0.36741592484073493	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8537318487159281	0.8017303020612643	0.6937943186688109	0.9096662854537176	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k25	0.8452195577701651	0.7872175809163514	0.666826923076923	0.9076082387557798	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8584468163415532	0.8090544274714357	0.7065340909090909	0.9115747640337805	harden.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.4916547235531172	1.4103776549203202	1.2416765124640108	1.5790787973766298	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.2858718936894894	0.24267312002182229	0.1530084385435553	0.3323378015000893	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8876342132681089	0.833159618412017	0.7200905013577759	0.9462287354662582	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k25	0.8841856119588913	0.8195950241698192	0.6855288461538461	0.9536612021857923	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.9001104158998896	0.8520429706905117	0.7522727272727272	0.9518132141082961	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.6869213740042253	1.5364195354005168	1.224033366197862	1.8488057046031718	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.35635801556502283	0.287616002385348	0.14493300023930028	0.43029900453139575	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.9127450694904324	0.870675123214891	0.7833534700211205	0.9579967764086617	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k25	0.8920710059171598	0.8354678961748634	0.7179807692307693	0.9529550231189575	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9104895104895104	0.8699469076005961	0.7857954545454545	0.9540983606557377	harden.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	2.8173135513433083	2.275056374991976	1.1495309753383705	3.4005817746455813	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.5283661177358795	0.3829575011220115	0.08114297756213418	0.6847720246818888	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9138868610637353	0.8587982955299222	0.7444548023631	0.9731417886967443	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k25	0.9261663033322952	0.8865518600252207	0.8043269230769231	0.9687767969735183	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.933456017666544	0.9026266766020865	0.8386363636363636	0.9666169895678093	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.3604892056761382	1.42462838413749	1.557757603296767	1.2914991649782133	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.2066830607508495	0.24373755186225068	0.32064897458927666	0.1668261291352247	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8083312484169202	0.7514261671406366	0.6333122589453252	0.8695400753359479	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k25	0.8118716910619744	0.7509409153005464	0.6244711538461538	0.8774106767549391	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8284136915715863	0.7734530240933929	0.6593749999999999	0.8875310481867859	harden.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	2.411911949864317	1.99134834253464	1.1236990985842263	2.858997586485054	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.41701907743141287	0.3046902490294142	0.07294879223610175	0.5364317058227267	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8802352159686173	0.8181856326734837	0.6901734292988385	0.9461978360481288	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k23	0.8425574330738561	0.7760322293987603	0.6387865389339229	0.9132779198635976	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8831282254863041	0.8315417384211004	0.725115562403698	0.9379679144385027	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	3.1872730388606643	2.4587991625288685	0.9559116158623713	3.961686709195366	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.4840158697834896	0.303446090765134	-0.06908075063309511	0.6759729321633632	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8907401389035027	0.8386834867723878	0.7312873305739616	0.9460796429708139	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k23	0.8635054743370673	0.7980204314592454	0.6629206583149103	0.9331202046035806	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.885986502580389	0.8345735520710595	0.7285053929121725	0.9406417112299466	harden.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	3.1626466152916466	2.5091007292082255	1.1607943516126977	3.8574071068037528	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.5223285925853851	0.37942225072727903	0.08459745536235751	0.6742470460922005	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9435461043435013	0.9214743580863414	0.8759389536458942	0.9670097625267884	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k23	0.9204638946902095	0.8802498302194864	0.7972856791943012	0.9632139812446717	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.933862643906312	0.9046478745581438	0.8443759630200308	0.9649197860962567	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	2.306551032327992	1.8878451258274755	1.024028435839923	2.751661815815028	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.3901222314793616	0.26004046355729765	-0.008326427020653969	0.5284073541352493	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8328599172163539	0.7481203626173314	0.5732973175436726	0.9229434076909903	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k23	0.8216410353775078	0.7425173754100018	0.5792802751166789	0.9057544757033248	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8715363239380707	0.8195087464878092	0.7121725731895223	0.9268449197860963	harden.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	2.2123681897081022	1.8480177016688737	1.0963396677861412	2.5996957355516064	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3910966138568431	0.28176032454456135	0.056192664612016274	0.5073279844771065	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8701338659442955	0.8119826802721072	0.6920131170384932	0.9319522435057211	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k23	0.8456901461932789	0.7785832719233603	0.6401375583394743	0.9170289855072464	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8775704644700277	0.824075953956313	0.713713405238829	0.9344385026737968	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	3.1651218796816014	2.453299529682535	0.984765131936714	3.9218339274283562	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.49341969539582514	0.31807576395927234	-0.043669824319741965	0.6798213522382867	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8631456027939928	0.7842865068685372	0.6215952188781829	0.9469777948588916	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k23	0.8821118916524271	0.8265711922204402	0.7119872267256202	0.94115515771526	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8939261611750695	0.8504849089096347	0.7608628659476117	0.9401069518716577	harden.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	2.8812987028967725	2.3366362256780158	1.2129631870915711	3.46030926426446	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.5096668978018881	0.3836248490586684	0.12359215390373765	0.6436575442135991	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9282741229941166	0.8925358242366717	0.8188054601334747	0.9662661883398688	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k23	0.9134706664135182	0.8705676448914127	0.7820560058953574	0.959079283887468	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9272727272727272	0.8933680775854256	0.8234206471494607	0.9633155080213903	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	2.1310580004089767	1.7847473613639542	1.0702866736044025	2.4992080491235056	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.36878414416765404	0.2561650738655662	0.023824829728826408	0.488505318002306	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.8206719203890953	0.7388747272272241	0.5701219593527331	0.9076274951017151	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k23	0.8099012720713878	0.7248466556851185	0.5493736182756079	0.9003196930946291	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8416038110361255	0.7750013595576906	0.6375963020030817	0.9124064171122994	harden.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.6466576393203491	1.4782602569124552	1.1247774632093985	1.831743050615512	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.28768066071346876	0.22053397172707118	0.07958641736823671	0.36148152608590567	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8033066576368552	0.7413389861104013	0.611262702635953	0.8714152695848496	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k23	0.8044877775704422	0.7370558727974937	0.5955096222380613	0.8786021233569262	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8146703082325399	0.7504990815513117	0.6157973174366617	0.8852008456659619	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	2.412210822514783	1.9813020692054317	1.0767818933398567	2.8858222450710067	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.4484411833306924	0.3129213609035084	0.02845182373653663	0.5973908980704802	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8759450629462855	0.8187948443907367	0.6988308721074677	0.9387588166740057	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k23	0.8708558810723394	0.8201485120478267	0.7137087194107864	0.9265883046848669	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8828716348029653	0.8426662738710012	0.7582712369597615	0.927061310782241	harden.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	2.130861190631609	1.8682454004775224	1.3169888319558818	2.419501968999163	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.4381074697724337	0.35647190434543186	0.18511076250316677	0.527833046187697	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.8968513575080611	0.8623976451969069	0.7900758887239435	0.9347194016698703	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k23	0.8864526963985818	0.8419629241326725	0.7485744832501782	0.9353513650151668	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.8967616074912212	0.8602493674834506	0.7836065573770492	0.936892177589852	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.444740869841489	1.3683964129410149	1.2081418322400201	1.5286509936420098	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.21800984276408994	0.18892244790492718	0.1278651235609189	0.2499797722489355	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.7557746431415563	0.6620327825742198	0.46525932750945054	0.8588062376389891	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k23	0.7539030913727686	0.6616255587417881	0.46792587312900924	0.8553252443545669	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.7713616855247757	0.6904845250060652	0.520715350223547	0.8602536997885835	harden.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.3627965399056883	1.2368977228531812	0.9841087594800368	1.4896866862263254	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.21338397425450217	0.13167305582468875	-0.0323921740934406	0.2957382857428181	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8778932159292024	0.8128174970424382	0.6821536520335808	0.9434813420512956	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k26	0.842288140327356	0.7445040628123089	0.5481659544159544	0.9408421712086633	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8740106951871658	0.8129477034745359	0.6903409090909091	0.9355544978581628	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.7445005368112512	1.475049572566663	0.9340259829417022	2.0160731621916237	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.33893605548617645	0.19834701061356463	-0.08393807948498665	0.48063210071211593	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8646482659849796	0.8108648574730873	0.7028745490436975	0.9188551659024772	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k26	0.845282386458857	0.7546574810563684	0.5726940883190883	0.9366208737936487	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8663101604278075	0.8054460673488815	0.6832386363636364	0.9276534983341266	harden.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.2714516439088905	1.8339917935306167	0.9556275270230596	2.7123560600381738	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.4423718355427372	0.2737485563570541	-0.06482574437010497	0.6123228570842131	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9095231093673691	0.869518023295885	0.7891928504751886	0.9498431961165814	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k26	0.8857382269146975	0.8199057992497129	0.6877225783475783	0.9520890201518474	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9068805704099822	0.8602964362208472	0.7667613636363636	0.9538315088053307	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.337916360192618	1.2837357715563593	1.1749479754756824	1.3925235676370362	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.21206896466941944	0.1763520312059016	0.10463692858230281	0.2480671338295004	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.7816863954924149	0.677722466420962	0.4689759946633201	0.8864689381786038	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k26	0.7723590860845763	0.6796792261451947	0.4935897435897436	0.8657687087006459	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.7966488413547237	0.7127588053307948	0.5443181818181818	0.8811994288434079	harden.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	2.2214020234632814	1.8255130750378228	1.030617942372532	2.6204082077031137	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.440445557509153	0.2931223243561458	-0.002684167407766061	0.5889288161200578	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8962417802624045	0.8357796941851243	0.7143794426126326	0.9571799457576161	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k26	0.8842746215295235	0.8214299365313763	0.6952457264957265	0.9476141465670261	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8881996434937611	0.8392313184198001	0.7409090909090909	0.9375535459305093	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	2.5304524026503317	2.02910519181708	1.022463154317244	3.035747229316916	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.474028209331896	0.31421312092659043	-0.006675442406897069	0.635101684260078	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.9022276602618179	0.8547029205737058	0.759279230648756	0.9501266104986554	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k26	0.8933132227249875	0.8382377481690308	0.7276531339031339	0.9488223624349279	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.899607843137255	0.8586528736316039	0.7764204545454545	0.9408852927177535	harden.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	3.105409795497271	2.394459243610632	0.9669601039957272	3.821958383225537	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.5139810885796751	0.3256885915494177	-0.052379020597949286	0.7037562036967847	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9072979501412719	0.8542186260420231	0.7476420304096733	0.960795221674373	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k26	0.899469303390872	0.8426283682746379	0.7284989316239316	0.9567578049253442	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9139393939393939	0.8756812232270348	0.7988636363636363	0.9524988100904331	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.544676035840854	1.3906872099980854	1.0814970478728414	1.6998773721233293	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.2843236220854751	0.20472998575584592	0.04491599155068493	0.3645439799610069	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.7767031684540137	0.679941232571788	0.48565545580038993	0.874227009343186	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k26	0.795944360650243	0.7124873911114094	0.5449163105413105	0.8800584716815083	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.8040641711229947	0.7289482686815802	0.578125	0.8797715373631604	harden.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.9115132947281324	1.6313374569211339	1.0687796723480263	2.1938952414942414	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.38438372775181207	0.2672308904973373	0.032002752702919364	0.5024590282917551	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8387076913142206	0.763444508571447	0.6123255195997361	0.9145634975431578	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k26	0.8583989721244624	0.7909851807103117	0.6556267806267806	0.9263435807938426	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8684491978609625	0.8173578058067587	0.7147727272727272	0.9199428843407901	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	2.042607230308089	1.71908273508512	1.069486307668923	2.368679162501317	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.40829677846297685	0.2824902028686788	0.029886448722647292	0.5350939570147103	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8513836954479843	0.7764943501473152	0.6261259796617197	0.9268627206329108	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k26	0.8661974191385956	0.8066543467803284	0.687099358974359	0.926209334586298	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.8708021390374332	0.8250676761066158	0.7332386363636363	0.9168967158495954	harden.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	2.368274575177146	1.956507376516996	1.1297307177899238	2.783284035244068	harden.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.466305444734681	0.33514576566541426	0.07179365414838268	0.5984978771824458	harden.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
