measure	globqual	meanclassqual	classqual_harden_3	classqual_harden_5	model	technique
DR	1.3397261915917589	1.2472729839162473	1.0553743091611936	1.439171658671301	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.20266657735528523	0.14511799039284648	0.025668402327952592	0.26456757845774037	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8869586414320699	0.831868125592057	0.7175205843106857	0.9462156668734283	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k25	0.8531672376206789	0.761708832492644	0.571875	0.951542664985288	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.8894368789105631	0.8310769063586687	0.7099431818181818	0.9522106308991555	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.5530907380387347	1.3598175076297	0.958653743671452	1.7609812715879483	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.28955704825553336	0.17791302372295992	-0.0538186910631379	0.40964473850905775	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8769712813639743	0.7976228053717276	0.6329247081441234	0.9623209025993319	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k25	0.870183743382124	0.7902310582177385	0.6242788461538462	0.956183270281631	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9048951048951049	0.8537017200695479	0.7474431818181818	0.959960258320914	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	2.6852365459339635	2.1362807988476065	0.9968516431305462	3.275709954564667	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.49487820201518407	0.3244764179115458	-0.029214680185921722	0.6781675160090134	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
