measure	globqual	meanclassqual	classqual_staal_3	classqual_staal_1	classqual_staal_1b	classqual_staal_5	model	technique
DR	1.6230753110671103	1.7117867581553903	1.265404187222407	1.668148771498784	1.23413942590807	2.6794546479923	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.09872021104381741	0.0898727465725048	-0.19532022887433262	0.16459319866162955	0.06340108227451857	0.3268169342282037	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6772176648449405	0.4176153344235702	0.37135775247837727	0.8184692359232356	0.03791880112732159	0.44271554816534625	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k12	0.7168840386833466	0.4734192200596985	0.4498626373626374	0.8443402126328956	0.047337278106508875	0.5521367521367522	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7186536646744259	0.4787120399925278	0.4564935064935065	0.8439024390243902	0.044755244755244755	0.5696969696969697	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6418250225045448	1.7190409785479273	1.299062501622609	1.6867866467317052	1.2030263273065673	2.6872884385308273	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.10537065963640593	0.08329537511358596	-0.1961770807217819	0.1766922761352088	0.03693701399522841	0.31572929104568853	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.7178904345981912	0.44276365642722104	0.4542042336583486	0.8545155714545234	0.037907971553875215	0.42442684904213696	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k12	0.7393753881643155	0.49179511662508846	0.5084706959706959	0.860287679799875	0.0650887573964497	0.5333333333333333	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7418055992450456	0.4969215642081496	0.5198051948051948	0.8599556541019956	0.06853146853146852	0.5393939393939393	staal.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.399748633851833	1.5980212131415488	1.5970835342429701	1.2901946497765746	0.9856629834120549	2.5191436851345954	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.0541888079259479	0.019783218159194295	0.030862581644069423	0.06649302338152414	-0.2872660555754259	0.2690433231866095	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6818931074663167	0.42042196488236205	0.4427266804056089	0.8091241918612518	0.02180009272200514	0.4080368945405824	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k12	0.7143554254280898	0.47406008820760226	0.4896978021978022	0.8313946216385241	0.01873767258382643	0.5564102564102564	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.7203523120478138	0.48582165801677996	0.5038961038961038	0.8337028824833703	0.015384615384615385	0.5903030303030303	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.091134819670847	1.3126167992873934	1.583044929464728	0.9147872950428364	1.066736619280783	1.6858983533612264	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.16883682621157134	-0.013034359549520681	0.19544260635592153	-0.2968276900662872	-0.18616652491445557	0.23541417042673848	staal.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	mds
