size	max_diss	av_diss	diameter	separation	medoid	medoid_i
16	3.3080259679587325	1.9304366422838393	3.56974227143026	2.032877477064521	herhalen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	1
16	2.8300116136958766	1.7763976886026256	3.3524604083430027	2.1595598251173667	herhalen.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	2
32	2.9910743070616825	2.169427402859623	3.4258585943038877	1.9002555013542384	herhalen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	3
20	2.895924874186681	2.139924820910262	3.369180708438043	1.9002555013542384	herhalen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	4
20	3.372205701850929	2.5799449000843113	3.97792213788752	2.032877477064521	herhalen.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	5
23	2.945475024979239	2.328524222174463	3.599536298253641	1.2262326976792672	herhalen.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	6
32	3.060525300505463	2.3511484482446923	3.560787078012823	2.072156367395994	herhalen.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	7
45	3.1579105353963355	2.269653589793619	3.54293320094636	1.2262326976792672	herhalen.bound3-3lex.PPMIselection.LENGTH5000.SOCPOSall	8
