cw	pmi_4	raw_4	pmi_10	raw_10	freq
15/noun	-0.8061177	1.0	-1.0133265	2	30549
15/num	1.2438904	17.0	0.8003231	27	66844
150/num	0.2004902	2.0	0.21183248	5	22300
1500/num			-0.11864721	1	6208
156/name			3.0236113	1	266
156/num	3.0412388	2.0	2.1339622	2	1301
157/num			1.7591032	1	945
159/num			2.823842	4	1304
15de/num	1.8698204	1.0	0.96704906	1	2109
16,5/num			2.787652	2	679
16.30/noun			0.715484	1	2691
16/noun			-0.59641325	2	20089
16/num	-1.0825486	1.0	-0.8901817	3	40303
167/num			2.5052648	2	899
17,5/adj	6.7495155	2.0	6.5471306	4	32
17,5/num			2.4797819	2	925
17,50/num			2.3320777	1	549
17,9/num	4.492027	1.0	3.5837488	1	153
17,90/name			7.0190654	1	5
17-jarige/adj	1.2855836	1.0	1.0761985	2	3798
17.30/noun			0.36491296	1	3818
17/num	-0.33345935	2.0	-0.1407367	6	38139
1720/noun	5.119812	1.0	4.206067	1	81
1746/num	7.0293546	1.0	6.129945	1	12
175/num	1.6803638	1.0	1.4688869	2	2537
176/num	2.615925	1.0	1.7163762	1	996
1781/noun	5.07161	1.0	4.1607013	1	85
18%/num			3.4743779	1	171
18-jarigen/adj			2.6549823	1	386
18.285/num			8.598044	1	1
18.800/num			5.401414	1	25
18/adj	6.0485253	1.0	5.8254557	2	32
18/noun			-1.6246059	1	28146
18/num	-0.5060507	2.0	-0.31326216	6	45254
1839/noun			3.7505162	2	257
185/num			1.4149704	1	1338
1892/noun			2.730302	1	359
18de/num			0.6399394	1	2907
19,7/num			3.5160189	1	164
19,8/num			3.345509	1	198
19/noun			-0.74026716	2	23205
19/num	0.5180271	4.0	0.17175303	7	32622
1908/noun			2.025482	1	720
191/num			1.950745	1	788
1915/noun			1.8844199	1	830
1916/num			4.5753746	1	56
1930/noun	2.0360913	1.0	1.1261121	1	1772
1931/num	4.796879	1.0	3.8957472	1	112
1951/noun			0.864273	1	2312
1967/noun	1.0426669	1.0	0.1329762	1	4799
1969/num			1.6987244	1	1011
1970/noun	0.9220996	1.0	0.012827911	1	5409
1971/noun			1.4247375	3	3955
1972/noun			0.7953035	2	4944
1975/noun	1.5488024	2.0	1.0455182	3	5784
1975/num			2.3086996	1	547
1976/noun	0.8627337	1.0	-0.04538512	1	5791
1985/noun			0.8082584	3	7315
1988/noun			-0.5567253	1	9548
1989/noun			-0.09634496	2	12049
1989/num			1.6560807	1	1045
199/num			1.9825816	1	766
1991/noun	-0.08976696	1.0	-0.9999164	1	14872
1991/num			1.4652671	1	1264
1992/noun	0.903183	3.0	-0.007153793	3	16536
1993/noun	-0.218275	1.0	-0.43560377	2	16911
1994/noun	0.14652176	2.0	-0.35803816	3	23494
1994/num			0.9948194	1	2025
1995/noun	-0.6798557	1.0	0.019375896	5	26842
