_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
hoekig.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	667	lex	5_5	1	no	FOC	467	nav	4_4	261	hoekig
hoekig.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	667	lex	5_5	1	no	FOC	667	all	4_4	261	hoekig
hoekig.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	631	all	5_5	1	weight	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	631	all	5_5	1	weight	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	631	all	5_5	1	weight	FOC	376	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	631	all	5_5	1	weight	FOC	631	all	4_4	263	hoekig
hoekig.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	631	all	5_5	1	selection	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	631	all	5_5	1	selection	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	631	all	5_5	1	selection	FOC	376	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	bound	631	all	5_5	1	selection	FOC	631	all	4_4	263	hoekig
hoekig.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav					BOW	bound	830	all	5_5	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall					BOW	bound	830	all	5_5	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	830	all	5_5	1	no	FOC	467	nav	4_4	263	hoekig
hoekig.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	830	all	5_5	1	no	FOC	830	all	4_4	263	hoekig
hoekig.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	397	lex	3_3	1	weight	5000	5000	nav	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	397	lex	3_3	1	weight	5000	5000	all	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	397	lex	3_3	1	weight	FOC	274	nav	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	397	lex	3_3	1	weight	FOC	397	all	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	397	lex	3_3	1	selection	5000	5000	nav	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	397	lex	3_3	1	selection	5000	5000	all	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	397	lex	3_3	1	selection	FOC	274	nav	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall					BOW	bound	397	lex	3_3	1	selection	FOC	397	all	4_4	252	hoekig
hoekig.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav					BOW	bound	444	lex	3_3	1	no	5000	5000	nav	4_4	257	hoekig
hoekig.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall					BOW	bound	444	lex	3_3	1	no	5000	5000	all	4_4	257	hoekig
hoekig.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	444	lex	3_3	1	no	FOC	310	nav	4_4	257	hoekig
hoekig.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	444	lex	3_3	1	no	FOC	444	all	4_4	257	hoekig
hoekig.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	bound	470	all	3_3	1	weight	5000	5000	nav	4_4	261	hoekig
hoekig.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall					BOW	bound	470	all	3_3	1	weight	5000	5000	all	4_4	261	hoekig
hoekig.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	bound	470	all	3_3	1	weight	FOC	274	nav	4_4	261	hoekig
hoekig.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	bound	470	all	3_3	1	weight	FOC	470	all	4_4	261	hoekig
hoekig.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	bound	470	all	3_3	1	selection	5000	5000	nav	4_4	261	hoekig
hoekig.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall					BOW	bound	470	all	3_3	1	selection	5000	5000	all	4_4	261	hoekig
hoekig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	bound	470	all	3_3	1	selection	FOC	274	nav	4_4	261	hoekig
hoekig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	bound	470	all	3_3	1	selection	FOC	470	all	4_4	261	hoekig
hoekig.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav					BOW	bound	549	all	3_3	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall					BOW	bound	549	all	3_3	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	bound	549	all	3_3	1	no	FOC	310	nav	4_4	263	hoekig
hoekig.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall					BOW	bound	549	all	3_3	1	no	FOC	549	all	4_4	263	hoekig
hoekig.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	672	lex	10_10	1	weight	5000	5000	nav	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	672	lex	10_10	1	weight	5000	5000	all	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	672	lex	10_10	1	weight	FOC	483	nav	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	672	lex	10_10	1	weight	FOC	672	all	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	672	lex	10_10	1	selection	5000	5000	nav	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	672	lex	10_10	1	selection	5000	5000	all	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	672	lex	10_10	1	selection	FOC	483	nav	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	672	lex	10_10	1	selection	FOC	672	all	4_4	262	hoekig
hoekig.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	1299	lex	10_10	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	1299	lex	10_10	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	1299	lex	10_10	1	no	FOC	906	nav	4_4	263	hoekig
hoekig.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	1299	lex	10_10	1	no	FOC	1299	all	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	791	all	10_10	1	weight	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	791	all	10_10	1	weight	5000	5000	all	4_4	263	hoekig
