_id	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	gemeen.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall.x	gemeen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall.y	gemeen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav.x	gemeen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav.y	gemeen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	gemeen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	gemeen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.x	gemeen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.y	gemeen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	gemeen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	gemeen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	gemeen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall.x	gemeen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall.y
Aalders/name	11.631039468296098	-20.668827807657646	0	0	0	0	-0.8909299663964985	31.07284719328905	19.02734239996154	-57.081521820119875	0	0	0	0	-14.550354311357648	26.416574648911784
Beate/name	3.853767151087228	6.275304722605832	0	0	0	0	-16.333960939873112	26.688434078536634	19.462188062043968	49.390176963267685	0	0	0	0	-23.73640378088348	42.140192899969115
Blue/name	-9.799625069004735	-39.62555575521791	0	0	0	0	-34.274399310221064	7.743567401192777	46.56026392010578	39.50470076216364	0	0	0	0	40.93758097874202	-26.12488178647918
Chantal/name	-20.08492450082801	-34.88284851966863	-8.56411891774908	9.818249592620798	0	0	23.235610375212794	-4.796892477911627	11.708358116989277	-27.615911979621888	0	0	-0.8230151385209433	22.77333333188388	20.626006390178993	33.478510575570645
Coltrane/name	-9.818365152959895	-38.687039764658316	0	0	0	0	-35.56583387490356	6.906336742672425	17.7470216366714	-27.08841223731425	0	0	0	0	14.145031113019021	46.36336258292699
Dolores/name	-24.744873237015174	-31.22173844770355	0	0	0	0	0	0	11.770335842067638	-29.66803518583761	0	0	0	0	19.195884261412363	37.58577735180016
Duisenberg/name	-14.613798875718118	20.61489768612976	0	0	0	0	-29.45319204930503	7.36963758085614	5.3105872033882795	-59.04774624751418	0	0	0	0	22.570334472073363	16.378311200166735
Esther/name	-15.87733462772361	-32.79891917493579	6.805561293985404	-10.718213715170402	0	0	25.916175847994303	21.811306648864633	9.343502560545126	-28.15685950247352	0	0	3.4571737690046533	23.27373878843223	16.74050753825419	35.92077638837939
Freddy/name	-12.673066925117327	-32.347083315122845	0	0	0	0	0	0	-43.87913294848333	-2.0121096489312458	0	0	0	0	-5.3433491342304364	42.13205939320273
Hitler/name	-17.99959602714342	11.806618229108706	5.677894962385052	9.702896884293157	0	0	0	0	-4.314294033660316	-39.07364759596237	0	0	0	0	-13.463315756584665	4.662494878185354
Jacqueline/name	-21.136279413516004	-34.387268164769374	0	0	0	0	22.66033828818663	-3.9268300519032953	9.841795998461986	-27.82967117850559	0	0	0	0	19.80494379976868	33.29597132744811
Jim/name	-18.3660349589289	-25.462931536100303	-0.8828622141625933	12.666689792549672	0	0	0	0	-38.005662135048475	-4.299380885791275	0	0	0	0	15.064987677602355	-35.30483792294257
Kat/name	-27.566005539818025	6.62884532930038	0	0	0	0	0	0	3.3907185666784283	-14.589844438806447	0	0	0	0	4.065049823908777	42.102355890931314
Kim/name	-6.808084884381544	-32.00044394437856	7.237290256673929	-9.549151814189619	0	0	29.496371015742984	-8.691975167733625	-48.61925982637178	-1.7233440118221672	0	0	0.25496906912341893	20.07395576475467	-1.8792887039789437	47.353966351810975
Kirk/name	-18.974926972890604	-25.101551204438753	0	0	0	0	4.860138843438298	26.93282907419807	-38.12878686521928	-5.473825252425085	0	0	0	0	14.131030149902056	-36.557534799557686
Louis/det	2.5576822688873695	-18.316626358167248	0	0	0	0	16.50269300652007	23.724724497827754	17.77819439430438	-26.026593941134795	0	0	0	0	-17.6070535100625	-37.45212006956979
Madonna/name	-17.411707272856315	-29.28015496999424	5.569055327666263	-10.609928665095442	0	0	-32.06871236092417	13.431010062236753	43.19786830006169	41.0452145083076	0	0	5.455761931911596	3.9198745062385307	22.01315466629315	37.82311273978263
Marguerite/name	-20.727853506253627	-35.090026064140616	0	0	0	0	23.450766896965582	-3.4849334886646934	6.044018448079452	-28.263346443449898	0	0	0	0	21.009976200898233	31.910755755038814
Meersen/name	-0.3264240987428097	-37.576901493277354	0	0	0	0	0	0	-32.57145041770086	-16.827886036002553	0	0	0	0	-36.55224906514533	34.731721075916695
Merlijn/name	-30.54612135364261	-21.378589218076165	0	0	0	0	-28.37579420867416	24.914450176188282	11.657444590424003	21.07988138769107	0	0	0	0	35.48687362071069	26.567890124444713
Mulisch/name	-13.857344093788532	20.22173465044306	2.240251624709642	-12.327091233216589	0	0	-30.579753422760128	8.65460936232421	12.961758321139357	18.034087963412276	0	0	0	0	6.298667547810068	41.04426282989028
Nederlander/noun	-18.603024129949247	8.62847536209952	0	0	12.942219414384056	3.8910715810128718	-8.508992082061795	15.536460806991032	-32.543946620933525	-41.68015442720777	-3.3980400597093245	-15.321713555732703	0	0	-21.433626457263337	18.465242052512014
Nottingham/name	-19.23290037449732	-22.942498921898263	-1.8677307887612642	13.337995974710823	0	0	2.2957879820640508	30.12397447259483	-43.69330224927458	-11.467146295853034	0	0	0	0	9.271863576726286	-36.192790417801376
Robbie/name	-9.81404125123017	-38.13012060835657	0	0	0	0	-36.01077959736673	6.640217344471972	-48.0740522645266	-2.17245049621474	0	0	0	0	13.950418701520217	46.42300671633624
Saddam/name	-19.41179566223408	12.187506869938042	0	0	0	0	-12.594787831390294	20.279416725982575	-24.400180115397614	-42.796793266401956	0	0	0	0	-14.831541829344543	3.9264439300236837
Serena/name	-6.490236030240029	-31.881618018164833	0	0	0	0	29.816885784499576	-8.612741689000448	-51.76880207789109	0.7896019187316714	0	0	0	0	-2.0407241113199692	47.34628573088079
Sigmund/name	-13.373311937906156	3.219978181661072	0	0	0	0	0	0	11.795874743434798	-13.437655404235336	0	0	0	0	26.00391258508073	27.692829616477233
Spanje/name	5.528450659749199	-28.08312279507121	0	0	0	0	-19.166464398034453	-2.0074216024970366	-19.22045105019874	-22.819667448335984	0	0	0	0	-8.613852107640026	-43.45744505923529
Squadra/name	5.295908193013709	-24.832659798403643	0	0	0	0	0	0	-41.59960967301967	-18.968016836376744	0	0	0	0	-48.24091174425499	1.0966759904804226
Unilever/name	-0.17397805984210957	-13.390480533579057	-12.542605070311122	-6.493462746156109	0	0	-28.44501832065475	-5.633373924914406	-38.61326071856705	-20.917297542062194	0	0	0	0	-8.243727472642552	-33.73764395036173
Vaticaan/noun	-14.643083063013822	7.707640747139072	0	0	-22.79123073691821	-14.428647329212751	-22.485269284884275	14.433980525060063	9.801839052559673	-54.78765961202848	-21.04652389412003	-0.11167486832235134	0	0	-14.702910399946113	19.155171693749413
Verkest/name	-15.861068482581816	-32.93878327563629	0	0	0	0	25.7167729461742	22.28794739347723	23.265843335989	-20.933675757985547	0	0	0	0	16.063507599948554	36.60748610094909
Victor/name	-20.70644027018429	-26.45235533128301	4.03958478390406	-11.998390643301052	0	0	6.369631394364912	26.143046812528684	-41.31525196852733	-4.3034770459606415	0	0	0	0	13.9110377716385	-38.27872052262801
Vos/name	-10.923311806422372	-32.01038355136137	0	0	0	0	29.606232921974403	-11.164658829535227	-41.48202039744053	1.6380716843961078	0	0	0	0	-2.7031633873100054	42.85258923112184
Waal/noun	-21.181026107758925	7.633574711917328	3.427506336093761	9.05049136962239	17.360122035339465	-0.4032345735597933	-7.051768364590289	12.505396260765625	-30.94898620900397	-35.431424379188044	-0.7152813708676389	-27.67833198189866	-7.680788987243149	29.069038957298282	-23.458505540054514	18.17093800181044
Wauters/name	-11.308096188845687	-32.73231826317905	-9.905470017756826	8.86135631737165	0	0	0	0	-48.06236494839283	-5.003869156485183	0	0	0	0	-7.065382073854377	44.484572703671354
Weide/name	-0.34077882844827	-37.57200956381999	0	0	0	0	26.580468700871766	20.335015090249687	-37.691047685917276	11.493785103721242	0	0	0	0	-36.563830686812814	34.71548006276051
