cw	pmi_4	raw_4	pmi_10	raw_10	freq
36/num			-0.70879513	1	17865
37/num			-0.55650103	1	15370
39,50/num			4.163519	1	143
4,1/num			1.8799522	1	1339
4,90/num			4.384246	1	109
4.000/num	1.7073566	1.0	0.8013717	1	3946
4/num			-1.5583198	2	83383
40/num			-1.5388837	1	40859
41/num	0.5829753	1.0	-0.3229732	1	12155
47-jarige/adj			1.8196177	1	1455
5,0/num			4.4034634	1	107
5-7/noun			2.4990346	1	722
5/num	-1.3020532	1.0	-1.5173502	2	80145
50/num	-0.8101913	1.0	-1.7171553	1	48857
5000/num			0.7527499	1	4147
500cc-klasse/noun			4.3204036	1	116
53/num			-0.10583461	1	9794
532/num	4.9656444	1.0	4.059649	1	152
54/num			-0.14281745	1	10153
5500/num			2.8963933	1	489
6-1/num			-0.3363195	1	12174
6-3/num	0.17482762	1.0	-0.7392208	1	18216
6/num	-1.0533905	1.0	-0.86435646	3	62429
60/num	0.25344718	2.0	-0.65518945	2	33710
6000/num			1.7660639	1	1509
63/num			0.031018805	1	8495
65/num			-0.7226054	1	18043
7,5/num			0.7257321	1	4254
7/noun	0.8285427	2.0	-0.0757968	2	18997
7/num			-1.8250597	1	54496
70/num	0.79166967	3.0	0.17006883	4	29500
75/num	-0.0027744288	1.0	-0.91042304	1	21780
770/num			3.348873	1	310
8/num			-0.17980462	5	52574
80/num			-0.5171477	2	29331
8000/num	2.6998816	1.0	1.7993901	1	1467
82/num	1.1648587	1.0	0.25778538	1	6772
9%/num	4.6917386	1.0	3.7801378	1	200
9/name	1.1180936	1.0	0.2102727	1	7101
9/num			-1.6896725	1	47693
90/num	-0.02187898	1.0	0.8612612	6	22181
92/num			0.80602807	1	3922
96,4/num			5.610438	1	32
97,7/num	6.845773	1.0	5.928101	1	23
98,4/num			6.03588	1	21
9x9/noun			5.5978594	1	32
:/punct	0.2210245	125.0	0.24174672	316	2182842
;/punct	-0.9332706	13.0	-0.82922494	36	715025
?!/noun			3.3722227	1	300
?/noun			1.851522	1	1374
?/punct	0.68626547	75.0	0.59439623	170	826450
??/noun			3.3148394	1	317
A./name	-0.06143863	1.0	-0.96976423	1	23202
A/name			-1.4370008	1	37251
A2/name			1.7802501	1	1487
A4)linebacker(A1/name			9.063595	1	1
AA/name			0.03974709	1	8644
AEX/name			0.4947493	1	5403
AOb/name			3.0943763	1	402
AP/name			-0.024583168	1	11649
ARSEEN/name	9.28812	1.0	8.370448	1	2
AZC/name			2.1097677	1	1074
A_stijl/noun			7.117685	1	7
Aalbers/name	4.092736	8.0	3.8151162	15	2917
Aalders/name	3.854671	1.0	3.6388655	2	462
Aalsmeerders/noun			6.9841537	1	8
Aalst_carnaval/noun	8.594973	1.0	7.677301	1	5
Aanborgerspad/name			9.063595	1	1
Aarlen/name			1.7837248	1	1483
Aaronovitch/name	7.0634966	1.0	6.148531	1	19
Aarschot/name			-0.04021173	1	9452
Abbas/name	2.2845433	1.0	1.3761023	1	2220
Abdelaziz/name	4.065739	1.0	3.1674035	1	374
Abe/name			2.1805425	1	996
Abessijn/name			7.117685	1	7
Abrahams/name			2.334548	1	859
Academy/name			1.1952835	1	2658
Acquaviva/name			7.4541574	1	5
Action/name			2.0223587	1	1160
Adams/name	2.258562	2.0	1.3499223	2	4556
Adieu/name	5.0351706	1.0	4.1309214	1	147
Adolf/name			1.35339	1	2270
Adri/name	2.62013	1.0	1.712052	1	1600
Adriaanse/name	1.1329733	1.0	0.22321044	1	7021
Adrie/name			2.7778764	1	549
Aelvoet/name			0.86913115	1	3724
Afghaans/adj			0.08188216	1	8188
Afghanistan/name	0.6847893	2.0	-0.22107774	2	21966
Afrika/name			0.23337877	3	20848
Afrikaan/noun			0.79252	1	3963
Agac/name			9.063595	1	1
Agalev/name			-0.04454907	2	18542
Agnetha/noun			5.7475924	1	28
Agusta_spel/noun	9.981267	1.0	9.063595	1	1
Ahead/name			2.1160905	1	1071
Ahmed/name			1.4812641	2	4007
Ahmet/name			2.6168442	1	649
Air/name			-0.18280222	1	10646
Airbus/name			1.1123528	1	2923
Ajax-Feyenoordtijd/noun			9.063595	1	1
Ajax/name			-0.5477459	3	45888
Akranes/noun			4.9911556	1	60
Al-Qaeda/name	1.6655784	1.0	0.75859326	1	4136
Al/name	0.47214723	1.0	-0.43516695	1	13584
Alaska/name			2.3811734	2	1620
Albanees/adj			-0.008539999	1	8894
Albanees/noun			0.027971394	1	8531
Albert/name	-0.056248456	1.0	-0.2692238	2	23148
Alberto/name			1.2305102	1	2585
Aleksandr/name			2.397593	1	808
Alex/name			-0.287537	1	12050
Alexanderschool/name	9.981267	1.0	9.063595	1	1
Alfried/name			7.4541574	1	5
Algemeen/name	1.2073216	1.0	0.9974505	2	6595
Alias/name			4.107416	1	145
Alison/name	3.5994513	1.0	2.6892521	1	593
Alize/name			5.23822	3	140
Alliance/name			2.2490523	1	928
Almerisa/name			6.9841537	1	8
Alpen/name			1.7412829	2	3086
Alpenpuist/noun	9.981267	1.0	9.063595	1	1
Amants/det			7.964983	1	3
Amazonewoud/name	4.889052	1.0	3.9825015	1	164
Amedoe.De/noun			9.063595	1	1
America/name			1.3536478	2	4566
American/name			-0.1591183	1	10372
Amerika/name	-0.74683154	1.0	-0.047342412	5	45923
Amerikaan/noun	-0.2507774	2.0	-0.06185244	6	56013
Amerikaans/adj	-0.56447655	6.0	-0.37011534	18	231449
Amex/name			4.5538354	1	92
Amstel/name			0.5220119	1	5212
Amsterdam/name	-1.2053635	2.0	-0.7202895	8	146502
Amsterdams/adj	-0.8142926	1.0	-1.020262	2	49844
Amsterdams/noun			3.5479512	1	254
Amélies/det			6.6657	1	11
Anand/name	2.8029125	1.0	1.8928605	1	1326
And/name			1.7615032	1	1505
Anderen/name			0.3120416	1	6361
Anderlecht/name			-1.4402674	1	37583
Andersen/name			1.755086	2	3058
Anderson/name			1.1292609	1	2840
Andreotti/name	3.716679	1.0	2.8116913	1	530
Andrew/name			0.7410917	1	4192
André/name			-0.9602077	1	23199
Andy/name			-0.26147464	1	11432
Angeles/name			1.0364615	3	9344
Angels/name	1.998083	1.0	1.0921297	1	2958
Angie/name			3.5988104	2	482
Angliru/name			5.321175	1	43
Anglos*/name	9.981267	1.0	9.063595	1	1
Anhtony/name			8.370448	1	2
Anita/det			5.8054986	1	26
Anke/name	2.7080011	1.0	1.8017383	1	1471
Ann/name			-0.043792848	1	9235
Anne/name			0.5098194	2	10590
Anthony/name			0.31241348	1	6436
Antidepressiva/name			7.271836	1	6
Antilliaans/adj	1.8098797	1.0	0.90648276	1	3589
Antwerps/adj			-1.5924846	1	43848
