_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	387	NA	NA	1	weight	0.7566165370874586	0.44723403298049225	5000	5000	nav	4_4	0.17828597151539474	227	helpen
helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	387	NA	NA	1	weight	0.6549044098180603	-0.5095498254936158	5000	5000	all	4_4	0.21033304775330308	227	helpen
helpen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	387	NA	NA	1	weight	0.5405532333222415	0.5641362958561705	FOC	209	nav	4_4	0.17010591844202794	227	helpen
helpen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	387	NA	NA	1	weight	0.5113243143125686	0.4812968910968101	FOC	387	all	4_4	0.14111549762093742	227	helpen
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	355	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	355	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	355	lex	10_10	1	weight	NA	NA	FOC	256	nav	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	355	lex	10_10	1	weight	NA	NA	FOC	355	all	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	355	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	355	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	355	lex	10_10	1	selection	NA	NA	FOC	256	nav	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	355	lex	10_10	1	selection	NA	NA	FOC	355	all	4_4	NA	218	helpen
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	741	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	228	helpen
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	741	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	228	helpen
