_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	648	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	311	stof
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	648	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	311	stof
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	648	lex	10_10	1	weight	NA	NA	FOC	507	nav	4_4	NA	311	stof
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	648	lex	10_10	1	weight	NA	NA	FOC	648	all	4_4	NA	311	stof
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	648	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	311	stof
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	648	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	311	stof
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	648	lex	10_10	1	selection	NA	NA	FOC	507	nav	4_4	NA	311	stof
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	648	lex	10_10	1	selection	NA	NA	FOC	648	all	4_4	NA	311	stof
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	1132	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	313	stof
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	1132	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	313	stof
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	1132	lex	10_10	1	no	NA	NA	FOC	870	nav	4_4	NA	313	stof
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	1132	lex	10_10	1	no	NA	NA	FOC	1132	all	4_4	NA	313	stof
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	766	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	313	stof
