cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/name	-2.1320121	1.0	-1.9351354	3	19257
!/noun			-1.2912983	2	6683
!/punct	-1.1684893	19.0	-1.008081	55	142029
!?/noun			0.7263537	1	442
"""/punct"	-0.045656018	2012.0	-0.18220672	4352	4844510
##Article##/noun			2.6076684	1	67
##Body##/noun	3.5223086	1.0	2.6242723	1	67
##Kop##/noun	3.5185702	1.0	2.6076684	1	67
$/num			0.9722242	1	352
$0,8278/num	7.723263	1.0	6.9718904	1	1
$0,90/num	5.9315033	1.0	5.017612	1	6
$0,9047/num			6.8093715	1	1
$0,9068/num			6.8093715	1	1
$1,007/num			6.8093715	1	1
$1,4375/num	7.0301156	1.0	6.1162243	1	2
$121,25/num			6.8093715	1	1
$123/num			5.017612	1	6
$138,9375/num	7.723263	1.0	6.8093715	1	1
$160/num			4.244422	1	13
$18,69/num			6.8093715	1	1
$22,30/num			6.8093715	1	1
$23,15/num	7.723263	1.0	6.8093715	1	1
$3,14/num			6.1162243	1	2
$46,41/num	7.723263	1.0	6.8093715	1	1
$5,38/num	6.3369684	1.0	5.423077	1	4
$5,95/num			6.8093715	1	1
$53,18/num			6.8093715	1	1
$6/num			2.6960416	1	63
$7/num			3.0038207	1	46
$84,80/num	7.723263	1.0	6.8093715	1	1
$86/num			5.1999335	1	5
$95,75/num			6.8093715	1	1
%/noun			0.18450965	1	789
&/name	-1.5352937	5.0	-1.0005196	21	52896
&/noun			-0.6599692	1	1846
&/punct			-2.155254	1	8058
'/punct	-0.4871565	730.0	-0.5322291	1728	2720890
'11/num	2.599299	1.0	2.3830287	2	169
'19/name	3.5761678	1.0	2.6878982	1	64
'20/name			1.7937485	1	155
'23/name	3.7576993	1.0	2.862947	1	54
'40-'45/num			2.1217	1	110
'45/noun			1.9011381	1	136
'48/noun	3.2924461	1.0	3.0764751	2	84
'50/noun			3.1984534	1	37
'50/num	1.7915152	2.0	0.8837796	2	756
'56/noun			2.76632	1	57
'70/num	0.4479175	1.0	0.63610625	3	1447
'73-'74/num			5.1999335	2	10
'76/noun			1.6618769	1	174
'80/num			0.088638686	2	1666
'82/noun			1.5276916	1	198
'84-'85/num			4.937569	2	13
'85/noun	2.2690108	1.0	1.3594065	1	234
'90/name			1.3493605	1	241
'92/noun			0.9677854	2	693
'94/noun	0.8190138	1.0	-0.09251673	1	999
'95/noun			-0.26859072	1	1191
'97/noun			-0.6437269	1	1737
'98/noun	0.5543942	2.0	0.050193444	3	2605
'98/num			0.65695786	1	478
'99/num			0.22154592	1	757
's-Gravenwezel/noun			2.0989406	1	117
's-Herenelderen/noun	3.1641366	1.0	2.2613008	1	96
's/adv	-0.9151961	11.0	-0.69564193	34	62265
's/det	-0.8976256	2.0	-0.2945353	9	11206
't/name	-0.45703694	5.0	-0.66490155	10	17963
(/noun			-0.49425313	2	3006
(/punct	-0.75468904	565.0	-0.4983785	1782	2759129
(/tag			0.44945154	1	593
)/noun			-0.9254718	1	2313
)/punct	-0.6648817	605.0	-0.5309068	1709	2758869
)/tag			-1.4525812	1	3950
*/tag	0.5236362	85.0	0.12884715	135	117193
*De/noun	1.5179479	1.0	0.6086594	1	497
*Kraanlei/noun	7.723263	1.0	6.8093715	1	1
+/prep	-1.2119331	2.0	-1.1963193	5	15336
+0,05%/num			4.892449	1	7
+0,09/num			6.1162243	1	2
+1,45/num	7.723263	1.0	6.8093715	1	1
+2,71%/num			6.8093715	1	1
+2,74%/num	7.0301156	1.0	6.1162243	1	2
+2,88%/num			7.166046	1	1
+3/num			1.5381683	1	198
+5,57%/num	7.723263	1.0	6.8093715	1	1
+Grimbergen/noun	6.6246505	1.0	5.710759	1	3
+SK/noun			4.9299064	1	7
,/name			-2.2050717	3	24958
,/noun			-0.42680597	4	5599
,/punct	-0.1459719	6907.0	-0.20925634	16075	18092245
"-""Sparta/name"			6.8093715	1	1
"-""Vooral/noun"	7.723263	1.0	6.8093715	1	1
--/name			0.5084021	1	552
--/punct	-0.46175712	21.0	-0.012777756	79	75440
--Genaux/noun			6.914732	1	1
--Kruibeke/adj	7.723263	1.0	6.8093715	1	1
--Opruim/verb	7.723263	1.0	6.8093715	1	1
-/name	-1.6678249	3.0	-1.3653737	10	36107
-/punct	-0.6728858	237.0	-0.5599203	654	1059446
-10/num	2.408826	1.0	1.5088066	1	204
-14/num			2.0336149	1	120
-3/num			0.9804258	1	342
-4,0/num			5.710759	1	3
-4/num			1.1064225	1	301
-5/num			1.2897121	1	252
-6/num			2.1734295	2	208
-60/num			1.6211479	1	181
-66/num			2.112078	1	110
-9,44/num			6.8093715	2	2
-Begonnen/noun			6.914732	1	1
-De/name	0.41037592	1.0	1.1148314	5	1530
-Georgië/name	6.6246505	1.0	5.710759	1	3
-Het/name	1.4142542	1.0	0.51226205	1	563
-PAMEL/noun			6.8093715	1	1
-Pierre/noun	6.3369684	1.0	5.423077	1	4
-Tientallen/name	7.723263	1.0	6.8093715	1	1
-Waar/noun	3.5801282	1.0	2.6662366	1	63
-Waarschoot/noun			6.8093715	1	1
-Zes/det	6.165118	1.0	5.283315	1	5
-acties/noun			4.863461	1	7
-afvoer/noun			6.4039063	2	3
-althans/adv			4.5372453	1	10
-basics-houding/noun			6.8093715	1	1
-beleg/verb			6.8093715	1	1
-een/noun			0.71253383	1	447
-en/noun			0.052904207	1	867
-extra/adj			5.423077	1	4
-handschoenen/noun			4.863461	1	7
-iets/name	6.113825	1.0	5.1999335	1	5
-in/noun	1.8732179	1.0	0.967858	1	348
-klaverenV/noun			1.9209037	1	133
-llll/noun			3.5455222	1	28
-maar/noun	2.6480892	1.0	1.7388961	1	160
-moet/noun	4.545209	1.0	3.633403	1	24
-nacht/noun			1.7868075	1	155
-ooit/name			5.710759	1	3
-polders/name			6.8093715	1	1
-spits/noun	7.723263	1.0	7.5025187	2	1
-uitgevers/noun			5.017612	1	6
-volledig/adj	6.3369684	1.0	5.514644	1	4
-zich/noun	4.6322203	1.0	3.718329	1	22
-zoals/noun			2.0797737	1	114
...!/num	3.1987607	1.0	2.3045743	1	96
..../punct	-0.97748023	1.0	-0.49781418	4	6065
.../name	-0.12893313	1.0	-0.3406632	2	2586
.../punct	-0.25362065	35.0	-0.4637014	70	103573
../punct			-1.7474847	1	5416
./punct	0.34485066	17301.0	0.12550901	34487	28225482
.Com/name			6.1162243	1	2
//name	-0.331617	4.0	-0.38603264	9	13088
//noun	1.4749783	1.0	0.57398075	1	519
//punct	-1.0372658	7.0	-1.5672244	10	45910
0,04/num			2.0540586	1	118
0,09/num			2.2859538	1	93
0,1/num			-0.13382344	2	2099
0,14/num			1.913773	1	135
0,15/num			1.8879317	3	417
0,16/num			1.946463	1	131
0,2/num	0.5131833	2.0	0.99830526	8	2720
0,22/num			2.1157324	1	110
0,26/num			3.0545871	2	86
0,3%/num	3.2924461	1.0	2.385723	1	84
0,3/num			0.97916603	7	2423
0,32/num	3.3925295	1.0	2.4918833	1	76
0,33/num			2.1318805	1	109
0,34/num	3.1826313	1.0	2.2800028	1	94
0,35/num			1.1733326	1	285
0,37/num	2.890957	1.0	1.9774641	1	126
0,4/num	1.3201544	4.0	1.4298092	11	2426
0,40/num			1.2791489	1	255
0,45/num			0.31698003	1	764
0,49/num	3.0995164	1.0	2.1972256	1	102
0,5/num			0.07170774	4	3424
0,50/num	1.3018439	1.0	0.3953388	1	617
0,58/num			2.5100472	1	75
0,6/num	0.14058807	1.0	0.62578964	4	1971
0,65/num	2.2610214	1.0	2.4528763	3	236
0,66/num			3.7654443	4	86
0,7%/num			2.396573	1	83
0,7/num			0.46775624	4	2306
0,74/num			2.710454	2	121
0,75/num			1.2584811	3	781
0,76/name			5.017612	1	6
0,76/num			2.3667202	1	85
0,8/num			0.7336576	5	2210
0,82/num			2.9861796	2	92
0,8228/num			5.710759	1	3
0,83/num			2.465566	1	78
0,84/num			2.848082	2	106
0,8472/num			6.8093715	1	1
0,8510/num			6.8093715	1	1
0,87/num	3.2703702	1.0	2.360855	1	86
0,886/num	7.723263	1.0	6.8093715	1	1
0,8880/num			6.339368	1	2
0,89%/num			5.283315	1	5
0,8930/num			5.744661	1	3
0,8970/num			5.8930807	1	3
0,9/num	0.40513793	1.0	0.19645706	2	1512
0,90055/num			6.860665	1	1
0,9010/num			6.1162243	1	2
0,90105/num			6.8093715	1	1
0,92/num			2.6242723	1	67
0,93/num			2.7411997	1	60
0,95/num	2.4489822	1.0	2.649187	3	197
0,97/num	3.4553154	1.0	3.2419536	2	72
0,971/num			5.710759	1	3
0,98660/num			6.8093715	1	1
0--8_opening/noun	7.723263	1.0	6.8093715	1	1
0-0/name			-1.0240902	1	2559
0-0/noun	-0.5057147	1.0	0.53395045	7	3803
0-0/num	-0.6603989	1.0	-0.1781535	4	4405
0-1/num	-0.3003421	7.0	-0.21061942	19	21461
0-10/num	2.4638164	1.0	1.5513552	1	193
0-12/num			2.5368807	1	73
0-1_achterstand/noun			2.3743966	1	85
0-1_zege/noun			2.6599076	1	64
0-2/name			-1.0653868	1	2657
0-2/num	0.022873413	6.0	0.09570537	16	13333
0-3/name	-0.39166006	1.0	-1.2999889	1	3360
0-3/num	-0.5653972	2.0	-0.2203044	7	8010
0-30/num			3.6782346	1	23
0-3_achterstand/noun	4.364625	1.0	3.4559646	1	29
0-3_zege/noun			2.6895216	1	63
0-4/num			-0.06498223	3	2942
0-40/num			3.002709	1	45
0-5/num			-0.6310982	1	1723
0-7/num	1.6476296	1.0	1.4303961	2	437
0-8/num			1.705347	3	498
0-Deinze/name			5.3983846	1	5
0-Eizeringen/name			6.1162243	1	2
0-Jeuk/noun			5.710759	1	3
0-Zandhoven/noun			7.032515	1	1
0.30/name	3.7365963	1.0	2.8343735	1	55
0/name			-2.7145455	1	13863
0/noun			-0.5713519	1	1668
0/num	-2.3796287	2.0	-2.0339787	7	49075
00.00/num			1.2417905	1	273
011/43.70.89/num			5.710759	1	3
0118-65.99.65/num			6.1162243	1	2
02-454.19.25/num	7.723263	1.0	6.8093715	1	1
02-582.18.26/num			6.8093715	1	1
02/20/num			4.32864	1	12
02/396.29.50/num			6.8093715	1	1
03/218.59.69/num			6.8093715	1	1
03/220/num			4.699158	1	9
