_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	383	NA	NA	1	weight	0.28504544551482164	0.14339889138009498	5000	5000	nav	4_4	0.16686148927272498	236	herroepen
herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	383	NA	NA	1	weight	0.1538053517536435	0.8152867528259795	5000	5000	all	4_4	0.20920335164902404	236	herroepen
herroepen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	weight	NA	NA	LEMMAPATH	bound	383	NA	NA	1	weight	0.2276033631557598	0.0996838168361929	FOC	214	nav	4_4	0.16879497538805646	236	herroepen
herroepen.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	weight	NA	NA	LEMMAPATH	bound	383	NA	NA	1	weight	0.2343480553634845	0.09502522037376578	FOC	383	all	4_4	0.16544952390304096	236	herroepen
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	353	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	234	herroepen
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	353	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	234	herroepen
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	353	lex	10_10	1	weight	NA	NA	FOC	259	nav	4_4	NA	234	herroepen
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	353	lex	10_10	1	weight	NA	NA	FOC	353	all	4_4	NA	234	herroepen
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	353	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	234	herroepen
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	353	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	234	herroepen
