_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.330517638665804	-0.5794651657740838	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	1.004682743450223	-1.2860064460314482	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3969225763833585	-0.6474997989027842	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.369408592933309	-0.6366574764159902	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.794835136800828	-0.618155600375324	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.7961765458342311	-1.466087352059514	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6873682103011364	-0.6235473356547379	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6852695138807698	-0.6209984742829294	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.230699732103102	-0.7764882610248529	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.9795016405056295	-2.028909367074024	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0377599434146976	-0.8192222396441607	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	747	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.0213556256826197	-0.8184355550503225	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	986	all	4_4	303	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.13904564068659625	-0.44747516671872983	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.2809380819357228	-0.8839480348492753	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.24657411025263767	-0.5073792735684248	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	413	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.19773553961750834	-0.5098759072809318	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	699	all	4_4	302	goedkoop
