	file	token_id	left	target	right	type
31	het_nieuwsblad_19990922_01_74		. Het kwam er vooral op aan het vertrouwen te	herwinnen	". Dat moet nu gebeurd zijn . 	 	 Ik"	herwin/verb
32	nrc_handelsblad_20030830_22		. Een poging een mug te doden met een schot	hagel	- er zijn toch maar een paar mensen die echt	hagel/noun
33	het_nieuwsblad_20020218_01_326		en benutten we puik de fastbreak , zodat terugkeren een	hachelijke	onderneming werd . Dichter dan 9 punten ( bij 55-46	hachelijk/adj
34	parool_20020619_105		, en ook weer niet : zijn uitdrukkelijk in 1988	gesitueerde	film is er een die openstaat voor interpretatie . Dat	gesitueerd/adj
35	de_standaard_20010623_01_113		vele foto's en trofeeën in zijn kantoor verraden zijn dubbele	hartstocht	". En natuurlijk 	 mijn generaal 	 , Pinochet ."	hartstocht/noun
36	de_standaard_20010623_01_113		op te nemen . Opperbevelhebbers werden ministers . In deze	hachelijke	omstandigheden hebben ze hun uiterste best gedaan . Mijn generatie	hachelijk/adj
37	de_morgen_19991222_01_62		de getuigenissen dat het om door het Russische leger ingeschakelde	huurlingen	gaat . Moskou zou zo de handen schoon willen houden	huurling/noun
38	de_morgen_19991222_01_62		, nog altijd duizenden , wellicht tienduizenden voornamelijk oudere en	hulpeloze	burgers als ratten in de val . Het Russische agentschap	hulpeloos/adj
39	algemeen_dagblad_20020409_67		Cup . Het Italiaanse voetbal is niet om aan te	gluren	, verschrikkelijk . Ik zit me wekelijks te ergeren .	gluur/verb
40	de_morgen_20020710_01_26		, Multatuli , Alexandre Dumas , in deze ultraliberale omgeving	herwonnen	ze de vrijheid om te publiceren en te ageren .	herwin/verb
41	de_morgen_20020710_01_26		ik met de fotograaf op bedevaart langs de pas ontdekte	heiligdommen	. Cité Linthout , Villa Eekman , Pacheco , de	heiligdom/noun
42	de_morgen_20030917_01_75		aanslagen maakten alles opnieuw kapot . Arafat had minstens een	geste	kunnen doen om ons te tonen dat hij iets tegen	geste/noun
43	het_laatste_nieuws_20030628_01_763		? Letterlijk genomen is dat ongetwijfeld Hamish , een 14-jarige	havik	die op de andapos; All England Club andapos; de duiven	havik/noun
44	het_laatste_nieuws_20030628_01_763		verhuurt die monumenten duifvrij en vooral duivenpoepvrij moeten houden .	Havik	Hamish wordt nu en dan voor een uurtje op Wimbledon	havik/noun
45	de_morgen_20041110_01_30		denken ' installeert , maar wel dat men zich moet	hoeden	voor het hanteren van het zondebokmechanisme . Ook de Liga	hoed/verb
46	het_laatste_nieuws_20010308_01_370		. In zijn rede eerder voor de Knesset riep de	havik	Sharon de politieke partijen op om de handen ineen te	havik/noun
47	het_nieuwsblad_19990121_01_160		ik echter vooral wil benadrukken is dat we ons vooral	hoeden	om de integrale clubwerking overhaast of euforisch aan te pakken	hoed/verb
48	de_standaard_20000212_01_90		in Aken deed broer Johan leuke dingen met mijn twee	hengsten	Premium de Laubry en Prince de Revel . Premium heb	hengst/noun
49	de_standaard_20010327_01_6		unaniem over eens , aldus officiële EU-bronnen , dat een	doortastend	nieuw initiatief vereist is ter compensatie van elk uitstel dat	doortastend/adj
50	het_laatste_nieuws_20040828_01_219		aanvankelijk houtbewerker en werd later bediende . Jeannine nam de	huishouding	voor haar rekening . Jean maakt nog graag een flinke	huishouding/noun
51	het_nieuwsblad_20020424_01_167		babbelen . Zij was vandaag zoals verwacht weer outstanding .	Hoed	af ook voor de prestatie van Egle Tamasauskaite : zij	hoed/verb
52	de_standaard_20020510_01_25		ging bovendien uit het raam hangen en schoot drie keer	hagel	naar beneden , in de richting van een studentencafé .	hagel/noun
53	de_morgen_20021023_01_170		Fortis en KBC ) zien het bedrijf vooral als een	dienstverlener	voor andere banken en hun eigen klanten . Maar nu	dienstverlener/noun
54	volkskrant_20001230_81		symbolische betekenis kennen van trommels , sieraden , zetels en	gewaden	. Al die voorwerpen dragen hun eigen boodschap uit ,	gewaad/noun
55	het_nieuwsblad_20010216_01_408		enkele achtergelaten kadavers . Het slachten van dieren deed sommigen	huiveren	en naar de zakdoek grijpen . Een groep jongens en	huiver/verb
56	nrc_handelsblad_20000414_37		UCC Groep ,	dienstverlener	op het gebied van informatie- en communicatietechnologie , heeft de	dienstverlener/noun
57	de_morgen_19991011_01_5		aangelegd , maar daarop komen ook mensen voor wier asielaanvraag	hangende	is . Wel zullen we mensen die niet komen opdagen	hangend/adj
58	de_morgen_20040213_01_43		"kunnen helpen . 	 Hoewel Van Dyck de ontwikkeling en"	herwaardering	van het Eilandje apprecieert , vreest hij dat de meerwaarde	herwaardering/noun
59	het_nieuwsblad_20000115_01_423		los . Het is meer dan een passie . Daarom	huivert	"Octavus Willems telkens als hij het woord 	 hobby 	"	huiver/verb
60	volkskrant_20030510_50		Hulp geven aan mensen in nood is volgens Sennett een	hachelijke	zaak . Zowel het drillen als het doodknuffelen van de	hachelijk/adj
61	volkskrant_20020810_137		groot getal . De parentijger schuwt geen risico , lanceert	haarscherpe	doubletten , stelt contracten in de waagschaal , balanceert op	haarscherp/adj
62	volkskrant_20010827_122		. Op het schilderij Waldstück planten de zwarte boomstammen zich	hoekig	en somber in een wit vlak , herinnerend aan Armando's	hoekig/adj
