cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/name			-0.3400842	7	19257
!/punct	0.27536672	38.0	0.29668733	96	142029
"""/punct"	-0.20974794	806.0	-0.16696839	2092	4844510
&/adj	4.8136206	1.0	3.9169104	1	41
&/name	-1.7008755	2.0	-0.6582315	14	52896
&/punct			-1.4075006	1	8058
&Rolf/name			3.4364629	1	62
'/name			1.0738645	1	662
'/punct	0.5121233	936.0	0.24123253	1773	2720890
'17/num			4.3028817	1	27
'23/num			4.7908053	1	16
'40-'45/name			3.6511197	1	51
'40-'45/num	4.467776	2.0	3.5626004	2	110
'50/num			0.93838567	1	756
'55/name			6.1708302	1	4
'65+-kaart/noun			6.8639774	1	2
'68'ers/noun	5.9090223	1.0	4.992175	1	13
'68/noun			1.2097354	1	574
'80/num			0.14324479	1	1666
'81/num			3.783215	1	44
'87-er/noun	8.473971	1.0	7.5571246	1	1
'93/noun			1.0686799	1	662
'96/noun			0.305957	1	1417
'97/noun			0.10402639	1	1737
'98/noun	0.6119558	1.0	-0.30066556	1	2605
'99/noun	0.66377115	1.0	-0.24802391	1	2518
'Spagna'_teken/noun			7.5571246	1	1
's/adv	-0.16448726	11.0	0.37589845	47	62265
's/det	-0.840064	1.0	-0.35771224	4	11206
't/name	-0.6226188	2.0	-1.121121	3	17963
(/adj	2.4160175	1.0	1.5123563	1	430
(/noun	0.47006556	1.0	-0.43964702	1	3006
(/punct	-0.7878463	258.0	-0.8015703	623	2759129
(/verb	3.521672	1.0	2.6187017	1	143
(mot)_regen/noun			6.1708302	1	4
(rest)afvalbakken/noun	8.473971	1.0	7.5571246	1	1
)/noun			0.51542866	2	2313
)/punct	-1.0515431	194.0	-0.78109735	630	2758869
)/tag	0.2029669	1.0	-0.70482785	1	3950
***/num	0.89365476	1.0	-0.015609785	1	2003
***ST39PVBboy***/noun	8.473971	1.0	7.5571246	1	1
***ST39PVBjurk***/noun	8.473971	1.0	7.5571246	1	1
***ST39modekauw***/noun	8.473971	1.0	7.5571246	1	1
*/tag	-0.27793443	18.0	-0.09684871	51	117193
*Garnaalfeesten/noun	7.7808247	1.0	6.8639774	1	2
*Info/noun			2.2609346	2	426
*Progamma/noun	7.7808247	1.0	6.889295	1	2
*TableTalk/noun	8.473971	1.0	7.5571246	1	1
*camionette/noun			7.5571246	1	1
*competitiviteit/noun	8.473971	1.0	7.5571246	1	1
+/prep			-1.3648567	2	15336
+3_pas/noun			3.696395	1	48
,/name			-0.76417124	6	24958
,/punct	0.4276428	5786.0	0.24405283	11975	18092245
--/punct	-0.047520485	15.0	-0.05095339	36	75440
