_id	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	grijs.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	grijs.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	grijs.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	grijs.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	grijs.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	grijs.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	grijs.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	grijs.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall.x	grijs.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall.y	grijs.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	grijs.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	grijs.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	grijs.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav.x	grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav.y
(/noun	12.250893615379615	14.92916280436699	0	0	0	0	0	0	19.550092591193778	-10.39516473663711	-21.126136457087775	1.6526203983328167	0	0	15.228961624435003	25.198405171314896
Astra/name	3.758085454614929	28.4077856248971	0	0	27.58490739881056	6.856003533731383	0	0	-39.7975815262387	0.9561866052962518	0	0	0	0	40.010219599075434	-1.9329798076777966
BMW/name	3.109419191930935	26.5297945813654	0	0	28.735909932936526	5.104701597856311	0	0	-38.41565366797818	-0.21096959383012495	0	0	0	0	37.11146966911643	-2.4278356539429033
Blauw/name	-5.578903299027847	-11.538513594013041	0	0	0	0	0	0	-6.363279944360139	22.397290855721565	0	0	0	0	-16.11438645866371	2.1889238290220154
Cadillac/name	0.7806429650612168	27.188474531433428	0	0	30.15660267559983	3.7187868089824	0	0	-41.393086534789	-1.0137208038475187	0	0	0	0	40.49550266722472	-0.43447647357674607
Citroën/name	2.853935546896503	27.52001165556954	0	0	27.73412594236945	4.98928466126184	0	0	-38.28730693595823	3.0034018502322963	0	0	0	0	37.30187025076514	-3.9389066898103873
Flandria/noun	2.6489784335593627	11.286677693780534	-2.790893453522152	-3.68793319125441	-12.427224611602503	4.3009675046025695	-17.690032505898095	-12.289055623958568	-32.40565986793214	-37.43990999511575	9.2353662089858215	-20.737439027254815	-5.854441452192612	4.7535118308532915	7.4354306659975595	-21.76578422486246
Ford/name	4.791526281774095	28.627084431736996	0	0	27.964450670362613	7.883175772446743	0	0	-40.67318938981361	1.7256481886861215	0	0	0	0	39.29404493013821	-3.8882014134010308
Golf/name	4.218468287069779	27.76367427441819	0	0	29.070761539315537	6.198985138411562	0	0	-37.387922425110965	0.6358286229972336	0	0	0	0	37.91127730744882	-3.0871234465744237
Hasselaar/name	1.9040287932158633	29.58756857737917	0	0	0	0	0	0	-34.97955032676782	0.2959669407122698	0	0	0	0	34.6770236159206	5.060261236843865
