_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
blik.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	384	lex	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	257	blik
blik.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	384	lex	5_5	1	selection	NA	NA	FOC	267	nav	4_4	NA	257	blik
blik.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	384	lex	5_5	1	selection	NA	NA	FOC	384	all	4_4	NA	257	blik
blik.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	595	lex	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	273	blik
blik.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	595	lex	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	273	blik
blik.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	595	lex	5_5	1	no	NA	NA	FOC	430	nav	4_4	NA	273	blik
blik.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	595	lex	5_5	1	no	NA	NA	FOC	595	all	4_4	NA	273	blik
blik.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	483	all	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	483	all	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	483	all	5_5	1	weight	NA	NA	FOC	267	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	483	all	5_5	1	weight	NA	NA	FOC	483	all	4_4	NA	276	blik
blik.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	483	all	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	483	all	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	483	all	5_5	1	selection	NA	NA	FOC	267	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	483	all	5_5	1	selection	NA	NA	FOC	483	all	4_4	NA	276	blik
blik.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	787	all	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	787	all	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	787	all	5_5	1	no	NA	NA	FOC	430	nav	4_4	NA	276	blik
blik.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	787	all	5_5	1	no	NA	NA	FOC	787	all	4_4	NA	276	blik
blik.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	268	lex	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	233	blik
blik.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	268	lex	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	233	blik
blik.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	268	lex	3_3	1	weight	NA	NA	FOC	186	nav	4_4	NA	233	blik
blik.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	268	lex	3_3	1	weight	NA	NA	FOC	268	all	4_4	NA	233	blik
blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	268	lex	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	233	blik
blik.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	268	lex	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	233	blik
blik.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	268	lex	3_3	1	selection	NA	NA	FOC	186	nav	4_4	NA	233	blik
blik.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	268	lex	3_3	1	selection	NA	NA	FOC	268	all	4_4	NA	233	blik
blik.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	384	lex	3_3	1	no	NA	NA	5000	5000	nav	4_4	NA	254	blik
blik.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	384	lex	3_3	1	no	NA	NA	5000	5000	all	4_4	NA	254	blik
blik.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	384	lex	3_3	1	no	NA	NA	FOC	277	nav	4_4	NA	254	blik
blik.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	384	lex	3_3	1	no	NA	NA	FOC	384	all	4_4	NA	254	blik
blik.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	350	all	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	350	all	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	350	all	3_3	1	weight	NA	NA	FOC	186	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	350	all	3_3	1	weight	NA	NA	FOC	350	all	4_4	NA	276	blik
blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	350	all	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	350	all	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	350	all	3_3	1	selection	NA	NA	FOC	186	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	350	all	3_3	1	selection	NA	NA	FOC	350	all	4_4	NA	276	blik
blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	bound	519	all	3_3	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	bound	519	all	3_3	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	bound	519	all	3_3	1	no	NA	NA	FOC	277	nav	4_4	NA	276	blik
blik.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	bound	519	all	3_3	1	no	NA	NA	FOC	519	all	4_4	NA	276	blik
blik.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	613	lex	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	613	lex	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	613	lex	10_10	1	weight	NA	NA	FOC	429	nav	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	613	lex	10_10	1	weight	NA	NA	FOC	613	all	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	613	lex	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	613	lex	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	613	lex	10_10	1	selection	NA	NA	FOC	429	nav	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	613	lex	10_10	1	selection	NA	NA	FOC	613	all	4_4	NA	269	blik
blik.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	1242	lex	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
