size	max_diss	av_diss	diameter	separation	medoid	medoid_i
31	2.5335868502576173	1.8842965247751797	3.383680851016394	0.7958985224195476	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	1
34	2.503348979343818	1.6764527488827097	3.067294021801693	0.7958985224195476	geldig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	2
26	2.5227745657284415	1.7942892559807069	2.937470059018282	0.8896644019233351	geldig.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall	3
24	2.802036769233259	2.0463647319815674	3.2195857600379587	1.8272064697272004	geldig.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall	4
20	2.8662054679857296	2.0751924275155083	3.2511948491890608	1.611165532777368	geldig.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	5
25	2.4934136029986007	1.8012210432518274	3.0502840527921853	0.875805869228278	geldig.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	6
20	2.554466106626978	1.7011109364014505	3.181678899564207	1.6259812013888155	geldig.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	7
24	2.139672995212918	1.5693997059289997	2.6867005241888684	1.626293129117666	geldig.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	8
