_id	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.x	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.y	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y
benut/verb	-18.483543430788536	1.2193938886694482	0	0	0	0	13.33679695518321	-7.376812840522167	-11.63498990210648	5.766095076911657	28.13573259450186	-41.158636437491346	-8.327681898216348	5.539566998743766	-13.21136101751507	7.114446605218776
bereik/verb	5.8086504602570725	-4.745858709562853	0	0	0	0	5.500980009879787	5.302713000887395	-4.379927169462916	3.516643070218273	16.228424444132408	14.556394593932362	-8.166900647760249	1.045180040952113	-8.196135612656565	6.697239344040946
bericht/noun	-20.6906029514538	-4.218546619382308	0	0	0	0	18.754905773766062	-2.899152294804869	25.907454922285744	7.468253367393648	-35.35286285052727	7.164655980145497	-10.005525417650565	-9.934242009883219	-13.07586407459255	-20.50260632941971
beschik/verb	-18.065162710108055	-0.07679661000476916	0	0	0	0	12.681387447860144	-8.799939363313516	-14.624554579747695	7.30978369939788	28.730105848881035	-40.66978408121421	-13.007153877360063	-2.6402735740784404	-14.816199909702267	7.318340105844891
beschreven/adj	0.2896017732956205	-2.0666148470422674	0	0	0	0	0	0	0	0	11.635131842211173	-24.93664528492899	0.9649646603464597	19.076581759220517	-2.1205392396515896	9.422627611787973
bijna/adv	8.215853936313586	1.509598558673998	0	0	0	0	9.068587418881473	-1.659746634057012	-1.2554372434362262	4.398461276491984	-10.843243990781335	-7.303015234092344	-19.078426454735066	-0.533620325729032	-0.7388858894753537	-7.82114934188402
bijstand/noun	-1.1694497753908972	-26.16532929589496	-4.2769534386749175	-4.039840300212973	4.2414897731277685	8.00858959235287	10.746417798004874	-20.181142586355392	-14.90867647225419	17.62080923090116	-13.6380792746539	41.56402656011162	-21.75544635056783	-5.952247389986375	-28.380855681865476	5.271991262466787
blauw/adj	-3.5676254899873534	12.295824032442088	0	0	0	0	-4.335267502279446	-0.293494972643608	2.6033456160817905	-16.743755554558206	11.328951375939846	5.522086492733863	1.0176874538666774	15.667800029853849	9.428279483169035	11.901570636106971
blauw/noun	-3.2667959922246204	11.696373312142619	4.0894346489907525	-5.256315553001123	3.2573614978427763	-1.9452133901283215	-3.8773209842043834	0.09749140290565216	2.9745303693609717	-16.083904402856795	11.99092428324356	4.9973678963503625	0.5495235293365721	-22.26526189836788	9.647380572436782	11.043989832531338
blink_uit/verb	-10.47771209735402	-0.02179583265289985	0	0	0	0	3.0377422210550358	9.200626299477994	-1.8294498456121184	-3.0049990230886223	-2.8165820679821714	-20.79181428642283	18.773545889977356	8.840649885993011	10.794550330752184	-10.122633917308557
boodschap/noun	9.643422876087952	4.839097154765135	-0.3664523569786962	1.0698739521099188	0.20493699295884543	-9.669311866600399	1.7321865666871727	-15.484988624948205	14.521061653713808	4.801712046649696	39.51949977097723	-19.920851561668943	3.752008233838394	-10.394472505383423	0.5581603342770343	0.1674262748120919
boven/prep	-5.463307351284676	17.107202977758277	0	0	0	0	0	0	3.6453012055407465	-19.9889621545958	13.651297160709156	14.473467831807158	0	0	0	0
breng/verb	5.865797239872157	-11.757674325980986	0	0	0	0	8.475181954087084	5.292280954846988	-6.952679512640268	6.87847958860513	-18.41487120210561	-28.99834100151466	-0.8674910718215194	-1.6119753564859105	-5.604232406084223	8.500416401775182
compliment/noun	11.461852875184901	-18.12878804292779	6.8412662785742135	1.5882530526556808	5.701812613150621	0.7005745806586302	6.723497005781599	14.665533086168372	-27.833642392646016	1.3574491079217021	-30.817277597033335	10.58020799409242	-0.5059748004071442	-7.852458284757838	18.549438597550076	1.3435410298890895
daadwerkelijk/adj	1.8767888716708565	-23.939318496851545	0	0	0	0	11.840479430324661	-17.82267657535612	2.0823516890931186	17.45324114638777	-27.55807831879757	31.827738212266222	-20.82625376613251	-8.409752719974717	-26.388822763799933	3.5278706051657993
daal_neer/verb	-6.865913576539306	18.21259953721068	0	0	0	0	-6.36278825581466	-10.566926862146639	2.5350258003648025	-21.50225966588193	10.942763924806297	13.394791592292348	3.6738334548338134	-0.3201134293912007	-13.094888337692554	-10.118453699189768
dat/pron	-13.936623285925828	4.49278737640498	0	0	0	0	0	0	3.1707581980760997	10.008366479881348	-13.67734425579321	0.8322636892539841	0	0	0	0
dauw/noun	24.9578114114984	5.932693299824152	-4.195307368627028	6.839803528533488	0.7316318566344365	1.1474521546453496	-17.120330398091003	-0.8436125092198052	14.584017743420887	19.970686900240143	-6.513614385416625	16.073788243588282	25.161261888593938	12.827283853158747	1.1414757784929885	24.77279791825305
decor/noun	-1.9917516452655712	6.777270305713173	0	0	0	0	0	0	0	0	6.546037166469746	-17.242274155716892	0	0	0	0
deze/det	-2.9157733977469955	-5.837800929479116	0	0	0	0	0	0	4.983122055189424	3.0071762550668644	-11.022954542641315	8.072238078320364	0	0	0	0
die/det	-2.7517558510731024	-5.749994577996863	0	0	0	0	0	0	5.333303052590207	2.943901997637962	-11.207092969318618	8.367515002202456	0	0	0	0
die/pron	-2.23757157955769	-4.551289526308358	0	0	0	0	0	0	3.687807399337429	3.045226167121162	-1.9613586074912361	-2.9573244715412965	0	0	0	0
ding/noun	13.529579459369389	-11.436850377752403	-0.975071770597194	-0.6960404876672961	-3.5067872387234087	-5.9593675865017115	-15.012972182606307	5.009464549896337	-17.393885421041546	1.4913197076265885	-24.349887912566317	9.097913188181817	3.2486550266029384	-4.183429418213817	-2.5888590931758926	-19.17966082751443
doe/verb	14.938636929280552	-9.007537342747579	0	0	0	0	-19.030557805807575	3.682227386944601	10.43659771850604	16.86071556044006	-22.662179755977842	19.751960670997203	6.541708193356712	-11.383541489171034	4.376746043669199	-17.87041284539607
door/prep	-12.048477497646607	3.1152578348655395	0	0	0	0	0	0	3.7410990423721557	0.052115359946947985	-1.4427883911742236	-1.4592209762992572	0	0	0	0
drank/noun	-14.921653964795695	15.337314287765924	-1.1209984067187329	-5.200941812891009	6.515246110168409	-2.267812626405073	15.794523655824795	10.304909371956484	-10.867798820635334	-24.050638775470652	29.600381872499558	39.12988859746309	-17.703175194623167	6.82146780582327	13.505145977690425	-20.764889587103735
dressing/noun	-13.479953263979416	20.72204139779782	-5.5491225641449	-6.117804295779651	-9.882446260544285	2.1669697447259857	18.100942954833275	15.39843643629429	-16.24108543693836	-28.21844838671856	21.682185384770477	42.54418370675138	-29.664588161957525	4.021829809911002	19.67484674665758	-22.300810376814848
dring/verb	-6.580294634936343	19.896122550969316	0	0	0	0	-8.255700266194827	-10.261494445271728	1.637451606498813	-22.818833284943537	9.907528944710798	17.358284174747215	8.415586413681119	-16.837538032518626	-8.195136193532552	-15.425287776244202
droefheid/noun	-5.722725800738771	-17.292722712471594	3.6507891920737756	5.771801213636986	-5.067048226124414	-3.815232112955719	-12.016229358822883	7.413788009278192	-18.124634014202144	-6.884367333745773	32.7443846171925	-25.585031641826006	-21.033464781292874	-15.165114985344982	-6.586985277155735	-10.482845146820736
duik_op/verb	-2.0938470172245465	1.1662558300646555	0	0	0	0	0.5065757418815275	3.9796630831690583	8.504856065603363	2.8954645660368876	-20.725621238347003	-37.752943645490596	2.519721512689624	4.248192142459848	15.396817104959162	2.1449042239847516
duivels/adj	-9.774166560150812	-6.571427508276767	0	0	0	0	0	0	0	0	30.953489386050602	-14.017559282876073	0.8782517897485264	-18.42735033070152	-13.680096453377505	-7.271779061551954
dynamiek/noun	-8.03563271079135	-0.6290891460805645	0	0	0	0	0	0	0	0	-5.600641464489501	-18.801701753445464	-4.782707195085489	22.568385006003943	-4.609803255887584	2.314582705631491
een/adj	-24.852624244615562	2.42199284677678	0	0	0	0	-7.092420717788027	-19.270298610508043	22.726010517921807	15.845181735794881	57.125547200148254	-2.885792838745695	23.320951623175045	-18.855634514308626	-22.986137170285424	16.2881472470409
een/det	-0.3009675300292275	2.247397021290494	0	0	0	0	0	0	1.4365212957975746	6.537430157308211	4.370123135851806	3.669003770524506	0	0	0	0
eeneiig/adj	10.170407570288049	-24.802638234628052	0	0	0	0	21.169014195287783	-11.571981198310127	28.792657386093648	-0.8133112495091221	16.48087427452177	-6.368502918078549	16.455810207782562	6.623207283165747	-30.354581585810443	-13.373472092106505
eenvoudig/adj	10.985684161813865	-0.004826836572925823	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eeuwig/adj	-11.182464096291914	-10.641722285540345	0	0	0	0	-2.5147619423614813	-10.86537738976772	-8.71504644500397	-7.574938176628476	35.22751058873959	-16.921015762236543	6.931099260971146	1.6941940663371522	-14.585369911061472	-5.1255098901054446
en/vg	1.8238403644993122	4.577164709176431	0	0	0	0	0	0	4.2716110870775665	-6.224568644506462	3.3068288107267394	-3.3795347190056524	0	0	0	0
ervaring/noun	-18.239223673059307	-1.6900488051712992	0.3728198348211968	-0.26479959465668895	-3.8046578038449885	-7.247579785489902	10.956606673565169	-9.67663601694936	-15.937132784404549	4.643651173960165	25.272545059528074	-37.39446104811831	1.281109569443112	-3.8523824299419376	-16.737938162888987	5.276710918881136
euforie/noun	-12.92315039854514	-20.440945167429728	-3.7407037486624963	3.9587858518998225	-5.249811153102785	-2.95583380070187	17.416877712350907	-4.810155961221577	5.16220418796352	24.90792639044745	-30.90420536489237	-2.3643941448095336	-6.183290007378019	9.567051217488931	-16.866239455868648	-18.469091472727907
fontein/noun	-4.159426541546219	8.679704015070614	0	0	0	0	-8.645764904395675	-1.4137551268449096	10.113703625110665	-15.539673621752447	17.769194387336434	-1.5821769010935398	1.6714768721442026	22.417554496239042	4.848177564891049	16.02369039764703
for/name	16.22275208983678	21.584780845684804	0	0	0	0	0	0	23.61385134567156	-7.949065748925019	-7.787582932574796	-45.29287750389023	0	0	0	0
gave/noun	-16.27544871460093	-1.1858074049015277	6.399558035408542	-0.03292962936965802	3.4468056759333403	4.914135089893379	9.805444752833282	-10.769333838288384	-14.621334329041021	5.6140813513993075	27.412456170597178	-37.33026858056524	13.260915481040602	6.973910450108484	-15.808790224921067	3.5461730197658956
gedrag/noun	-1.5010596645245005	-13.64342311561066	0	0	0	0	0	0	0	0	-9.33015082373931	2.78361736754784	0.6204834914574812	-12.398795095972343	-5.868960997730324	4.899593915728941
geef/verb	3.419014809847735	-15.038712448508189	0	0	0	0	10.565829127500756	-4.137294264434481	-5.858679748839125	12.145158244035954	-7.705159738363442	35.4053243496045	2.3862590323167376	-8.711114951225882	-25.13849436650202	-7.9798681505641325
geest/noun	-7.479827981377337	-6.881041387925202	0	0	0	0	0	0	0	0	29.584166879848386	-20.024448790381467	11.123537358980412	-1.2306402562131282	-10.493985607242303	-7.131903704147914
gegarandeerd/adj	6.179703075042255	-7.691168788172191	0	0	0	0	3.367858311581036	2.3143264052668204	0.18724486269495458	-8.454169895169699	-10.477319737759244	20.775472599646083	-22.632569655994917	2.578947234305732	-0.474125282296873	7.057818952066035
geluid/noun	7.343663853632033	8.222882219293604	2.356100167980063	-1.239669301061681	2.2762566085062215	-3.698409261804663	-4.037684176357297	10.225564986633726	11.64331373545263	-6.38958602270022	-8.998180157673783	-21.840712592944158	12.969720336518629	-5.7282231491917335	10.653324452592155	1.350933288938813
geluk/noun	-8.525233884849543	-11.661729053547312	-2.755409823586341	0.8762150094236735	-4.679098949288454	-0.5334194344902102	-1.4277636581904976	-11.308906612192583	-12.465338125449678	-1.8743751795297008	34.56902383827616	-19.437883136777028	-0.44828528517438715	-3.5757825129662386	-13.946948922020978	-1.8039911856012762
genaamd/prep	14.191103470314879	24.804804125184535	0	0	0	0	0	0	-4.371643314313016	-12.022390924609832	3.7854326715348323	-12.75038001061188	0	0	0	0
geneugte/noun	-6.803148522142826	-12.873515156556124	0	0	0	0	0	0	0	0	47.259062341698524	1.9900635275360627	-13.05080408617013	17.597203889212604	-6.515655565039189	-3.738552993592283
geniet/verb	-7.707513260119691	2.909456108907631	0	0	0	0	-3.3966287001414432	-5.469184135726864	-10.632689729780385	-19.97839619287685	28.549227075314977	31.85365059228548	-2.629749343414103	-3.065709421963447	4.251832614245717	-10.340206806445549
gerecht/noun	-15.044345454501975	18.316575120291663	-4.095688221891674	-0.03717926917495484	-9.299080854821545	3.123444796182474	18.41117957669385	12.240102071914194	-12.556115162240344	-27.32981841289738	23.391997931624125	39.5650790528381	-1.2215690768705374	-16.310651908279535	17.89003837509506	-19.35744516682404
gerust/adj	11.795616619893714	-8.754910612037184	0	0	0	0	-20.284489751116773	-1.007582012720931	8.2352704968735	18.777323752474416	-18.619722866809504	23.457825804098807	-3.738408631641013	-1.0481489471742667	5.914550180317801	-15.085805199397413
geschenk/noun	10.344982397923431	-19.163013165734778	-3.272883075838727	2.3230994320233864	0.2245972095304103	8.150572627107762	8.023732072272914	-11.346382693433286	-8.056915377614041	-1.7964913489414442	38.134973017901686	-16.719019150553535	-6.922228283293828	13.737282993458122	-18.546389083907176	-1.7203887072125668
gestreken/adj	-11.644547191927451	10.741631203775142	-0.8432130076884254	5.529007068684758	0.3946225915509855	-4.41894442992294	-9.632804016437506	13.629686807747698	10.219756436261175	0.15551567582852666	15.69876354991847	3.5152206265619594	14.919758941842396	20.406552868350467	-3.539675354081402	16.092889720945433
getal/noun	-22.63536658557003	8.405044759504143	-3.199242324755542	-4.769541487374306	9.00723655546235	2.1241398399721945	13.353649714565508	0.6152266844631092	19.549748766115435	23.841673716011083	-35.598553553993995	-17.618091428134996	-20.92159225219081	3.5595800546206124	-15.921522146578106	16.53654643642286
gevoel/noun	-2.732776906206024	-8.981000606010516	-1.5372584830328881	0.8316106199857275	-3.709631577997924	-3.331900397877373	-11.324714055958623	5.99229133275073	-16.456019284423903	-5.663689069773781	31.37170415197144	-24.540074781015583	5.18899644756875	-9.131574951925895	-4.513902296811474	-9.890686601816778
gewaad/noun	-5.348021310937221	11.329608846539662	4.66158746642723	1.6515047553718958	4.463146605194542	-1.8636806238629562	-0.737813924035069	-3.448525317532048	0.552733880441942	-16.275200520248006	9.608022678125582	1.8878510038368845	15.010164999048587	16.448772252756637	6.82860064014468	11.587159784654839
gewelf/noun	-7.254361535096993	15.92850064456908	-6.242299318175464	0.44845972980721815	-0.11075281730839054	-0.28086393430573564	-1.31838330877071	-0.9319421378649236	6.1796708807519165	-21.860360048341352	17.801239101695657	8.467208299366058	7.805813164531547	18.4844554732233	11.57864224709552	16.941969853595594
gezang/noun	10.232948241782136	8.902352986699848	4.433222545827207	1.8715513925039802	4.098590212569818	-3.895304826287099	-4.289234835940934	13.707755373933717	13.119109106820762	-5.677771980846061	-14.008643464107182	-27.191257228925256	13.32848964469811	16.02289076006209	11.424130518251664	-0.2329596855397495
gitaar/noun	10.004796906427986	12.225967774733947	0	0	0	0	-3.879098869828457	15.192598494655138	14.70502153672468	-2.5604051151793397	-9.825266160940698	-26.036196446930624	16.430147021727624	-2.978760026216762	11.339560578120073	-2.890710571002279
glas/noun	-4.599981656219845	13.853931819520454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glas_DIM/noun	-14.386359204199172	14.97114900269974	0	0	0	0	16.988626668489037	10.019120290676755	-10.033045690317936	-25.299737692106604	30.864538259562732	40.35785848193405	-12.86934744835263	16.59561431654995	14.091687157833316	-21.29473231781256
glimlach/noun	15.216476106097174	-16.47502553107326	-2.2387348955134603	2.952508366259857	5.131976029829444	0.6508621122248426	5.914642738426991	13.35373166838355	-14.031429546978961	-15.766782627649325	1.4674708101366727	-10.66179850968957	7.638722991033871	-0.9584642706738811	10.32487549012827	6.703532253033965
gooi/verb	-2.170871733484194	21.168319745660334	0	0	0	0	16.98059063215554	5.95374312238649	-3.269821382183778	-26.428449486064114	12.193994064455389	22.289094617415557	-2.672797418432188	-8.859575247421157	18.64205653567119	15.467024232687947
haar/det	3.5461394681598692	-18.58111069325505	0	0	0	0	0	0	-7.451366993318506	16.254120320413005	34.072932366124896	6.622873009577977	0	0	0	0
haast/adv	8.005603819902836	1.5728516244375894	-2.7982477221084716	-0.5091605677614238	-0.11041567960099066	-1.8046366717758155	8.733922854445007	-1.5706178080246815	-1.1336507482355218	4.059238394823048	-10.721028211656806	-7.409546238431245	4.644294094322014	-20.647260346574463	-0.7369646473129452	-7.463536443213601
