_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
dof.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.29422839912397963	-0.4417566769917659	LEMMAPATH3	NA	NA	LEMMAPATH	422	selection	NA	NA	FOC	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.562032399412939	-0.1363427087409419	LEMMAPATH3	NA	NA	LEMMAPATH	422	weight	NA	NA	5000	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.5535482872045252	-0.13532225497104292	LEMMAPATH3	NA	NA	LEMMAPATH	422	weight	NA	NA	5000	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.644129600429017	0.0585133100406161	LEMMAPATH3	NA	NA	LEMMAPATH	422	weight	NA	NA	FOC	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6937630204933851	0.08985767293066356	LEMMAPATH3	NA	NA	LEMMAPATH	422	weight	NA	NA	FOC	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-0.5640707890366025	-1.1060659595533735	LEMMAPATHweight	NA	NA	LEMMAPATH	639	no	NA	NA	5000	all	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-0.5246984227640948	-1.0145287300210843	LEMMAPATHweight	NA	NA	LEMMAPATH	639	no	NA	NA	5000	nav	303	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.4796442812838117	-0.512062776784849	LEMMAPATHweight	NA	NA	LEMMAPATH	639	no	NA	NA	FOC	all	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.4889706891413849	-0.4882104067747951	LEMMAPATHweight	NA	NA	LEMMAPATH	639	no	NA	NA	FOC	nav	303	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-0.20519261702035696	-0.9817599239851038	LEMMAPATHweight	NA	NA	LEMMAPATH	422	selection	NA	NA	5000	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.1917094915469859	-0.9486588398899836	LEMMAPATHweight	NA	NA	LEMMAPATH	422	selection	NA	NA	5000	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.2453002328518425	-0.42353360662089906	LEMMAPATHweight	NA	NA	LEMMAPATH	422	selection	NA	NA	FOC	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.29422839912407084	-0.4417566769913105	LEMMAPATHweight	NA	NA	LEMMAPATH	422	selection	NA	NA	FOC	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.562032399412939	-0.13634270874094193	LEMMAPATHweight	NA	NA	LEMMAPATH	422	weight	NA	NA	5000	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.5535482872045251	-0.1353222549710429	LEMMAPATHweight	NA	NA	LEMMAPATH	422	weight	NA	NA	5000	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.644129600429017	0.0585133100406161	LEMMAPATHweight	NA	NA	LEMMAPATH	422	weight	NA	NA	FOC	all	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6937630204933851	0.08985767293066356	LEMMAPATHweight	NA	NA	LEMMAPATH	422	weight	NA	NA	FOC	nav	302	2	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
dof.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-0.28248923686701327	-0.09250500620722028	NA	LEMMAREL1	NA	LEMMAREL	98	no	NA	NA	5000	all	235	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-0.3423626077831587	-0.06388239829596158	NA	LEMMAREL1	NA	LEMMAREL	98	no	NA	NA	5000	nav	235	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.3814061436817841	-0.07506676763274935	NA	LEMMAREL1	NA	LEMMAREL	98	no	NA	NA	FOC	all	235	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-0.40345806420532737	-0.06304555824540377	NA	LEMMAREL1	NA	LEMMAREL	98	no	NA	NA	FOC	nav	235	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.20780138688030636	-0.06585307310529726	NA	LEMMAREL1	NA	LEMMAREL	83	selection	NA	NA	5000	all	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.2653800363507648	-0.04966127657014897	NA	LEMMAREL1	NA	LEMMAREL	83	selection	NA	NA	5000	nav	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.31215121606461954	-0.06710404852745173	NA	LEMMAREL1	NA	LEMMAREL	83	selection	NA	NA	FOC	all	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24850187431242723	-0.06527434562268081	NA	LEMMAREL1	NA	LEMMAREL	83	selection	NA	NA	FOC	nav	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-0.21658275337014624	-0.0628617595570485	NA	LEMMAREL1	NA	LEMMAREL	83	weight	NA	NA	5000	all	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.2795231407650685	-0.04452777442658341	NA	LEMMAREL1	NA	LEMMAREL	83	weight	NA	NA	5000	nav	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-0.31332660971362425	-0.06108896323854621	NA	LEMMAREL1	NA	LEMMAREL	83	weight	NA	NA	FOC	all	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3688023453641204	-0.05400863491387454	NA	LEMMAREL1	NA	LEMMAREL	83	weight	NA	NA	FOC	nav	228	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.9312362061343744	-0.156398267745769	NA	LEMMAREL2	NA	LEMMAREL	174	no	NA	NA	5000	all	274	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-0.9854801560356772	-0.07537106194965623	NA	LEMMAREL2	NA	LEMMAREL	174	no	NA	NA	5000	nav	274	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.9953125530310112	0.03172705332485964	NA	LEMMAREL2	NA	LEMMAREL	174	no	NA	NA	FOC	all	274	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.0729752057684918	0.08376858229607144	NA	LEMMAREL2	NA	LEMMAREL	174	no	NA	NA	FOC	nav	274	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.7593625999649165	-0.13636124031299715	NA	LEMMAREL2	NA	LEMMAREL	145	selection	NA	NA	5000	all	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.8434372551786454	-0.07569078453849878	NA	LEMMAREL2	NA	LEMMAREL	145	selection	NA	NA	5000	nav	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8596325860690104	0.0152705925656653	NA	LEMMAREL2	NA	LEMMAREL	145	selection	NA	NA	FOC	all	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9179680735418676	0.05765281968895922	NA	LEMMAREL2	NA	LEMMAREL	145	selection	NA	NA	FOC	nav	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.758342126438015	-0.11494156024739262	NA	LEMMAREL2	NA	LEMMAREL	145	weight	NA	NA	5000	all	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.8407296301563996	-0.05024868917157226	NA	LEMMAREL2	NA	LEMMAREL	145	weight	NA	NA	5000	nav	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.8798249286058423	0.02946053829589018	NA	LEMMAREL2	NA	LEMMAREL	145	weight	NA	NA	FOC	all	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9666320746978032	0.07797314582734516	NA	LEMMAREL2	NA	LEMMAREL	145	weight	NA	NA	FOC	nav	265	1	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
dof.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	2.5071558013308253	-1.001897403434212	NA	NA	TRUE	BOW	1257	no	all	10-10	5000	all	311	3	dof.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
dof.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	2.1975107835916936	-0.8955910298384622	NA	NA	TRUE	BOW	1257	no	all	10-10	5000	nav	311	3	dof.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
dof.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	1.5218930607826486	-0.23015247442888873	NA	NA	TRUE	BOW	1257	no	all	10-10	FOC	all	311	3	dof.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
dof.bound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	1.4492750434612496	-0.21441187807655104	NA	NA	TRUE	BOW	1257	no	all	10-10	FOC	nav	311	3	dof.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
dof.bound10-10all.PPMIselection.LENGTH5000.SOCPOSall	1.352904678138496	-0.6595718287107882	NA	NA	TRUE	BOW	651	selection	all	10-10	5000	all	311	4	dof.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
dof.bound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	1.2312503542230355	-0.6197280615036094	NA	NA	TRUE	BOW	651	selection	all	10-10	5000	nav	311	4	dof.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
dof.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	0.6571795316996564	-0.08516718350235485	NA	NA	TRUE	BOW	651	selection	all	10-10	FOC	all	311	4	dof.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
dof.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.6645612378822341	-0.09514542035187108	NA	NA	TRUE	BOW	651	selection	all	10-10	FOC	nav	311	4	dof.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall
dof.bound10-10all.PPMIweight.LENGTH5000.SOCPOSall	0.10015776376034916	0.28536929592146665	NA	NA	TRUE	BOW	651	weight	all	10-10	5000	all	311	5	dof.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav
dof.bound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	0.09603331431435698	0.29301699243943424	NA	NA	TRUE	BOW	651	weight	all	10-10	5000	nav	311	5	dof.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav
dof.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.04868615454432189	0.4266538612147476	NA	NA	TRUE	BOW	651	weight	all	10-10	FOC	all	311	5	dof.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav
dof.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.07187260499340838	0.44357698164666026	NA	NA	TRUE	BOW	651	weight	all	10-10	FOC	nav	311	5	dof.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav
