size	max_diss	av_diss	diameter	separation	medoid	medoid_i
32	2.898171731276471	1.6645946647784309	3.2570625998930347	1.637284138286186	dof.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	1
28	2.809099398030839	1.884692049764597	3.4523221532476107	1.637284138286186	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	2
16	3.170607781270185	2.3490020288846467	3.85448513254343	2.0197645171047744	dof.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	3
20	3.294946346438498	2.0492067418195807	3.5418629484595003	2.0197645171047744	dof.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall	4
30	3.1423892964830915	1.833026804963407	3.5602137549119774	1.4358432553573242	dof.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	5
30	2.748895913859237	1.8122761787325288	3.2095889919094844	1.4358432553573242	dof.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	6
20	2.8425919820095076	1.8451413849606548	3.2287914083881093	1.430735234625682	dof.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	7
28	2.3741190825351155	1.6074000988062216	2.977318998206456	1.430735234625682	dof.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	8
