_id	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	dof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	dof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	dof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	dof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	dof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.x	dof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.y	dof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	dof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	dof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	dof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	dof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall.x	dof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall.y
1998/noun	-12.511950154231318	-23.07301275406113	2.2385936192580633	-37.008696693928016	14.667236749468026	-14.676515385224429	-22.44919657624636	-34.84825660807675	-30.80050600072118	0.28605115422235	16.918504198947605	-0.35091444057020715	28.48212253895839	-31.057806434642774
Ahmet/name	-25.018571045006293	-27.905694277942036	0	0	0	0	-36.83607375779812	-3.680016115533114	0	0	0	0	0	0
Bailliu/name	-0.13775039362813093	-34.40232656745342	13.378553327287184	-29.873781470093594	0	0	-30.777637176891098	-16.12885493012843	0	0	0	0	0	0
Bart/name	-10.786362314655685	-15.887869002446656	32.67600853454964	5.3577509086088355	0	0	-38.96364239908405	-6.466603257323865	0	0	0	0	0	0
Bill/name	26.17227801948822	-3.9253625733913595	0	0	0	0	0	0	0	0	0	0	0	0
Brit/noun	-21.277051418005506	-23.171259859551547	0	0	0	0	-34.385078391203415	4.0252004420971925	-25.94700130180427	-12.273601626201625	0.12029376494878054	10.298145623521012	-42.88486737042154	-12.961994231306567
Carla/name	-8.813291837510544	27.28109073253772	0	0	0	0	8.118930001076892	34.8752106016216	0	0	0	0	0	0
George/name	26.194923004351967	-4.045886745767406	0	0	0	0	0	0	0	0	0	0	0	0
Gullegem/name	-0.13269158004969123	-34.406592305143974	14.238083279093416	-30.34231917522984	0	0	-31.38695372861187	-15.876280068685904	0	0	0	0	0	0
Jagger/name	26.679400921821404	-2.3261215894954663	-14.619819275627911	20.79073712679531	0	0	-7.7062543644492365	5.315523783836811	0	0	0	0	0	0
Man/name	24.385112089528267	-11.762545512664936	27.917310725288544	8.743683043623086	0	0	-24.536886152062007	1.5034117077715514	0	0	0	0	0	0
Marat/name	-21.795544060710625	-27.611362608930303	7.972228410475648	-36.04559057595517	0	0	-37.63424898937596	3.6604438883240573	0	0	0	0	0	0
Rafter/name	-20.914653111641577	-26.942752221611634	6.983714883780843	-36.278358890719936	0	0	-37.67921727766607	4.93305456879272	0	0	0	0	0	0
Safin/name	-21.513526445764697	-27.306663715399182	7.798732108793367	-36.460169341934	0	0	-37.75106190973177	3.9268525878368346	0	0	0	0	0	0
VTM/name	27.381974528103097	-11.326968670351649	0	0	0	0	-30.302825078714292	17.016562844030933	0	0	0	0	0	0
aanhoudend/adj	-2.0681764379194103	-9.74408259553036	0	0	0	0	24.74307873486117	0.17623527791526283	-15.249620200139766	-1.2325171732741156	-20.90471371338111	13.046547198730156	8.878228275187372	-10.314212569117963
achter/prep	9.40208977900319	9.367947373910825	12.287075594666042	13.899287631843858	0	0	22.213434456202915	17.24262277520667	0	0	0	0	0	0
acteur/noun	24.168572098420647	-1.8089620795030203	-16.7263823141443	19.391862390692722	1.7812038044532252	-8.110911601832786	-7.570996448782485	8.121499656415738	3.7190523331388703	4.625411921939624	-6.198174294195101	11.997726094356153	-18.01368754882978	-28.48938509783437
af/adv	-4.233801672977576	-0.7990135838150176	0	0	0	0	2.8032131486119454	1.6709909535327343	-3.592491779466769	-6.163750429429844	-25.70966576621913	-2.647685791466536	-7.266790356884083	-5.211371070552214
afgewisseld/adj	-0.5584748128290218	-4.911800399920873	0	0	0	0	29.774199949553292	-8.080054692871007	-6.055521058302128	-17.247076851543994	-5.454883502349492	-33.23637128081954	1.1407485698945599	-5.265800953392694
akelig/adj	-5.9987334627946085	4.164107633332178	-6.8210153003093845	12.427246634540182	-6.389696440684447	-8.561753631393541	0.8690187769383757	6.4069360657039915	8.549923032941502	2.986963537290201	-7.493166678047854	-24.763549605277714	-11.521513570306054	6.73876374192386
al/det	3.226061880909798	1.8783796253868033	1.174197197455049	-3.466473986659765	0	0	7.698617782842707	-6.912201053805208	0	0	0	0	0	0
alleen/adv	0.6119484686480269	-2.2321243621942597	0	0	0	0	6.788362990936313	-4.423179542701117	-0.8194328265540494	-1.5860210956275387	0.17796610334880494	2.6019886123312177	-10.74027882157562	0.4979840078760618
allemaal/adv	-16.489583166667195	10.08051587271083	0	0	0	0	-6.05028148847896	-7.131256924869666	19.484984240264126	-1.4600259900412167	-15.295338526230582	4.007971951262029	-24.8866818616331	8.653144292314057
almaar/adv	1.3428610358180857	-13.385675953461448	-3.6345420416958385	-8.322106701422154	13.318221419882862	-9.270733011918233	5.258278981290907	-0.5985199626555346	-2.758112984325718	-3.1498715928858143	-8.669704923539257	25.806072549745835	-22.10593575371891	17.810945729077023
als/comp	-17.66644041435728	8.768783834004008	-20.416744190161058	4.883626475173126	0	0	-9.695333704530688	-9.292586354040518	0	0	0	0	0	0
als/comparative	-13.29397561641222	4.88807064941362	-2.001712757488158	5.842779310072341	0	0	-0.9478774465661338	0.6629323782920704	0	0	0	0	0	0
alsof/comp	-5.711621270463465	-2.70247474491178	0.019694724589219323	-1.355797524941445	0	0	5.93170319682368	-10.44223717421829	0	0	0	0	0	0
altijd/adv	-16.281039595751203	8.167505588825701	-21.67680698481471	5.795017104211927	-17.723762758187096	-2.5937114725244896	-7.650456140836412	-7.3734488263763085	20.718689103310336	-2.6293911894590827	-13.585826035453927	2.8764244030321673	-21.80930454849242	8.551936715109111
anti_climax/noun	-12.943962006922666	-18.637671741108875	12.375435052473415	-29.419224439958608	8.581987861229823	-17.26978591695726	-29.131566391639517	-16.413049134524627	11.618877505956304	-25.477361920423885	7.282680921417761	20.22290931008343	14.475439588453206	-39.406463294468075
antwoord/noun	-23.947994270722326	11.494286422606633	-25.698815507957413	5.435825570342431	-20.227603807209572	-3.1798834278751285	-5.342866738541242	-39.4552152876817	24.508609087055657	-4.37658493026425	-6.767546199963736	-4.216535705606802	-30.692783240455288	16.45911054404453
applaus/noun	3.28090179393737	-16.395170447544803	0	0	0	0	0	0	0	0	0	0	-1.4173803246753656	-20.334999323009107
auto/noun	14.48252240719156	9.740430569285687	7.6142723705028	-14.621660073366323	7.3657230161656715	8.651941891844949	-0.06142210460504192	39.49244991472158	-18.167216276269446	7.539562116204802	11.1526302235347	-6.085923486913621	22.559910889070242	-7.357150586247915
avond/noun	15.081068701948624	-5.6907197844427495	24.10927760245033	2.4855403614813683	15.78009991845943	-2.10008473709307	-13.208576114918236	-27.584136195918852	-6.57739592817491	-9.164574668112037	8.90525866299887	-17.207097546439467	6.261126980550709	-17.782304059514793
bas_lijn/noun	16.78617147423131	-17.98061634112331	17.89793103259899	-7.402539453415105	7.588251129222302	-3.677898504878995	24.809387085703236	-20.783121083931867	-13.018829420690926	-24.15590763657427	-31.576325082970666	10.528134762632972	-4.29612079644617	-33.86001394137621
bedoening/noun	-1.2726391412699047	9.114113141621107	-2.242372157346759	11.249898803313688	-7.654231415647419	-5.037304319227807	-3.1519502472292698	14.371094623898337	15.833233882674557	8.88743523642118	11.611493015607545	30.69086249704442	-5.0382683706040785	16.83976385910944
