_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
grijs.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8759509401130146	-0.29678247639506156	NA	NA	BOW	bound	590	lex	10_10	1	weight	5000	5000	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.12089025104325485	-1.3832545756421588	NA	NA	BOW	bound	590	lex	10_10	1	weight	5000	5000	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9322134360050581	0.03721369661818443	NA	NA	BOW	bound	590	lex	10_10	1	weight	FOC	432	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8953518134921057	0.03997373201462949	NA	NA	BOW	bound	590	lex	10_10	1	weight	FOC	590	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9573987690088582	-0.3699860704553529	NA	NA	BOW	bound	590	lex	10_10	1	selection	5000	5000	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18973799324589316	-1.5809561273805153	NA	NA	BOW	bound	590	lex	10_10	1	selection	5000	5000	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9631950856528284	0.09153611230980825	NA	NA	BOW	bound	590	lex	10_10	1	selection	FOC	432	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9335981054468055	0.09296689498038647	NA	NA	BOW	bound	590	lex	10_10	1	selection	FOC	590	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.3210854120377085	-0.48166208217241824	NA	NA	BOW	bound	1074	lex	10_10	1	no	5000	5000	nav	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.11068179025103993	-2.2908054636437636	NA	NA	BOW	bound	1074	lex	10_10	1	no	5000	5000	all	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2626978599198255	0.12238073087911149	NA	NA	BOW	bound	1074	lex	10_10	1	no	FOC	795	nav	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.2360330849130843	0.11286525278519434	NA	NA	BOW	bound	1074	lex	10_10	1	no	FOC	1074	all	4_4	303	grijs
grijs.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.6296418563269431	0.38722235950737854	NA	NA	BOW	bound	681	all	10_10	1	weight	5000	5000	nav	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.0284944706583083	-1.0555220303999362	NA	NA	BOW	bound	681	all	10_10	1	weight	5000	5000	all	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7039491603276552	0.28992536673309877	NA	NA	BOW	bound	681	all	10_10	1	weight	FOC	432	nav	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6825606514450794	0.28845910893417576	NA	NA	BOW	bound	681	all	10_10	1	weight	FOC	681	all	4_4	302	grijs
grijs.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.1994370912529882	1.2638695085461338	NA	NA	BOW	bound	681	all	10_10	1	selection	5000	5000	nav	4_4	302	grijs
grijs.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.9765656105072849	-0.30403047844478714	NA	NA	BOW	bound	681	all	10_10	1	selection	5000	5000	all	4_4	302	grijs
