measure	globqual	meanclassqual	classqual_dof_1	classqual_dof_2	classqual_dof_3	model	technique
DR	1.1077703238904066	1.1052652812959567	1.0945036065542764	1.1274369409610931	1.0938552963725008	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.004488149416368653	-0.004938290842058368	-0.028060964588660614	0.0019091860496730883	0.011336906012812422	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.4266067637739004	0.42276787134636407	0.3392453042521268	0.46580338265169635	0.4632549271352691	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.4650623885918003	0.4585113362362629	0.3839687194525904	0.5227636363636363	0.468801652892562	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.763728366237559	1.7621100113994308	1.8161417820239338	1.76990745175519	1.7002808004191683	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.2863475749991966	0.284262895559297	0.3052006736124326	0.29971415877698127	0.24787385428847722	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.7500048569856381	0.7413885396601155	0.7008641017029396	0.8193692944035644	0.7039322228738426	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.7599644655019248	0.7490385053873274	0.7008797653958944	0.8475636363636363	0.6986721144024515	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.7000177506704355	1.6947361215739636	1.7190687309882169	1.7370730575450701	1.628066576188604	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.2645253260188633	0.2614272100337539	0.2733294790789637	0.28652478034619117	0.22442737067610688	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.7214672505273984	0.7083924317883387	0.6650214024935439	0.8247105837347414	0.6354453091367307	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.7401243707432632	0.7300816091322797	0.683088954056696	0.8209454545454545	0.6862104187946885	dof.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.2903500136296153	1.2898072441727395	1.2427581027911743	1.299663543861271	1.3270000858657736	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.09122087455775375	0.09208804377214866	0.059331435068728844	0.08833264060532764	0.1286000556423895	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.5574544586758189	0.5521380782669024	0.4631482028729935	0.607362752908929	0.5859032790187848	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.5642286052709505	0.5606968474158035	0.4871945259042033	0.5989818181818182	0.5959141981613891	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.083779581938376	1.0867218224393713	1.1005797099748682	1.0600912839963836	1.0994944733468621	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.009189990945197601	-0.004809868618577457	0.005003947530089241	-0.04325300247599555	0.023819449090173937	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.395251019966687	0.3924948029731845	0.3269925734385069	0.42327723450496146	0.4272146009760852	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.4181225940183595	0.4141030398219235	0.3429130009775171	0.4562909090909091	0.4431052093973442	dof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	mds
DR	2.0432739720686444	2.0727487213316365	2.073939340546473	1.840546994948265	2.3037598285001715	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.3482600391191544	0.35517982285030847	0.3780415219694057	0.29531743791117826	0.39218050867034143	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.7950138509046223	0.789841803412032	0.7457080641742534	0.8409903785021499	0.7828269675596929	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.7957433870477348	0.7894301861250566	0.7487781036168133	0.8487332339791356	0.7707792207792208	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	2.010785663601362	2.0234622753722133	1.980868450670356	1.9338053675520066	2.1557130078942777	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.34565447664527427	0.3464510209003909	0.34768378322375065	0.3398915052901245	0.35177777418729766	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.781413232020416	0.7775610988412872	0.7280052529886561	0.8196082155053186	0.7850698280298868	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.7901489814533292	0.7836437579695116	0.7362658846529814	0.8460506706408346	0.7686147186147186	dof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.815010988360121	1.8317498247230113	1.7666641411855974	1.7154566426001838	2.013128690383253	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.2972460954068945	0.30254756638157093	0.29840752961245054	0.26181389557877704	0.3474212739534852	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.7746351439876731	0.7707092756539204	0.7131766879104634	0.8152257999034771	0.7837253391478208	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.7798114928549711	0.7745916519581247	0.7419354838709677	0.823397913561848	0.7584415584415585	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.1503347754216586	1.153382121279306	1.153610098836114	1.1293503262938365	1.1771859387079675	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.005332936600406175	0.012832025812941095	-4.622945278973566e-4	-0.04302531080496402	0.08198368277168466	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4849723823244053	0.48671377748478506	0.38347481740861605	0.49746307979352133	0.5792034352522177	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.502158710854363	0.5022556150001947	0.40410557184750734	0.5247391952309985	0.577922077922078	dof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.8156126209526324	1.824090268246281	1.9621484610061488	1.7246865767820783	1.7854357669506156	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3020538312499561	0.30412745444517236	0.3662536564251297	0.27309721357177047	0.273031493338617	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.7689819066663676	0.7636399000432268	0.7141784539471955	0.8173876104427892	0.7593536357396957	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.7671024627546367	0.7616974306027717	0.7266862170087977	0.8125186289120715	0.7458874458874459	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.813845508319716	1.8100606749064745	1.8695163203453886	1.8257597375803956	1.7349059667936393	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.30352439275486254	0.3002766118067377	0.33558141170563843	0.31746985665934907	0.24777856705522552	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.7722400181228679	0.7646744242117992	0.7124605321511052	0.8365701507369521	0.7449925897473404	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.76655518394648825	0.759997535222284	0.7202346041055718	0.8210134128166915	0.7387445887445887	dof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.487766920267305	1.48752463650443	1.5933067547011892	1.4643773675920297	1.404889787220071	dof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.18299908076706473	0.18300743709956654	0.24377431087820262	0.16854953164099376	0.13669846877950323	dof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.6342439248979601	0.6329304014037593	0.6057504402768208	0.649703116532929	0.6433376474015283	dof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.6591061112800243	0.6555721145885081	0.6363636363636364	0.6879284649776453	0.6424242424242425	dof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	mds
