measure	globqual	meanclassqual	classqual_dof_1	classqual_dof_2	classqual_dof_3	model	technique
DR	1.0894380077862644	1.0563488264272962	1.2580776264267477	0.9031074852311266	1.0078613676240147	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.0039473136996779935	-0.020917836044887173	0.1519863542014682	-0.1708467714888837	-0.04389309084724602	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.498262813387143	0.42153547194762553	0.6741344716347343	0.41726665589977807	0.17320528830836415	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.5222322232223222	0.46281937017231134	0.6568181818181817	0.4621212121212121	0.2695187165775401	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0922350971169876	1.0547215844100741	1.2660001305742132	0.9094178924263873	0.988746730229622	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.014785610411333744	-0.014389602147886864	0.1623384049587031	-0.1476460101385715	-0.05786120126379219	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.5164718010369861	0.42555465848597873	0.7559552864702621	0.36977633901960805	0.1509323499680661	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.5204320432043205	0.45203753218459103	0.6912878787878788	0.42525252525252527	0.23957219251336898	dof.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.1093947958958434	1.1095797716704947	1.2124056830645638	0.9408278871201837	1.1755057448267363	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.014102284876813153	0.012408758837437625	0.12203332672649674	-0.15744995035118892	0.07264290013700506	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.5138824704535422	0.4483182800666301	0.6826730860313842	0.41447534554930093	0.24780640861920522	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.5738973897389739	0.521764210734799	0.7034090909090909	0.5025252525252525	0.3593582887700535	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.067425633376369	1.0647202070825657	1.0498042793103215	1.103438197430655	1.0409181445067206	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.03605826053882081	-0.04682688422013561	-0.002678210894471243	-0.061615193761335625	-0.07618724800459996	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4667771841896684	0.3864162363030588	0.6443376592202537	0.39277895346698155	0.12213209622194122	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.49054905490549056	0.4148197662903545	0.6189393939393939	0.48434343434343435	0.1411764705882353	dof.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.0985686799737229	1.063858821011603	1.2758407509631389	0.9025038697840512	1.0132318422876183	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.007830839938709427	-0.017451424939469377	0.15931227616620125	-0.17146016081208673	-0.04020639017252265	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.49180658517369935	0.4148379255820059	0.6807258779870481	0.39016993054014965	0.17361796821881997	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.5398739873987398	0.47852792632204394	0.6791666666666667	0.47727272727272724	0.27914438502673794	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.08689638356375	1.0491332235167998	1.26310136121518	0.9007683233111254	0.9835299860240939	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.011995577086469585	-0.017352511051275197	0.1607761435539795	-0.1519752158328896	-0.06085846087491552	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.47992453635274196	0.39562794653317523	0.7137611229632528	0.32467147824074544	0.14845123839552746	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.5126912691269127	0.44065904139433554	0.6912878787878788	0.41464646464646465	0.2160427807486631	dof.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.0830090084146766	1.1105197427782345	1.095580415716645	0.9886531621566523	1.2473256504614059	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.027982819071782232	-0.004715920719423654	-0.018541051939783268	-0.10584106102242727	0.11023435080393958	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.4557167519513052	0.3992509445092424	0.6046542839524401	0.36427952497814814	0.22881902459713896	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.47884788478847884	0.44494454347395523	0.5795454545454546	0.40555555555555556	0.3497326203208556	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.1240286973838567	1.1162111053505044	1.1209321242974415	1.150065063667006	1.0776361280870657	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.012814798202414095	-0.03229101951091176	0.05437296248118347	-0.07015865580547428	-0.08108736520844446	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.5000547444556657	0.417633647284276	0.6583160461527304	0.4630745130415535	0.13151038265854403	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.5225922592259226	0.4424118637353931	0.6640151515151514	0.507070707070707	0.15614973262032086	dof.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0857205770885892	1.0540288471222299	1.2743877608167173	0.9202553704107281	0.9674434101392443	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.01661027477482057	-0.010655641418041406	0.17990926764138396	-0.12710010965280005	-0.08477608224270812	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.4695929757093977	0.40436948291541736	0.69257421366426275	0.35733698262985825	0.16319725245213113	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.5034593724859211	0.45216161616161615	0.6534545454545454	0.4502164502164502	0.2528138528138528	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0587568237153049	1.0315065491162745	1.2209253416609138	0.9165606465398884	0.957033659148021	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.007486139269264323	-0.016212228121237692	0.15366033910551344	-0.12327836785690696	-0.07901865561231955	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.4689899708125831	0.4011102950949648	0.7094403603485561	0.3405784600348083	0.15331206490153015	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.47851971037811747	0.41989033189033187	0.6458181818181818	0.42337662337662335	0.19047619047619047	dof.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.0498621500041303	1.0480738063144335	1.1185395900573927	0.9603869067139531	1.065294922171955	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.02300094191556516	-0.022198011289223628	0.055874613481659126	-0.13433311981932808	0.011864472469998071	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.40634367072493166	0.36250696836308527	0.5539148205921423	0.33406504704146583	0.19954103745564775	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.43765084473049076	0.3974372294372294	0.5494545454545454	0.40389610389610386	0.23896103896103896	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0805851516755283	1.0728357517231653	1.0933142433439058	1.08625508208581	1.0389379297397798	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.015756710835555	-0.03353468125950603	0.05799198586135742	-0.06426623785943811	-0.0943297917804374	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.44150027588872853	0.3865027212242368	0.5997243173904585	0.38799307304648156	0.17179077323577024	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.47932421560740146	0.42686868686868684	0.6109090909090908	0.454978354978355	0.21471861471861473	dof.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.8822444555211886	1.8865674722793295	2.0080499995558956	1.8343983975665183	1.8172540197155747	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.3266654609156703	0.3268443068021998	0.38591508382578416	0.31738266554825495	0.27723517103256023	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.806100968329746	0.7975983624873179	0.7415501151336622	0.8754912982860011	0.7757536740422902	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.7972073677956031	0.78859267750822	0.7319648093841642	0.8674909090909091	0.7663223140495867	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.8536596098444147	1.8519706155321398	1.9458990827599556	1.8532460188677358	1.7567667449687283	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.3172735286214315	0.3156348103197983	0.36539502805184954	0.32246309982356863	0.25904630308397664	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.7845807280619781	0.7774439141716035	0.7394339058385834	0.8416037815261905	0.7512940551500368	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.783184789067142	0.7754729701709173	0.7268817204301075	0.8458181818181818	0.7537190082644628	dof.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.493030944677741	1.4930373513284667	1.566955903128041	1.4829953731090073	1.4291607777483522	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.1827177294727095	0.1829186316745092	0.2283400227241601	0.17511909035021306	0.14529678194915444	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.6311655155586795	0.6244526603300594	0.5308344627843399	0.6926208951323932	0.6499026230734452	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.6628639334521688	0.6577794484433781	0.5913978494623656	0.7088	0.6731404958677686	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.1422894199396922	1.1428482149416046	1.1465301560513552	1.137729269640688	1.1442852191327704	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	9.190251581585952e-4	0.004194878834566345	0.006976966136903176	-0.023273274178743267	0.028880944545539126	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.43818672126748304	0.4357726416833904	0.3177592163184329	0.4716854924822315	0.5178732162495069	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.4720736779560309	0.4669990935750466	0.3659824046920821	0.5226181818181818	0.512396694214876	dof.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.8216752802068112	1.8291713653824946	1.9067613779800705	1.756625304290131	1.8241274138772823	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.3043994754052144	0.3061776756049066	0.34344989334223675	0.28687222193116163	0.2882109115413214	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.7714630935335962	0.7647270254981586	0.7082253733398389	0.8284486781512872	0.7575070250033497	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.786970684039088	0.7797215591947017	0.7255131964809384	0.8475636363636364	0.7660878447395302	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.8168982385958004	1.8166956450229903	1.8595401044696214	1.8136628224970501	1.7768840081022994	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.30082985389359507	0.29985804721841613	0.3263895234545524	0.305197456783288	0.267987161417408	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.7701978031900348	0.762553045310183	0.7372960245533087	0.8305521773141273	0.719810934063113	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN	0.7691442108380219	0.7609065969590797	0.7022482893450636	0.8376727272727272	0.7427987742594484	dof.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.4875675371924155	1.4827789573701493	1.4898307567099018	1.5228313687056156	1.4356747466949302	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	0.17588905280073788	0.1740019529326982	0.18348008780412348	0.18904159515498928	0.14948417583898188	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP	0.6188823362530448	0.6110459550629583	0.5581991671671996	0.6837447377557241	0.5911939602659513	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN	0.6422268285460467	0.635633961946394	0.6048875855327468	0.6952727272727273	0.6067415730337079	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.106864817570464	1.1108088835218044	1.1187300009193002	1.0762946413925973	1.1374020082535157	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.0016985838562479222	0.003598855804936973	0.0059537940094026905	-0.0418381922173304	0.04668096562273863	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds
SCP	0.40875566406746955	0.4056676861057179	0.2992811846921874	0.44382199832549213	0.4738998752994742	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds
kNN	0.4380811371039384	0.43613903148923083	0.33313782991202345	0.46414545454545453	0.5111338100102145	dof.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds
DR	2.03628711798592	2.048129551823096	2.0977338115728865	1.943486144987286	2.103168698909116	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.3630240299796937	0.36354130291438597	0.3978801395356077	0.3546229326137927	0.33812083659375747	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.8273551660122606	0.8174739708470304	0.787601318843535	0.9032309703221083	0.7615896233754479	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.8213903743315508	0.8120851683995379	0.7724340175953079	0.8944	0.7694214876033058	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	2.0020200283368688	2.0039716455958776	2.0448859243748307	1.9823022868080016	1.9847267256048	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.3570443152366401	0.35442950318160144	0.38491314520832215	0.3719352944980399	0.30644006983844224	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.7935975011085757	0.7839698330988484	0.7481369774668475	0.8684355273998372	0.7353369944298603	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.8109328579916815	0.8014834384904767	0.7632453567937438	0.8848	0.756404958677686	dof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.767098690339605	1.7749091768166991	1.8030551351376065	1.706510834827637	1.815161560484854	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.293496118336548	0.29535834589626947	0.3208619775183135	0.27651078396694545	0.28870227620354943	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.7933090495476465	0.7867455029344903	0.736220508947713	0.847855509246914	0.776160490608844	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.7850267379679144	0.7779810124707486	0.7556207233626588	0.8392727272727273	0.7390495867768595	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.1132362625434857	1.1103633035838354	1.1150391759693268	1.13349157600885	1.0825591587733296	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.003654718663222074	-0.0020807987733671156	-0.016801916173470557	-0.01310820145701847	0.02366772131038768	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.47357122931358725	0.47044438284790674	0.3430751570045925	0.5135163057591181	0.5547416857800096	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.48627450980392156	0.48341662963950355	0.37145650048875856	0.5221818181818182	0.5566115702479338	dof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.7978413349290308	1.7976906130315797	1.8825113985859179	1.7874748555409932	1.7230855849678282	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.30225340997542954	0.3011160369409506	0.34494045407159674	0.30460020080304007	0.2538074559482151	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.7719932822898858	0.7642599557498283	0.748491868563685	0.8303474789170797	0.7139405197687203	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.77534165181224	0.7669452057229184	0.7143695014662756	0.8434909090909091	0.7429752066115702	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.7612143236046542	1.754239657172227	1.8118805132335012	1.8041327287402376	1.646705729542942	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.2900997132101304	0.2858048780728836	0.3167764508177242	0.3171389777559463	0.22349920564498024	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.7469723799603544	0.737614916016528	0.6891364892510137	0.8215548106283777	0.7021534481701925	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.76232917409388	0.7524073165674339	0.7092864125122189	0.8402909090909091	0.7076446280991735	dof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.3699641745121007	1.3683248545883684	1.4483177792186412	1.3710726187373081	1.2855841658091556	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	0.1263305477667129	0.12578357334178325	0.17240848720031474	0.1240065356319406	0.08093569719309439	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.5915682081387323	0.589332673781215	0.5751435707819041	0.6097385934676162	0.5831158570941247	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.6030897207367796	0.598351094522942	0.5833822091886608	0.6395636363636363	0.5721074380165289	dof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	mds
