measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
DR	1.0699401443876269	1.0538653906177728	1.187490130621561	1.0496891699578121	0.924416871273945	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.01714904408971405	-0.0284586782555428	0.05063843116201732	-0.045716838741113944	-0.09029762718753177	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP	0.42810630081612827	0.3946988558404652	0.565053720254061	0.2829621790780533	0.3360806681892813	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN	0.49037952338923213	0.45954399277744934	0.5851417399804496	0.32603305785123965	0.46745718050065876	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0864714170952068	1.0674985013013127	1.2003706255882287	1.0387189144750637	0.9634059638406457	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.009775837396544687	-0.027449747656092368	0.06776991645574297	-0.08167189064740335	-0.06844726877661672	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP	0.44052141468306827	0.40561972261125284	0.5767725268323235	0.28233647199172124	0.35775016900971374	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN	0.5	0.4725428452573677	0.5792766373411534	0.34876033057851236	0.4895915678524374	herstructureren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.0473424096339992	1.0435947552122733	1.1280800122637056	1.0938199295466273	0.908884323826487	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.01251534238952333	-0.01657509130145112	0.062378516635326724	0.025768041283570603	-0.1378718318232507	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP	0.41747310052859116	0.4025348701938954	0.52642675691427	0.39838006348756216	0.28279779017985407	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN	0.4766990291262136	0.45804229983115613	0.575366568914956	0.4169421487603306	0.38181818181818183	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.124279618566314	1.105678369218429	1.2593866595318866	1.0999640332927783	0.9576844148306227	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.011589382876105328	-0.027203070114005565	0.08880605650739534	-0.044491091397758656	-0.12592417545165338	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP	0.4453554694437692	0.42316698353417087	0.5180875256144869	0.331457580036184	0.4199558449518417	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN	0.5093556928508385	0.49117111443389655	0.5673509286412513	0.41446280991735535	0.491699604743083	herstructureren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.067893703029028	1.0548548903681931	1.176873596931524	1.0645530323437113	0.9231380418293438	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.023654603643412	-0.033195140769326795	0.04586450756494689	-0.03591190428596197	-0.1095380255869653	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP	0.4105700201186625	0.3807836673388899	0.5459725896270857	0.29392548583023176	0.30245292655935224	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN	0.4748455428067078	0.44836687672337294	0.5736070381231672	0.35041322314049583	0.42108036890645584	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.0812580893348578	1.06328179175817	1.1869783184820129	1.0339057653811525	0.9689612914113449	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
