measure	globqual	meanclassqual	classqual_harden_3	classqual_harden_5	model	technique
DR	1.2745457035742591	1.268929451415933	1.2572721885326845	1.2805867142991814	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.16721819376204436	0.161837342907878	0.15066868609292755	0.1730059997228284	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.8763950329687064	0.8089433841588017	0.668938701334882	0.9489480669827215	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.88317997791682	0.8199267262791853	0.6886363636363636	0.951217088922007	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.3935214824904993	1.356007186073594	1.2781413775443875	1.4338729946028006	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.23524407719162138	0.21246670613162436	0.16518930569616835	0.25974410656708036	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.8970334504367374	0.8424617658477114	0.7291911264066235	0.9557324052887991	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.9062937062937063	0.8638824205166418	0.7758522727272728	0.9519125683060109	harden.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.8671683987805965	1.8081771606352803	1.6857331621319767	1.9306211591385838	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.4186968598094131	0.38448357824427787	0.3134694560040392	0.45549770048451654	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.9252427949132384	0.8886999493579112	0.8128505136254254	0.964549385090397	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.9252116304747884	0.8956773161947342	0.834375	0.9569796323894685	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.730329300547576	1.7540023507659728	1.8031388499587797	1.7048658515731658	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	0.3657795444859767	0.3665749333963041	0.36822586668076507	0.36492400011184306	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.9002991340227652	0.8646378020266476	0.7906180625052944	0.9386575415480009	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.9004784688995215	0.8688252918529558	0.803125	0.9345255837059115	harden.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.4583984388080837	1.4122444174062152	1.316445734328387	1.508043100484043	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.2535053119365461	0.22700897591217312	0.17201237929015525	0.28200557253419095	harden.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
