measure	globqual	meanclassqual	classqual_diskwalificeren_1	classqual_diskwalificeren_2	classqual_diskwalificeren_3	model	technique
DR	1.5993121209711312	1.790526483773626	1.2787841503875519	1.6066340933150065	2.48616120761832	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.16783394684098937	0.18350257141501647	-0.12457928600936538	0.26563591690906857	0.4094510833453462	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.66670911306001	0.553508787972967	0.40105362429039154	0.828698260747565	0.43077447888094433	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6905014268242967	0.6000862766684764	0.4724431818181818	0.8220305242203052	0.5057851239669421	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6258616164049453	2.2017014052159114	1.3049503154028286	1.4125820388446424	3.8875718614002626	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.09341359961082338	0.15805820180140986	-0.29411899594462937	0.19784686281734779	0.5704467385315112	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.689286971624435	0.5890227547739029	0.4594852188938456	0.8307575101185207	0.4768255353093424	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7072971871178149	0.6225659674046369	0.5099431818181818	0.8280026542800265	0.5297520661157025	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.708077691825761	2.1472313295507726	1.2079712906671376	1.638689246250208	3.5950334517349716	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.17470259242560748	0.24121396572536027	-0.08663938184616962	0.23197748183109404	0.5783037971911564	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
