measure	globqual	meanclassqual	classqual_heilzaam_1	classqual_heilzaam_2	model	technique
DR	1.0698420787982037	1.07347572934517	1.0962686282306853	1.0506828304596547	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.04603371768680336	0.04842328605935668	0.06341239675991842	0.03343417535879495	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5472758652978578	0.5399128763047824	0.4937268544391276	0.5860988981704371	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6400527009222661	0.6310109717868339	0.574294670846395	0.6877272727272727	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0643230946208984	1.0529620652672536	0.981697426594391	1.1242267039401161	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.043830843163632977	0.034015021344280055	-0.02755695188620645	0.09558699457476656	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6133334616365261	0.6045769479929565	0.5496497260469283	0.6595041699389846	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6702678963548528	0.6631635318704284	0.6185997910135841	0.7077272727272728	heilzaam.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0840158149554842	1.0802317327690258	1.0564952172357882	1.1039682483022637	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.05426380210488443	0.05066068788776302	0.028059335071274182	0.07326204070425185	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.571987033968481	0.5665032177355974	0.5321047340929639	0.600901701378231	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.629951690821256	0.6243103448275862	0.5889237199582027	0.6596969696969697	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0449448172270381	1.0353611373777762	0.9752453274142246	1.095476947341328	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	0.03133921009983055	0.022450085989761035	-0.033308965246129536	0.0782091372256516	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5591811785194477	0.549076142005876	0.4856900038752895	0.6124622801364624	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6174791392182697	0.6082366771159875	0.5502612330198537	0.6662121212121211	heilzaam.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.076460182118725	1.0698210910158266	1.0281758831885544	1.1114662988430988	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.05248666388439014	0.04648522709871229	0.008839850897642155	0.08413060329978243	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5911647946432509	0.5865101439808016	0.557312789825438	0.6157074981361652	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6452349582784366	0.6386703239289446	0.5974921630094043	0.6798484848484848	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0655201563681813	1.0611738303580007	1.0339105126577774	1.0884371480582242	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.045681824746889664	0.04169795479659305	0.016708225108368842	0.06668768448481727	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.5939559947898474	0.5938620686450686	0.5932728955550921	0.594451241735045	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6587615283267457	0.6547622779519331	0.6296760710553814	0.6798484848484848	heilzaam.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
DR	1.066127884396208	1.0606199520499047	1.0260701946049111	1.0951697094948982	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.046365125758100714	0.041436035270224186	0.01051719493718051	0.07235487560326787	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.5391524271322938	0.5297790751736291	0.4709825947056413	0.5885755556416169	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6360122968818621	0.6312042842215255	0.6010449320794148	0.6613636363636364	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0232845993937514	1.015652823930215	0.9677807778407594	1.0635248700196707	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SIL	0.017319944512218566	0.010098846973789405	-0.03519712849453897	0.05539482244211778	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5488539790166063	0.5353089180877828	0.45034444498879905	0.6202733911867665	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6044795783926219	0.5936050156739812	0.5253918495297806	0.66181818181818175	heilzaam.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
DR	1.0221654437905143	1.0226562532303778	1.025534784269577	1.0197777221911786	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.015618417306817884	0.016037846279990876	0.0184977405280595	0.01357795203192225	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5852226890141066	0.5787759035365454	0.5409663778978752	0.6165854291752155	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.643234185169669	0.6358180227471566	0.5923232323232324	0.6793128131710808	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0379472631561466	1.0325619313731869	1.0009776882136663	1.0641461745327074	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.029040634387899108	0.02443765983969991	-0.0025581638619007916	0.05143348354130061	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.5642935234380793	0.562941586917757	0.5550126619201909	0.570870511915323	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6422287390029325	0.6380489938757654	0.6135353535353535	0.6625626342161774	heilzaam.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0573469076674846	1.0513868747351394	1.0164320869967898	1.086341662473489	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.040256330336705774	0.03465779574817296	0.001823146945156203	0.06749244455118972	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
