measure	globqual	meanclassqual	classqual_geestig_3	classqual_geestig_2	classqual_geestig_1	model	technique
DR	1.037768597155529	1.027464362987974	0.9628109040992978	1.031244677299782	1.0883375075648423	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.006688997940245475	-0.036490576821353135	-0.12072593753857637	1.3105825309781978e-4	0.011123148821419139	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5980034051485237	0.35880186762652644	0.051083864805873874	0.7448430847058741	0.28047865336783123	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6217424242424242	0.38082361104656726	0.05656565656565656	0.7660535995796112	0.3198515769944341	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.1313265776324781	1.139914425063674	1.0408233606902833	1.0985200187809148	1.2803998957198237	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	-0.0036243484661291053	-0.0053116492831533045	-0.08386169476583807	-0.021683417137003464	0.08961016405338162	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6222388525203035	0.3839324344544913	0.0495308618108348	0.7615702698080525	0.34069617174458666	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6495454545454545	0.40520052477112756	0.03636363636363636	0.7859169732002101	0.39332096474953615	geestig.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0844496248755022	1.0601104130267875	0.9695066215550197	1.0845676171240999	1.1262570004012429	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.017850779618994686	-0.013127752645497188	-0.10935759232559174	0.022773236978656998	0.04720109741044318	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.6175324441962287	0.3521731730968505	0.0455827992205552	0.7891241688523796	0.22181255121761673	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6525	0.40911557476379934	0.09090909090909091	0.8006305832895428	0.33580705009276435	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0473890480289756	1.0633400891386502	1.0927412986537044	1.039817408724495	1.0574615600377513	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	-0.03935893439337036	-0.018684476035848604	0.01808161503889766	-0.04950803395913964	-0.024627009187303834	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.6067988040826756	0.3670164769960096	0.06897631889656727	0.7566012640905025	0.27547184800095886	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6165909090909091	0.37408261371927765	0.06868686868686869	0.7671045717288492	0.28645640074211504	geestig.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.0469009613429003	1.000774978048561	0.9099877187202622	1.0673542599152075	1.0249829555102137	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.007914322541516425	-0.04076231551691145	-0.1293788077269596	6.603220281152761e-4	0.006431539148109951	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5730667304728416	0.34939540501226957	0.04005105056556627	0.7049715592275074	0.303163605243735	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6346212121212121	0.3981144463390541	0.07878787878787878	0.7760378349973726	0.3395176252319109	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.1043620662136733	1.0619118532370293	0.93796130716446	1.1130859192543272	1.1346883332923006	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.014479877696652647	-0.01566239690371197	-0.12598709634394917	0.015096314559515083	0.06390359107329818	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.5968948526495084	0.36513009505364963	0.03965827258305333	0.7323390896215336	0.32339292295636196	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6295454545454545	0.38855802728635097	0.03535353535353535	0.766684182869154	0.36363636363636365	geestig.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0595093173089767	1.0639506257974214	1.0726822699856884	1.057537455899111	1.0616321515074647	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SIL	-0.018132311829633818	-0.03163975933373455	-0.022210363951610933	-0.0031389637060731984	-0.06956995034351952	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.5831410532236516	0.3416530603262772	0.06157972464644807	0.7390308416915607	0.22434861464082276	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6157575757575757	0.3763937991848809	0.07474747474747474	0.7642669469259065	0.2901669758812616	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0695241806660605	1.0039152958219066	0.9457075727885695	1.1163483034716122	0.9496900112055383	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SIL	0.0042920784108835775	-0.040632680456948504	-0.08625792791618113	0.034912153874047364	-0.07055226732871174	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5696700061806934	0.3244930147852061	0.05256886962107766	0.7310480908725365	0.189862083862004	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6026515151515152	0.3582714010459675	0.05454545454545454	0.7553336836573831	0.2649350649350649	geestig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
DR	1.0651899954467967	1.0467923243671688	1.0881414043426492	1.0984833611448208	0.9537522076140365	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.03955093789678647	-0.031119080292131843	0.028548842032696108	-0.030568902838495525	-0.09133718007059612	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5592348105230088	0.35145600298516744	0.0749210344003293	0.7059895302932733	0.2734574442618998	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.5964924838940587	0.38656511592283227	0.07909090909090909	0.7361068310220853	0.34449760765550236	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.1240947850996135	1.0924479544716412	1.1081794981399293	1.1642843052652383	1.004880060009756	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.02474955558561914	-0.015938610384816056	0.003188967582100264	0.07608234412573765	-0.1270871428622861	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6103864860293359	0.37659181687528287	0.07138593780553724	0.7773520538715236	0.28103745894878773	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6372226198997852	0.4140825741807008	0.0809090909090909	0.7836671802773497	0.3776714513556619	geestig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0275380700153236	1.0710015203488494	1.1099467280728426	0.991011989524451	1.1120458434492548	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
SIL	-0.0540827934215176	-0.029344663244892166	0.0021802056712133147	-0.07198687086961682	-0.018227324536272998	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.5784957489869722	0.3635441063179068	0.07448891899383961	0.729399733875841	0.28674366608403984	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6030780243378668	0.3866094486344263	0.08272727272727273	0.7511042629686697	0.3259968102073365	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0484775104809214	1.0778422600863857	1.1504952094167786	1.0380881994650244	1.044943371377354	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
SIL	-0.03300838911298061	-0.01906085076766087	0.03558570320834909	-0.03173378612265124	-0.06103446938868046	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5453299610006745	0.337053153583627	0.08419205165508203	0.6999402228550763	0.22702718624072268	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
kNN	0.5871152469577666	0.37241397021058037	0.08272727272727273	0.7375449409347714	0.29696969696969694	geestig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
DR	1.0381068789988726	1.0525782187199488	1.1040554803994278	1.035504321604262	1.0181748541561564	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	-0.033696288181311075	-0.04167037993982481	0.017710328178423624	-0.017483929023184852	-0.1252375389747132	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6000297256819441	0.3383766827919962	0.07194618198397124	0.7589711694811837	0.1842126969108335	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6373318988703603	0.3802343434343434	0.09999999999999999	0.7904	0.2503030303030303	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0658380513409582	1.0479314751352593	0.9461112350667975	1.0626376597422877	1.1350455305966929	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	-0.005781699625884272	-0.04095479481819136	-0.1713176138178104	-3.3955288654933076e-4	0.04879278224978567	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6192250723432868	0.36137335272550103	0.04758461372278716	0.7672293610556312	0.26930608339808476	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6491662183969876	0.3780109668109668	0.024675324675324673	0.8008727272727273	0.3084848484848485	geestig.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.224881160379797	1.2165284514485715	1.1306775322605558	1.2169283788419283	1.3019794432432301	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.0507634554494478	-0.01232771127706543	-0.13282616297086083	0.07961367766693465	0.016229351472729893	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.645620338663423	0.38525920135082836	0.06816494759578526	0.7950226134113315	0.2925900430453684	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6877891339429801	0.44037056277056275	0.12467532467532468	0.8273454545454545	0.3690909090909091	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.06263253636905	0.999205675489234	0.9682095373424922	1.106818320524403	0.9225891686008066	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	0.008277423248317735	-0.04456157085226967	-0.05328733179968281	0.04796661680921098	-0.12836399756633718	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5977040468407854	0.3157688495660316	0.04763875483497783	0.7721579740264161	0.12750981983670087	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6338891877353415	0.35716363636363635	0.045454545454545456	0.7969454545454545	0.22909090909090907	geestig.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.121198471022192	1.110093291366185	0.983939657947946	1.1086018937574837	1.2377383223931249	geestig.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.02062224073223026	-0.036234559015687576	-0.19539116549623073	0.038105372075990566	0.04858211637317744	geestig.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6578009802498826	0.3770122964023199	0.05313230819468842	0.8219723780751198	0.25593220293715163	geestig.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
