measure	globqual	meanclassqual	classqual_grijs_2	classqual_grijs_1	classqual_grijs_4	classqual_grijs_3	classqual_grijs_5	classqual_grijs_6	model	technique
DR	1.6672609408899206	1.8416256811332135	2.555606813522255	1.3157774956725456	1.0947639343447508	3.535954282395792	1.3563373557782332	1.1913142050857046	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.009952317597910291	0.012119662932430839	0.3606894434735944	0.008325078779171657	-0.39307439444720027	0.5478080276368722	-0.19123470766688994	-0.259795470180963	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6193739077184398	0.5242028892724995	0.5505901012916066	0.7746281990998032	0.058611110562518685	0.8754866713312848	0.4311000947871609	0.45480115856262254	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.667959595959596	0.5987146777903081	0.5918181818181818	0.7794063079777366	0.29732620320855613	0.8316498316498316	0.5641414141414142	0.5279461279461279	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.7730235065813431	1.9895145727026944	2.8393656222093773	1.3522715042969036	1.143638091903403	4.070842790881392	1.3255101858205833	1.2054592411045062	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.015830984308717155	0.03496210341898321	0.40047008682623714	0.0064858508858889625	-0.28557056707744405	0.6323675115732745	-0.2905333067003131	-0.25344695499374426	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.5935300442347152	0.5039876529288354	0.5536177444589041	0.7427358818181925	0.06785532506786611	0.8184226624042805	0.41309889234876745	0.4281954114750017	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6383838383838384	0.5696785919755107	0.5745454545454546	0.7543599257884972	0.253475935828877	0.835016835016835	0.48282828282828283	0.5178451178451179	grijs.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.7542486107330326	1.8064830670560112	2.26137588899534	1.629627075835335	1.231629130446701	2.7118319346726047	1.610897854998234	1.3935365173878527	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.10730030586069955	0.07744603487919755	0.3595894410903626	0.16232367190778377	-0.28214445013951717	0.30284541908359985	-0.025887550109764852	-0.05205032255727891	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.615226686897804	0.5065738234819789	0.45292586135437674	0.7974043515149203	0.07653695488476774	0.7997828800937435	0.40902075207714517	0.50377214096692	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.657050505050505	0.5678174973693181	0.4818181818181818	0.8089053803339518	0.26096256684491975	0.7791245791245791	0.4888888888888889	0.5872053872053872	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.3849793335060676	1.3573092210111473	1.0454703313563731	1.3626205515332768	1.2152799652201554	1.5159214239629568	1.606809894210319	1.3977531597838029	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	0.0037917041602496164	-0.04107649349816226	-0.21990599523213025	0.04050321816972143	-0.2195565757308616	0.0782461249853673	0.09965435208607785	-0.02540008526714829	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.47077463433836364	0.3494963157176171	0.06838182267283933	0.6720012157086591	0.07669868509990706	0.5880297415082458	0.315495874919111	0.3763705543969401	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.5357575757575758	0.4408076833426973	0.19727272727272727	0.6944341372912801	0.253475935828877	0.5616161616161616	0.4161616161616161	0.5218855218855218	grijs.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.698181046308793	1.8595003249661797	2.6186847551488253	1.3519428500820154	1.1121236072838165	3.279544068317981	1.5906410864460159	1.2040655825184243	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.013073345804680222	0.027167453264450792	0.3509270129360482	-0.015277730057068678	-0.3216066737156146	0.5330835761822011	-0.1260537150377679	-0.25806775072109345	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6255313264862052	0.5328031140131911	0.624774502953732	0.7753654911450558	0.0630502819709552	0.8311961082228629	0.4870464953717688	0.4153858044147722	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6484848484848484	0.5755251124018631	0.6118181818181818	0.7575139146567718	0.1754010695187166	0.8451178451178452	0.5474747474747474	0.5158249158249159	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.7421235015794352	2.0686950999465172	3.0529504904725715	1.0605677644705034	1.1871932965363774	4.198412637102308	1.6434951983670216	1.2695512127303217	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SIL	-0.04101059109823129	0.06428798626997921	0.520320959201144	-0.2771117773173604	-0.35277087267819063	0.6195842009858761	0.01638193381333558	-0.1406765263849293	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.6126485868244631	0.5477116929742473	0.6862648633411789	0.7023519663723227	0.07135547613830782	0.8368104465435138	0.52967299622362	0.45981440922654027	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.643959595959596	0.5898413776284924	0.6209090909090909	0.7218923933209648	0.25668449197860965	0.837037037037037	0.555050505050505	0.5474747474747474	grijs.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
DR	1.5380192336102838	1.739411009359717	1.2995618097203798	1.0775799784919595	1.762714065520796	3.261098233877744	1.609515432929023	1.4259965356184	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SIL	-0.06229875893450038	0.028559359319809526	-0.027941401580352555	-0.2565721162618138	0.043042227143058415	0.44642339447869833	-0.021376028346092403	-0.012219919514640815	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.6359315239744407	0.5375981856094502	0.32601438773991803	0.7941980069075453	0.22201663021574247	0.8071177112854975	0.45643281682437475	0.6198095606836231	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6628686868686868	0.5899633388709019	0.47454545454545455	0.7801484230055659	0.3315508021390374	0.7723905723905724	0.5353535353535354	0.6457912457912458	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30
DR	1.27379654291019	1.3154957372328486	1.197827020959748	1.1743717607479285	1.3830043916626915	1.130582001471812	1.3698167525903877	1.6373724959645244	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SIL	-0.09060519693750992	-0.06432302130217302	-0.07423144353352647	-0.1348182969171496	-0.020936154553475562	-0.15528195248505428	-0.12474693657105766	0.12407665624722546	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
SCP	0.4194083255253431	0.3334412344064685	0.09324982375707998	0.5638105183185446	0.1701330636630772	0.49008842141666786	0.29699176351866147	0.3863738157647801	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
kNN	0.5244444444444444	0.4447873492831476	0.22818181818181818	0.6671614100185529	0.3390374331550802	0.5528619528619528	0.39595959595959596	0.4855218855218855	grijs.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30
DR	1.739244436087046	1.9115183855849363	2.7327769381518165	1.4709969674009182	1.044028228848866	3.575302879600041	1.4156827199961666	1.2303225795118096	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.03932591581979891	0.045387360680176715	0.40864864661047157	0.0862907942704928	-0.37881980259624204	0.5966567745483679	-0.21029840200020847	-0.23015384675182143	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.5634929293071287	0.5055679218938951	0.6177945790060031	0.7011822507358175	0.0779956047319765	0.8357037491093487	0.4232521129288742	0.37747923485135026	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6034277198211624	0.547134799086456	0.5719008264462809	0.7254725472547254	0.16996047430830039	0.8464646464646465	0.5012987012987012	0.4677115987460815	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.7373323107861798	2.0336140711957964	3.335166215800473	1.2306567297549162	1.0777986248521019	3.81402756971696	1.4533816385042448	1.2906536485460818	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
SIL	-6.00786175388601e-4	0.06239314166313648	0.47851177482393065	-0.09478447445922157	-0.3135611071400489	0.6285297320289958	-0.11178777462549222	-0.2125493006493448	grijs.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30
